"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied"
"Crude Oil","1,014","– –","– –","862","132","105","28","2,086","–","0"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","65","0","48","34","–","– –","-16","90","33","40"
"Pentanes Plus","31","0","– –","–","–","– –","0","26","1","4"
"Liquefied Petroleum Gases","34","– –","48","34","–","– –","-16","64","32","36"
"Ethane/Ethylene","0","– –","–","–","–","– –","–","–","–","0"
"Propane/Propylene","10","– –","47","29","–","– –","-2","–","28","60"
"Normal Butane/Butylene","12","– –","-1","4","–","– –","-7","31","4","-13"
"Isobutane/Isobutylene","11","– –","2","1","–","– –","-7","32","0","-12"
"Other Liquids","– –","27","– –","200","309","25","22","519","33","-13"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","27","– –","15","148","29","-4","213","11","0"
"Hydrogen","– –","– –","– –","–","–","36","– –","36","–","0"
"Oxygenates (excluding Fuel Ethanol)","– –","–","– –","–","–","0","–","–","0","0"
"Renewable Fuels (including Fuel Ethanol)","– –","27","– –","15","148","-6","-4","178","11","0"
"Fuel Ethanol","– –","19","– –","–","139","1","-10","158","11","0"
"Renewable Fuels Except Fuel Ethanol","– –","9","– –","15","9","-8","6","20","0","0"
"Other Hydrocarbons","– –","– –","– –","–","–","–","–","–","–","–"
"Unfinished Oils","– –","– –","– –","165","–","– –","10","166","2","-13"
"Motor Gasoline Blend.Comp. (MGBC)","– –","–","– –","20","160","-5","17","140","19","0"
"Reformulated","– –","–","– –","–","82","-5","-7","84","0","0"
"Conventional","– –","–","– –","20","78","0","23","56","19","0"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–"
"Finished Petroleum Products","– –","–","2,841","189","57","10","-103","– –","271","2,929"
"Finished Motor Gasoline","– –","–","1,600","5","10","4","3","– –","42","1,573"
"Reformulated","– –","–","1,121","–","–","-24","0","– –","–","1,097"
"Conventional","– –","–","479","5","10","27","3","– –","42","476"
"Finished Aviation Gasoline","– –","– –","0","–","–","– –","-1","– –","–","1"
"Kerosene-Type Jet Fuel","– –","– –","390","117","6","– –","-10","– –","21","502"
"Kerosene","– –","– –","1","–","–","– –","0","– –","0","1"
"Distillate Fuel Oil","– –","– –","469","2","41","7","-108","– –","80","547"
"15 ppm sulfur and under","– –","– –","441","1","41","7","-106","– –","64","533"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","5","–","–","–","-1","– –","7","-1"
"Greater than 500 ppm sulfur","– –","– –","23","0","–","– –","-1","– –","9","15"
"Residual Fuel Oil","– –","– –","98","61","–","– –","18","– –","21","119"
"Less than 0.31 percent sulfur","– –","– –","–","–","–","– –","0","– –","NA","NA"
"0.31 to 1.00 percent sulfur","– –","– –","18","–","–","– –","1","– –","NA","NA"
"Greater than 1.00 percent sulfur","– –","– –","81","61","–","– –","18","– –","NA","NA"
"Petrochemical Feedstocks","– –","– –","0","–","–","– –","0","– –","–","0"
"Naphtha for Petro. Feed. Use","– –","– –","0","–","–","– –","0","– –","–","0"
"Other Oils for Petro. Feed. Use","– –","– –","–","–","–","– –","–","– –","–","–"
"Special Naphthas","– –","– –","1","–","–","– –","0","– –","–","0"
"Lubricants","– –","– –","3","1","0","– –","-10","– –","5","9"
"Waxes","– –","– –","–","2","–","– –","–","– –","0","2"
"Petroleum Coke","– –","– –","132","1","–","– –","3","– –","100","29"
"Marketable","– –","– –","96","1","–","– –","3","– –","100","-6"
"Catalyst","– –","– –","36","– –","– –","– –","– –","– –","– –","36"
"Asphalt and Road Oil","– –","– –","27","0","–","– –","1","– –","1","25"
"Still Gas","– –","– –","112","– –","– –","– –","– –","– –","– –","112"
"Miscellaneous Products","– –","– –","10","–","–","– –","0","– –","0","10"
"Total","1,079","27","2,890","1,285","498","140","-69","2,694","337","2,957"
