"STUB_1","STUB_2","1","2","3","4","5","Total","Daily Average"
"Supply","Field Production","1,306","51,654","168,327","20,271","31,449","273,008","8,807"
"Supply","Alaskan","– –","– –","– –","– –","–","15,341","495"
"Supply","Lower 48 States","–","–","–","–","–","257,667","8,312"
"Supply","Imports (PAD District of Entry)","32,713","74,462","90,564","11,373","26,715","235,827","7,607"
"Supply","Commercial","32,713","74,462","90,564","11,373","26,715","235,827","7,607"
"Supply","Strategic Petroleum Reserve (SPR)","–","–","–","–","–","–","–"
"Supply","Net Receipts","5,019","-8,308","9,462","-10,271","4,098","–","–"
"Supply","Adjustments","3,795","-7,150","5,841","-522","3,259","5,223","168"
"Disposition","Stock Change","3,206","-2,007","15,242","2,461","855","19,757","637"
"Disposition","Commercial","–","–","15,245","–","–","19,760","637"
"Disposition","SPR","–","–","-3","–","–","-3","0"
"Disposition","Refinery Inputs","33,825","110,888","251,344","18,362","64,666","479,085","15,454"
"Disposition","Exports","5,802","1,777","7,609","28","–","15,216","491"
"Ending Stocks","Total","17,928","141,510","949,539","24,154","50,779","1,183,910","– –"
"Ending Stocks","Commercial","17,928","141,510","254,452","24,154","50,779","488,823","– –"
"Ending Stocks","Refinery","13,733","14,884","47,811","2,794","23,017","102,239","– –"
"Ending Stocks","Tank Farms and Pipelines","4,195","126,626","206,641","21,360","24,929","383,751","– –"
"Ending Stocks","Cushing, Oklahoma","– –","59,478","– –","– –","– –","59,478","– –"
"Ending Stocks","Lease","–","–","–","–","–","–","– –"
"Ending Stocks","Alaskan Crude Oil In-Transit by Water","–","–","–","–","2,833","2,833","– –"
"Ending Stocks","SPR","–","–","695,087","–","–","695,087","– –"
"SPR Stocks","Percent of Total Crude Oil Stocks (Percent)","– –","– –","– –","– –","– –","58.7","– –"
"SPR Stocks","Percent of Total Petroleum Stocks (Percent)","– –","– –","– –","– –","– –","33.9","– –"
"SPR Stocks","Days of Total Petroleum Net Imports (Days)","– –","– –","– –","– –","– –","145","– –"
"SPR Receipts Detail","Receipts","–","–","–","–","–","–","–"
"SPR Receipts Detail","Domestic","–","–","–","–","–","–","–"
"SPR Receipts Detail","Imports","–","–","–","–","–","–","–"
"SPR Receipts Detail","Imported by SPR","–","–","–","–","–","–","–"
"SPR Receipts Detail","Imported for SPR by Others","–","–","–","–","–","–","–"
"Imports","PAD District of Entry","32,713","74,462","90,564","11,373","26,715","235,827","7,607"
"Imports","PAD District of Processing","33,131","69,175","96,441","9,471","27,609","235,827","7,607"
