"STUB_1","Total","Daily Average","Total","Daily Average"
"PAD District 1","1,303","43","15,088","45"
"Florida","159","5","1,780","5"
"New York","23","1","256","1"
"Pennsylvania","476","16","5,701","17"
"Virginia","1","0","10","0"
"West Virginia","644","21","7,341","22"
"PAD District 2","49,633","1,654","566,513","1,691"
"Illinois","687","23","7,901","24"
"Indiana","150","5","1,659","5"
"Kansas","2,854","95","34,080","102"
"Kentucky","188","6","2,182","7"
"Michigan","457","15","5,212","16"
"Missouri","11","0","116","0"
"Nebraska","174","6","2,059","6"
"North Dakota","30,865","1,029","349,229","1,042"
"Ohio","1,453","48","20,702","62"
"Oklahoma","12,660","422","141,842","423"
"South Dakota","113","4","1,298","4"
"Tennessee","20","1","233","1"
"PAD District 3","165,928","5,531","1,832,194","5,469"
"Alabama","693","23","7,583","23"
"Arkansas","426","14","4,947","15"
"Louisiana","4,359","145","52,414","156"
"Mississippi","1,651","55","19,504","58"
"New Mexico","12,516","417","134,304","401"
"Texas","95,855","3,195","1,079,098","3,221"
"Federal Offshore PAD District 3","50,429","1,681","534,343","1,595"
"PAD District 4","19,278","643","221,937","662"
"Colorado","9,200","307","106,270","317"
"Montana","1,822","61","21,420","64"
"Utah","2,500","83","27,794","83"
"Wyoming","5,755","192","66,453","198"
"PAD District 5","30,976","1,033","341,855","1,020"
"Alaska","15,388","513","163,075","487"
"South Alaska","435","15","5,191","15"
"North Slope","14,953","498","157,884","471"
"Arizona","1","0","6","0"
"California","15,141","505","172,561","515"
"Nevada","25","1","257","1"
"Federal Offshore PAD District 5","420","14","5,956","18"
"U.S. Total","267,118","8,904","2,977,588","8,888"
