"STUB_1","Less than 0.31 % sulfur","0.31 to 1.00 % sulfur","Greater than 1.00 % sulfur","Total"
"PAD District 1","203","366","1,623","2,192"
"Connecticut","–","–","–","–"
"Delaware","–","–","–","–"
"Florida","–","–","390","390"
"Georgia","–","–","–","–"
"Maine","–","–","–","–"
"Maryland","–","–","–","–"
"Massachusetts","–","–","–","–"
"New Hampshire","–","–","–","–"
"New Jersey","203","366","723","1,292"
"New York","–","–","322","322"
"North Carolina","–","–","–","–"
"Pennsylvania","–","–","–","–"
"Rhode Island","–","–","–","–"
"South Carolina","–","–","186","186"
"Vermont","–","–","2","2"
"Virginia","–","–","–","–"
"West Virginia","–","–","–","–"
"PAD District 2","–","125","9","134"
"Illnois","–","–","–","–"
"Indiana","–","–","–","–"
"Michigan","–","–","9","9"
"Minnesota","–","80","–","80"
"North Dakota","–","45","–","45"
"Ohio","–","–","–","–"
"Wisconsin","–","–","–","–"
"PAD District 3","–","220","506","726"
"Alabama","–","–","–","–"
"Louisiana","–","–","–","–"
"Mississippi","–","–","–","–"
"New Mexico","–","–","–","–"
"Texas","–","220","506","726"
"PAD District 4","–","–","–","–"
"Idaho","–","–","–","–"
"Montana","–","–","–","–"
"PAD District 5","–","–","1,882","1,882"
"Alaska","–","–","–","–"
"California","–","–","1,111","1,111"
"Hawaii","–","–","96","96"
"Oregon","–","–","–","–"
"Washington","–","–","675","675"
"U.S. Total","203","711","4,020","4,934"
