"STUB_1","1","2","3","4","5","Total","Daily Average"
"Crude Oil","268,560","662,577","1,021,776","81,486","363,448","2,397,847","7,862"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","12,944","23,707","3,129","3,068","4,621","47,469","156"
"Pentanes Plus","–","322","2,878","–","–","3,200","10"
"Liquefied Petroleum Gases","12,944","23,385","251","3,068","4,621","44,269","145"
"Ethane","43","–","–","–","–","43","0"
"Ethylene","–","–","–","–","–","–","–"
"Propane","8,361","15,091","–","2,883","4,241","30,576","100"
"Propylene","3,268","3,780","–","–","38","7,086","23"
"Normal Butane","388","1,698","–","6","321","2,413","8"
"Butylene","–","725","251","–","–","976","3"
"Isobutane","884","2,091","–","179","21","3,175","10"
"Isobutylene","–","–","–","–","–","–","–"
"Other Liquids","194,321","2,395","167,263","806","38,737","403,522","1,323"
"Hydrogen/Oxygenates/Renewables/Other Hydrocarbons","6,214","630","8,054","186","5,164","20,248","66"
"Hydrogen","–","–","–","–","–","–","–"
"Oxygenates (excluding Fuel Ethanol)","–","–","3,268","–","–","3,268","11"
"Methyl Tertiary Butyl Ether (MTBE)","–","–","2,478","–","–","2,478","8"
"Other Oxygenates","–","–","790","–","–","790","3"
"Renewable Fuels (including Fuel Ethanol)","6,208","537","4,702","132","5,164","16,743","55"
"Fuel Ethanol","12","–","94","–","756","862","3"
"Biomass-Based Diesel Fuel","5,652","537","4,608","132","716","11,645","38"
"Other Renewable Diesel Fuel","544","–","–","–","3,692","4,236","14"
"Other Renewable Fuels","–","–","–","–","–","–","–"
"Other Hydrocarbons","6","93","84","54","–","237","1"
"Unfinished Oils","11,598","–","145,026","–","24,424","181,048","594"
"Naphthas and Lighter","422","–","670","–","914","2,006","7"
"Kerosene and Lighter Gas Oils","–","–","–","–","–","–","–"
"Heavy Gas Oils","7,679","–","100,259","–","23,305","131,243","430"
"Residuum","3,497","–","44,097","–","205","47,799","157"
"Motor Gasoline Blend.Comp. (MGBC)","176,509","1,765","14,183","620","9,149","202,226","663"
"Reformulated - RBOB","55,566","–","638","–","727","56,931","187"
"Conventional","120,943","1,765","13,545","620","8,422","145,295","476"
"CBOB","10,214","278","219","–","3,880","14,591","48"
"GTAB","37,372","–","584","–","–","37,956","124"
"Other","73,357","1,487","12,742","620","4,542","92,748","304"
"Aviation Gasoline Blend. Comp. ","–","–","–","–","–","–","–"
"Finished Petroleum Products","107,546","8,317","46,274","478","56,323","218,938","718"
"Finished Motor Gasoline","17,019","65","808","–","975","18,867","62"
"Reformulated","–","–","–","–","–","–","–"
"Reformulated Blended with Fuel Ethanol","–","–","–","–","–","–","–"
"Reformulated Other","–","–","–","–","–","–","–"
"Conventional","17,019","65","808","–","975","18,867","62"
"Conventional Blended with Fuel Ethanol","–","–","–","–","–","–","–"
"Ed55 and Lower","–","–","–","–","–","–","–"
"Greater than Ed55","–","–","–","–","–","–","–"
"Conventional Other","17,019","65","808","–","975","18,867","62"
"Finished Aviation Gasoline","9","2","–","8","61","80","0"
"Kerosene-Type Jet Fuel","18,080","5","–","14","26,960","45,059","148"
"Bonded Aircraft Fuel","1,724","–","–","–","7,946","9,670","32"
"Other","16,356","5","–","14","19,014","35,389","116"
"Kerosene","563","1","–","–","–","564","2"
"Distillate Fuel Oil","35,917","674","2,896","41","4,715","44,243","145"
"15 ppm sulfur and under","24,517","389","216","41","4,446","29,609","97"
"Bonded","–","–","–","–","44","44","0"
"Other","24,517","389","216","41","4,402","29,565","97"
"Greater than 15 ppm to 500 ppm sulfur","886","–","313","–","54","1,253","4"
"Bonded","–","–","–","–","–","–","–"
"Other","886","–","313","–","54","1,253","4"
"Greater than 500 ppm to 2000 ppm sulfur","10,121","163","1,879","–","215","12,378","41"
"Bonded","–","–","–","–","–","–","–"
"Other","10,121","163","1,879","–","215","12,378","41"
"Greater than 2000 ppm","393","122","488","–","–","1,003","3"
"Bonded","–","–","–","–","–","–","–"
"Other","393","122","488","–","–","1,003","3"
"Residual Fuel Oil","23,720","1,014","22,244","–","21,374","68,352","224"
"Less than 0.31 percent sulfur","1,689","–","1,212","–","–","2,901","10"
"0.31 to 1.00 percent sulfur","3,378","589","4,017","–","594","8,578","28"
"Greater than 1.00 percent sulfur","18,653","425","17,015","–","20,780","56,873","186"
"Petrochemical Feedstocks","36","1,476","7,518","–","336","9,366","31"
"Naphtha for Petro. Feed. Use","23","826","6,437","–","336","7,622","25"
"Other Oils for Petro. Feed. Use","13","650","1,081","–","–","1,744","6"
"Special Naphthas","–","492","3,730","–","–","4,222","14"
"Lubricants","1,977","2,114","7,816","–","163","12,070","40"
"Waxes","735","54","253","–","476","1,518","5"
"Petroleum Coke (Marketable)","1,703","166","907","–","281","3,057","10"
"Asphalt and Road Oil","7,787","2,254","102","404","982","11,529","38"
"Miscellaneous Products","–","–","–","11","–","11","0"
"Total","583,371","696,996","1,238,442","85,838","463,129","3,067,776","10,058"
