"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied"
"Crude Oil","8,888","– –","– –","7,879","50","117","16,173","527","0"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","3,490","-21","653","159","– –","112","522","1,177","2,469"
"Pentanes Plus","436","-21","– –","10","– –","16","147","201","61"
"Liquefied Petroleum Gases","3,054","– –","653","149","– –","96","375","977","2,408"
"Ethane/Ethylene","1,256","– –","4","0","– –","64","–","91","1,106"
"Propane/Propylene","1,163","– –","582","127","– –","13","–","772","1,086"
"Normal Butane/Butylene","323","– –","74","12","– –","22","163","108","117"
"Isobutane/Isobutylene","312","– –","-7","10","– –","-3","212","6","99"
"Other Liquids","– –","1,166","– –","1,322","250","0","2,264","507","-32"
"Hydrogen/Oxygenates/Renewables/ Other Hydrocarbons","– –","1,166","– –","70","106","-2","1,199","145","0"
"Hydrogen","– –","– –","– –","–","216","– –","216","–","0"
"Oxygenates (excluding Fuel Ethanol)","– –","73","– –","11","-9","1","3","72","0"
"Renewable Fuels (including Fuel Ethanol)","– –","1,093","– –","58","-102","-2","978","73","0"
"Fuel Ethanol","– –","993","– –","3","-19","-7","916","67","0"
"Renewable Fuels Except Fuel Ethanol","– –","100","– –","55","-83","4","62","6","0"
"Other Hydrocarbons","– –","– –","– –","1","0","0","1","–","0"
"Unfinished Oils","– –","– –","– –","589","– –","1","393","228","-32"
"Motor Gasoline Blend.Comp. (MGBC)","– –","0","– –","663","144","1","673","133","0"
"Reformulated","– –","–","– –","189","179","-3","370","0","0"
"Conventional","– –","0","– –","474","-35","4","302","133","0"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","– –","0","0","–","0"
"Finished Petroleum Products","– –","3","19,411","721","-39","-17","– –","2,952","17,162"
"Finished Motor Gasoline","– –","3","9,986","62","-125","-6","– –","604","9,328"
"Reformulated","– –","–","3,247","–","-181","0","– –","–","3,065"
"Conventional","– –","3","6,740","62","56","-6","– –","604","6,263"
"Finished Aviation Gasoline","– –","– –","11","0","– –","0","– –","–","11"
"Kerosene-Type Jet Fuel","– –","– –","1,642","148","– –","13","– –","174","1,602"
"Kerosene","– –","– –","13","2","– –","-1","– –","10","6"
"Distillate Fuel Oil","– –","– –","4,816","145","86","-2","– –","1,188","3,860"
"15 ppm sulfur and under","– –","– –","4,503","96","86","0","– –","1,007","3,679"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","118","5","–","3","– –","113","7"
"Greater than 500 ppm sulfur","– –","– –","195","44","– –","-4","– –","69","174"
"Residual Fuel Oil","– –","– –","420","227","– –","-5","– –","292","360"
"Less than 0.31 percent sulfur","– –","– –","47","11","– –","-3","– –","NA","NA"
"0.31 to 1.00 percent sulfur","– –","– –","50","27","– –","9","– –","NA","NA"
"Greater than 1.00 percent sulfur","– –","– –","323","189","– –","-11","– –","NA","NA"
"Petrochemical Feedstocks","– –","– –","290","32","– –","0","– –","–","321"
"Naphtha for Petro. Feed. Use","– –","– –","191","26","– –","0","– –","–","217"
"Other Oils for Petro. Feed. Use","– –","– –","98","5","– –","0","– –","–","104"
"Special Naphthas","– –","– –","35","14","– –","0","– –","–","49"
"Lubricants","– –","– –","166","39","– –","-3","– –","78","130"
"Waxes","– –","– –","5","5","– –","0","– –","4","6"
"Petroleum Coke","– –","– –","906","10","– –","-1","– –","580","338"
"Marketable","– –","– –","673","10","– –","-1","– –","580","105"
"Catalyst","– –","– –","233","– –","– –","– –","– –","– –","233"
"Asphalt and Road Oil","– –","– –","337","37","– –","-14","– –","21","367"
"Still Gas","– –","– –","695","– –","– –","– –","– –","– –","695"
"Miscellaneous Products","– –","– –","90","0","– –","0","– –","1","89"
"Total","12,378","1,148","20,064","10,081","262","212","18,959","5,163","19,599"
