"STUB_1","Crude     Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Less than 0.31  % sulfur","0.31 to 1.00  % sulfur","Greater than 1.00 % sulfur","Total","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellaneous Products","Total Products","Total Crude Oil and Products","Crude  Oil","Products","Total"
"OPEC","667,979","–","–","41,605","–","–","–","–","2,475","2,475","262","–","–","1,442","–","–","–","–","–","–","–","–","–","–","–","527","12","1,155","5,230","6,397","1,332","210","–","138","72","3,590","–","58,050","726,029","1,994","173","2,167"
"Algeria","6,292","–","–","34,279","–","–","–","–","515","515","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","91","–","91","952","–","–","–","–","–","–","35,837","42,129","19","107","126"
"Angola","18,287","–","–","3,036","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","3,036","21,323","55","9","64"
"Ecuador","12,588","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","12,588","38","–","38"
"Gabon","–","–","–","397","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","397","397","–","1","1"
"Indonesia","–","–","–","–","–","–","–","–","–","–","–","–","–","1,442","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","589","–","2,031","2,031","–","6","6"
"Iran","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Iraq","104,538","–","–","921","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","342","670","–","–","–","–","–","–","–","1,591","106,129","312","5","317"
"Kuwait","44,371","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","138","–","–","–","138","44,509","132","0","133"
"Libya","–","–","–","966","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","292","–","292","–","–","–","–","–","–","–","1,258","1,258","–","4","4"
"Nigeria","9,119","–","–","–","–","–","–","–","567","567","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","12","309","–","321","–","210","–","–","–","–","–","1,098","10,217","27","3","30"
"Qatar","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","3,001","–","3,001","3,001","–","9","9"
"Saudi Arabia","236,275","–","–","1,351","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","527","–","5","155","160","380","–","–","–","–","–","–","2,418","238,693","705","7","713"
"United Arab Emirates","–","–","–","531","–","–","–","–","–","–","262","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1","1","–","–","–","–","–","–","–","794","794","–","2","2"
"Venezuela","236,509","–","–","521","–","–","–","–","1,393","1,393","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","130","4,732","4,862","–","–","–","–","72","–","–","6,848","243,357","706","20","726"
"Non-OPEC","458,900","2,878","251","115,219","–","808","808","638","12,386","13,024","2,594","834","94","3,875","–","–","216","313","2,572","488","3,589","–","–","–","–","3,716","1,923","3,271","13,842","19,036","6,192","883","255","925","30","4,905","–","179,193","638,093","1,370","535","1,905"
"Argentina","1,397","–","–","166","–","–","–","–","219","219","149","–","–","3,790","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","17","377","–","397","–","21","–","5,136","6,533","4","15","20"
"Aruba","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Australia","656","–","–","–","–","–","–","–","–","–","–","–","–","45","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","45","701","2","0","2"
"Bahamas","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Bahrain","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","683","–","683","683","–","2","2"
"Belgium","–","–","–","13,209","–","–","–","–","358","358","483","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","40","–","143","183","–","–","–","–","–","115","–","14,348","14,348","–","43","43"
"Brazil","35,313","–","–","296","–","65","65","–","918","918","637","834","94","–","–","–","–","–","254","–","254","–","–","–","–","114","–","689","–","689","61","–","–","–","–","–","–","3,979","39,292","105","12","117"
"Brunei","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Cameroon","–","–","–","525","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","162","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","687","687","–","2","2"
"Canada","117,230","–","–","921","–","569","569","–","498","498","–","–","–","40","–","–","–","–","300","–","300","–","–","–","–","937","126","137","–","263","40","139","–","–","–","–","–","3,707","120,937","350","11","361"
"Chad","13,878","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","13,878","41","–","41"
"China","–","–","–","–","–","96","96","–","300","300","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","106","–","–","–","–","502","502","–","1","1"
"Colombia","80,553","–","–","990","–","–","–","–","803","803","–","–","–","–","–","–","–","–","83","–","83","–","–","–","–","–","–","256","1,253","1,509","–","–","–","–","–","–","–","3,385","83,938","240","10","251"
"Congo (Brazzaville)","–","–","–","45","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","45","45","–","0","0"
"Denmark","627","–","–","37","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","14","14","–","–","–","–","–","–","–","51","678","2","0","2"
"Egypt","2,838","–","–","199","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1","–","200","3,038","8","1","9"
"Equatorial Guinea","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Estonia","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Finland","–","–","–","–","–","–","–","–","30","30","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","6","6","–","–","–","–","–","–","–","36","36","–","0","0"
"France","–","–","–","4,137","–","–","–","–","25","25","–","–","–","–","–","–","–","–","50","–","50","–","–","–","–","–","–","176","58","234","–","241","–","–","–","20","–","4,707","4,707","–","14","14"
"Germany","–","–","–","450","–","–","–","–","–","–","182","–","–","–","–","–","–","–","102","–","113","–","–","–","–","–","–","–","–","–","–","–","2","–","–","72","–","825","825","–","2","2"
"Guatemala","2,434","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","2,434","7","–","7"
"India","–","–","–","753","–","–","–","–","830","830","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1","–","–","–","–","1,584","1,584","–","5","5"
"Italy","–","–","45","1,106","–","–","–","–","309","309","–","–","–","–","–","–","–","–","–","–","220","–","–","–","–","42","–","–","295","295","–","–","–","–","–","193","–","2,223","2,223","–","7","7"
"Korea, South","–","–","–","214","–","4","4","–","82","82","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,484","–","–","–","–","689","–","–","–","–","3,230","–","5,717","5,717","–","17","17"
"Latvia","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Lithuania","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Malaysia","–","–","–","–","–","–","–","–","315","315","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","113","–","–","–","–","428","428","–","1","1"
"Mexico","191,523","1,960","163","562","–","–","–","–","4,323","4,323","–","–","–","–","–","–","–","–","220","–","220","–","–","–","–","–","–","–","5,606","5,606","4,469","–","–","–","–","–","–","17,303","208,826","572","52","623"
"Netherlands","–","–","43","1,686","–","57","57","–","–","–","864","–","–","–","–","–","–","–","54","–","169","–","–","–","–","29","–","–","–","–","186","–","–","–","–","12","–","3,057","3,057","–","9","9"
"Netherlands Antilles","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Norway","1,224","–","–","3,532","–","–","–","–","194","194","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","340","225","–","565","–","–","–","176","–","–","–","4,467","5,691","4","13","17"
"Oman","–","–","–","–","–","–","–","–","36","36","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","36","36","–","0","0"
"Portugal","–","–","–","–","–","–","–","–","286","286","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","286","286","–","1","1"
"Russia","2,545","–","–","80,432","–","–","–","–","537","537","270","–","–","–","–","–","216","–","901","–","1,117","–","–","–","–","–","847","707","5,200","6,754","–","–","–","–","–","–","–","89,111","91,656","8","266","274"
"Spain","–","–","–","369","–","17","17","–","790","790","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","362","362","–","–","1","–","–","161","–","1,700","1,700","–","5","5"
"Sweden","–","–","–","807","–","–","–","–","–","–","–","–","–","–","–","–","–","–","388","–","588","–","–","–","–","–","–","–","141","141","–","–","–","–","–","–","–","1,536","1,536","–","5","5"
"Syria","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Trinidad and Tobago","2,565","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","349","349","–","–","–","–","–","–","–","349","2,914","8","1","9"
"United Kingdom","4,364","–","–","337","–","–","–","638","520","1,158","9","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","62","62","341","–","–","314","–","193","–","2,414","6,778","13","7","20"
"Vietnam","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Virgin Islands, U.S.","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Yemen","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other","1,753","918","0","4,049","–","0","0","0","1,013","1,013","0","0","0","0","–","–","0","313","220","488","313","–","–","–","–","1,110","570","1,081","353","2,004","389","126","32","38","30","204","–","10,249","12,002","6","32","37"
"Total","1,126,879","2,878","251","156,824","–","808","808","638","14,861","15,499","2,856","834","94","5,317","–","–","216","313","2,572","488","3,589","–","–","–","–","4,243","1,935","4,426","19,072","25,433","7,524","1,093","255","1,063","102","8,495","–","237,243","1,364,122","3,364","708","4,072"
"Persian Gulf","385,184","–","–","2,803","–","–","–","–","–","–","262","–","–","–","–","–","–","–","–","–","–","–","–","–","–","527","–","333","498","831","380","–","–","138","–","3,684","–","8,625","393,809","1,150","26","1,176"
