"STUB_1","STUB_2","Crude     Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Less than 0.31  % sulfur","0.31 to 1.00  % sulfur","Greater than 1.00 % sulfur","Total","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellaneous Products","Total Products","Total Crude Oil and Products","Crude  Oil","Products","Total"
"PAD District 4","OPEC","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","10","–","–","–","–","–","–","–","–","–","–","–","–","10","10","–","0","0"
"PAD District 4","Algeria","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Angola","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Ecuador","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Iran","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Iraq","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Kuwait","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Libya","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Nigeria","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Qatar","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Saudi Arabia","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","United Arab Emirates","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Venezuela","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Non-OPEC","91,135","–","3,365","–","–","–","–","–","640","640","–","–","–","138","–","–","49","–","–","–","49","–","8","–","4","–","–","–","–","–","–","–","–","–","448","–","13","4,719","95,854","272","14","286"
"PAD District 4","Canada","91,135","–","3,365","–","–","–","–","–","640","640","–","–","–","138","–","–","49","–","–","–","49","–","8","–","–","–","–","–","–","–","–","–","–","–","448","–","13","4,715","95,850","272","14","286"
"Other","","0","–","0","–","–","–","–","–","0","0","–","–","–","0","–","–","0","–","–","–","0","–","0","–","4","–","–","–","–","–","–","–","–","–","0","–","0","4","4","0","0","0"
"Total","","91,135","–","3,365","–","–","–","–","–","640","640","–","–","–","138","–","–","49","–","–","–","49","–","8","–","14","–","–","–","–","–","–","–","–","–","448","–","13","4,729","95,864","272","14","286"
"PAD District 5","OPEC","234,913","–","–","6,608","–","–","–","5","–","5","–","–","–","–","–","–","–","–","–","–","–","–","–","–","107","–","–","329","193","522","–","–","–","–","–","–","–","7,243","242,156","701","22","723"
"PAD District 5","Algeria","–","–","–","6,297","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","6,297","6,297","–","19","19"
"PAD District 5","Angola","10,097","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","10,097","30","–","30"
"PAD District 5","Ecuador","66,940","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","180","180","–","–","–","–","–","–","–","180","67,120","200","1","200"
"PAD District 5","Indonesia","12,312","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","63","–","–","–","–","–","–","–","1","–","–","–","–","64","12,376","37","0","37"
"PAD District 5","Iran","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 5","Iraq","13,020","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","13,020","39","–","39"
"PAD District 5","Kuwait","24,205","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","24,205","72","–","72"
"PAD District 5","Libya","3,262","–","–","311","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","8","–","–","–","–","–","–","–","–","–","–","–","–","319","3,581","10","1","11"
"PAD District 5","Nigeria","280","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","329","–","–","–","–","–","–","–","329","609","1","1","2"
"PAD District 5","Qatar","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 5","Saudi Arabia","100,728","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","100,728","301","–","301"
"PAD District 5","United Arab Emirates","3,723","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","36","–","–","–","–","–","–","–","–","–","–","–","–","36","3,759","11","0","11"
"PAD District 5","Venezuela","346","–","–","–","–","–","–","–","–","5","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","13","13","–","–","–","–","–","–","–","18","364","1","0","1"
"Non-OPEC","","157,611","–","5,745","20,693","–","994","994","722","8,848","9,570","–","–","756","796","4,203","–","4,633","54","216","–","4,903","–","61","–","30,536","–","–","265","22,538","22,803","336","–","489","313","1,037","192","–","103,427","261,038","470","309","779"
"Argentina","","2,857","–","170","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","170","3,027","9","1","9"
"Aruba","","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Australia","","817","–","127","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","127","944","2","0","3"
"Brazil","","9,224","–","–","–","–","–","–","–","–","–","–","–","756","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","23","23","–","–","–","–","–","–","–","779","10,003","28","2","30"
"Brunei","","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Canada","","76,650","–","5,071","267","–","686","686","–","4,652","4,652","–","–","–","358","–","–","2,473","–","68","–","2,541","–","–","–","40","–","–","40","2,092","2,132","–","–","56","313","796","78","–","16,990","93,640","229","51","280"
