"STUB_1","Crude Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Residual Fuel Oil","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellanous  Products","Total Products","Total Crude Oil and Products","Crude Oil","Products","Total"
"Argentina","279","–","–","172","–","428","428","–","–","–","–","0","–","–","–","–","772","–","–","–","772","–","–","–","–","–","–","–","–","1","0","0","12","0","1,385","1,664","9","46","55"
"Australia","–","0","2","0","–","0","0","1","–","1","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","0","242","0","4","0","249","249","–","8","8"
"Bahamas","50","1","25","0","–","36","36","–","0","0","15","1","–","–","–","–","261","–","250","–","511","0","–","–","12","–","–","–","–","–","–","3","4","–","607","657","2","20","22"
"Bahrain","–","–","–","–","–","1","1","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","1","1","–","0","0"
"Belgium","–","–","242","0","–","–","–","–","0","0","8","0","0","–","–","–","0","–","–","–","0","–","–","–","–","–","–","–","–","0","292","–","343","1","886","886","–","30","30"
"Belize","–","–","–","–","–","41","41","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1","–","42","42","–","1","1"
"Brazil","–","0","551","203","–","1,167","1,167","–","0","0","–","0","1,211","–","–","–","6,651","62","–","–","6,713","0","–","–","–","–","–","–","–","0","523","0","207","1","10,576","10,576","–","353","353"
"Canada","10,525","4,897","2,848","1,814","–","1,064","1,064","0","708","708","–","0","590","100","–","–","0","450","193","–","643","4","–","–","1,370","–","1,153","–","–","98","293","128","247","5","15,961","26,485","351","532","883"
"Cayman Islands","–","–","–","–","–","21","21","–","–","–","–","–","–","–","–","–","20","–","–","–","20","–","–","–","10","–","0","–","–","–","–","1","1","–","53","53","–","2","2"
"Chile","–","0","577","108","–","428","428","–","0","0","204","–","0","–","–","–","2,024","315","–","–","2,339","–","–","–","0","–","–","–","–","0","276","111","76","–","4,120","4,120","–","137","137"
