"STUB_1","Crude Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Residual Fuel Oil","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellanous  Products","Total Products","Total Crude Oil and Products"
"OPEC","3,163","0","-23","120","–","-44","-44","0","37","37","-10","0","-3","5","–","–","-38","-9","-11","–","-58","-1","–","–","12","1","13","2","1","0","-4","6","5","0","60","3,223"
"Algeria","37","–","2","123","–","-5","-5","–","2","2","–","–","–","–","–","–","-1","-1","-2","–","-4","–","–","–","–","–","4","1","–","–","–","0","0","–","122","159"
"Angola","164","–","–","9","–","–","–","–","1","1","–","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","-1","0","0","–","9","173"
"Ecuador","236","0","-22","0","–","-23","-23","0","-3","-3","–","0","0","0","–","–","-26","-8","-8","–","-42","–","–","–","0","–","-6","–","–","0","-3","0","-1","0","-101","135"
"Gabon","1","–","–","1","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1","–","–","–","0","–","0","–","–","–"
"Indonesia","40","0","-2","0","–","–","–","–","1","1","–","0","0","6","–","–","0","–","–","–","0","–","–","–","0","–","–","–","–","0","0","0","2","0","6","47"
"Iran","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Iraq","401","0","–","1","–","–","–","–","0","0","–","0","0","–","–","–","–","–","–","–","–","0","–","–","–","–","2","–","–","–","–","–","0","0","3","404"
"Kuwait","202","–","–","0","–","0","0","–","0","0","–","–","0","–","–","–","–","–","–","–","–","–","–","–","0","–","–","–","–","0","0","0","0","–","1","203"
"Libya","8","–","–","4","–","–","–","–","–","–","–","0","–","–","–","–","–","–","-1","–","-1","–","–","–","–","–","1","–","–","–","–","–","0","–","4","12"
"Nigeria","209","0","–","0","–","-1","-1","–","24","24","–","0","-1","0","–","–","–","–","–","–","–","-1","–","–","-1","–","3","–","1","–","-1","0","-1","–","22","231"
"Qatar","–","–","–","0","–","–","–","–","–","–","–","–","–","–","–","–","1","–","1","–","2","–","–","–","–","–","–","–","–","–","0","–","9","–","11","11"
"Saudi Arabia","1,115","0","0","4","–","-2","-2","0","0","0","0","0","0","–","–","–","0","–","–","–","0","0","–","–","1","1","1","1","–","0","-2","0","0","0","4","1,120"
"United Arab Emirates","10","0","0","2","–","-3","-3","–","0","0","1","0","-2","0","–","–","0","–","0","–","0","0","–","–","0","–","-8","–","–","0","-1","0","-1","0","-12","-2"
"Venezuela","738","0","-1","-23","–","-11","-11","0","13","13","-11","–","–","–","–","–","-12","–","-1","–","-13","0","–","–","11","–","15","–","–","0","4","6","-2","0","-10","728"
"Non-OPEC","4,179","-193","-797","248","–","-475","-475","186","302","488","-26","-26","-59","27","14","–","-872","-102","-18","3","-989","-7","0","–","-36","12","-81","23","5","2","-579","10","-43","-1","-2,483","1,695"
"Argentina","11","0","-1","-1","–","-3","-3","–","0","0","0","0","0","25","–","–","-47","-1","-1","–","-49","0","–","–","-3","–","0","0","1","0","1","0","-1","0","-30","-20"
"Aruba","–","0","-27","0","–","-3","-3","–","0","0","–","–","0","–","–","–","-2","–","–","–","-2","0","–","–","-2","–","-2","–","–","–","–","0","0","–","-36","-36"
"Australia","5","0","-7","0","–","0","0","–","0","0","0","0","0","0","–","–","-1","-1","–","–","-2","0","–","–","0","–","0","–","–","0","-7","0","-1","0","-16","-11"
"Bahamas","-5","0","-1","-1","–","-4","-4","0","0","0","0","0","0","–","–","–","-6","-1","-7","–","-13","0","–","–","-3","–","-10","–","–","0","–","0","0","0","-32","-37"
"Bahrain","–","–","–","0","–","0","0","–","–","–","–","–","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","2","–","2","2"
"Belgium","–","0","-4","44","–","4","4","2","13","14","1","0","0","–","–","–","-7","-5","-1","–","-13","0","–","–","–","–","0","0","–","0","-5","0","-8","0","32","32"
"Brazil","145","0","-45","-10","–","-20","-20","–","8","8","2","3","-11","0","–","–","-105","-6","-3","–","-114","0","–","–","-3","0","4","0","–","0","-33","0","-7","0","-225","-80"
"Brunei","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","0","–","–","–","–","–","0","–","0","–","0","0"
"Cameroon","–","0","–","2","–","0","0","–","–","–","–","–","0","–","–","–","–","–","–","–","1","–","–","–","–","–","1","–","–","0","–","–","0","–","3","3"
"Canada","2,901","-200","46","-44","–","4","4","88","33","121","–","0","-16","1","–","–","61","-17","26","1","70","-8","0","–","-27","4","9","3","3","-1","-22","22","3","0","-31","2,870"
"Chad","70","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","0","70"
"China","-13","0","-113","-7","–","-1","-1","0","0","0","0","0","-12","0","–","–","1","0","–","–","1","1","–","–","15","–","-1","–","–","2","-42","0","-2","0","-160","-173"
"Colombia","453","0","0","-40","–","-23","-23","0","13","13","–","0","0","–","–","–","-66","1","1","–","-65","0","–","–","-2","–","20","–","–","0","1","0","-3","0","-100","353"
"Denmark","2","0","–","0","–","0","0","0","0","1","–","–","–","–","–","–","0","0","0","–","-1","–","–","–","-2","–","-1","–","–","0","-2","–","0","–","-5","-3"
"Dominican Republic","-1","0","-26","-1","–","-14","-14","0","0","0","–","–","0","–","–","–","-17","-1","-2","–","-20","0","–","–","-4","–","-2","–","–","0","-4","-2","-1","0","-73","-74"
"Equatorial Guinea","6","–","–","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","–","–","–","0","–","0","6"
"Estonia","–","–","–","–","–","–","–","–","0","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","0","–","0","0"
"Finland","–","–","–","1","–","0","0","0","20","21","–","–","–","–","–","–","–","–","–","–","–","–","–","–","-4","–","0","–","–","–","–","0","0","–","18","18"
"France","-8","0","-15","1","–","1","1","19","3","22","0","0","0","–","–","–","-58","–","0","–","-57","–","–","–","0","–","1","–","1","0","-3","0","-2","0","-52","-60"
