"STUB_1","1","2","3","4","5","U.S. Total"
"Crude Oil","17,928","141,510","949,539","24,154","50,779","1,183,910"
"Refinery","13,733","14,884","47,811","2,794","23,017","102,239"
"Tank Farms and Pipelines (Includes Cushing, OK)","4,195","126,626","206,641","21,360","24,929","383,751"
"Cushing, Oklahoma","–","59,478","–","–","–","59,478"
"Leases","–","–","–","–","–","–"
"Strategic Petroleum Reserve","–","–","695,087","–","–","695,087"
"Alaskan In Transit","–","–","–","–","2,833","2,833"
"Total Stocks, All Oils (excluding Crude Oil)","181,423","184,716","390,498","20,653","89,055","866,345"
"Refinery","18,559","48,833","121,298","10,056","50,115","248,861"
"Bulk Terminal","135,140","99,757","215,781","6,625","33,634","490,937"
"Pipeline","27,492","34,456","49,423","3,847","4,761","119,979"
"Natural Gas Processing Plant","232","1,670","3,996","125","545","6,568"
"Pentanes Plus","231","9,227","15,308","301","57","25,124"
"Refinery","–","296","494","13","3","806"
"Bulk Terminal","171","1,458","12,689","5","5","14,328"
"Pipeline","11","7,319","1,833","251","–","9,414"
"Natural Gas Processing Plant","49","154","292","32","49","576"
"Liquefied Petroleum Gases","9,290","52,648","145,860","4,051","7,525","219,374"
"Refinery","974","5,968","9,833","370","1,860","19,005"
"Bulk Terminal","7,409","36,997","119,947","1,983","5,169","171,505"
"Pipeline","724","8,167","12,376","1,605","–","22,872"
"Natural Gas Processing Plant","183","1,516","3,704","93","496","5,992"
"Ethane/Ethylene","530","5,135","45,687","449","–","51,801"
"Refinery","–","–","64","–","–","64"
"Bulk Terminal","362","2,480","39,990","–","–","42,832"
"Ethylene","– –","– –","– –","– –","– –","– –"
"Pipeline","168","2,452","4,906","449","–","7,975"
"Natural Gas Processing Plant","–","203","727","–","–","930"
"Propane/Propylene","6,745","27,621","63,852","1,547","2,328","102,093"
"Refinery","265","2,456","2,789","36","130","5,676"
"Bulk Terminal","5,809","20,391","54,162","723","2,160","83,245"
"Nonfuel Use","–","–","3,773","–","–","3,773"
"Pipeline","539","3,889","5,146","733","–","10,307"
"Natural Gas Processing Plant","132","885","1,755","55","38","2,865"
"Normal Butane/Butylene","1,762","17,822","31,116","1,807","4,735","57,242"
"Refinery","480","2,924","5,748","242","1,318","10,712"
"Bulk Terminal","1,238","13,520","22,860","1,259","3,009","41,886"
"Refinery Grade Butane","16","6,134","7,438","579","–","14,167"
"Pipeline","6","1,154","1,564","278","–","3,002"
"Natural Gas Processing Plant","38","224","944","28","408","1,642"
"Isobutane/Isobutylene","253","2,070","5,205","248","462","8,238"
"Refinery","229","588","1,232","92","412","2,553"
"Bulk Terminal","–","606","2,935","1","–","3,542"
"Pipeline","11","672","760","145","–","1,588"
"Natural Gas Processing Plant","13","204","278","10","50","555"
"Other Hydrocarbons","–","16","–","–","–","16"
"Refinery","–","16","–","–","–","16"
"Oxygenates (excluding Fuel Ethanol)","–","–","1,056","–","–","1,056"
"Refinery","–","–","59","–","–","59"
"Bulk Terminal","–","–","997","–","–","997"
"Pipeline","–","–","–","–","–","–"
"MTBE","–","–","767","–","–","767"
"Refinery","–","–","59","–","–","59"
"Bulk Terminal","–","–","708","–","–","708"
"Pipeline","–","–","–","–","–","–"
"Other Oxygenates","–","–","289","–","–","289"
"Refinery","–","–","–","–","–","–"
"Bulk Terminal","–","–","289","–","–","289"
"Pipeline","–","–","–","–","–","–"
"Renewable Fuels (including Fuel Ethanol)","8,249","7,761","5,270","381","3,805","25,466"
"Refinery","187","115","431","140","324","1,197"
"Bulk Terminal","8,062","7,646","4,839","241","3,481","24,269"
"Pipeline","–","–","–","–","–","–"
"Fuel Ethanol","6,584","6,984","3,586","369","2,482","20,005"
"Refinery","180","78","184","132","32","606"
"Bulk Terminal","6,404","6,906","3,402","237","2,450","19,399"
"Pipeline","–","–","–","–","–","–"
"Renewable Diesel Fuel","1,665","777","1,682","12","1,289","5,425"
"Refinery","7","37","247","8","258","557"
"Bulk Terminal","1,658","740","1,435","4","1,031","4,868"
"Pipeline","–","–","–","–","–","–"
"Other Renewable Fuels","–","–","2","–","34","36"
"Refinery","–","–","–","–","34","34"
"Bulk Terminal","–","–","2","–","–","2"
"Pipeline","–","–","–","–","–","–"
"Unfinished Oils","5,723","12,366","45,087","2,935","19,539","85,650"
"Naphthas and Lighter","1,317","2,928","12,493","623","3,278","20,639"
"Refinery","1,317","2,902","10,473","623","2,951","18,266"
"Bulk Terminal","–","26","2,020","–","327","2,373"
"Kerosene and Light Gas Oils","640","2,945","7,197","635","3,619","15,036"
"Refinery","640","2,825","7,113","635","3,433","14,646"
"Bulk Terminal","–","120","84","–","186","390"
"Heavy Gas Oils","2,788","4,392","20,148","1,304","10,086","38,718"
"Refinery","2,778","4,382","17,657","1,304","9,864","35,985"
"Bulk Terminal","10","10","2,491","–","222","2,733"
"Residuum","978","2,101","5,249","373","2,556","11,257"
"Refinery","978","1,871","5,249","373","2,556","11,027"
"Bulk Terminal","–","230","–","–","–","230"
"Motor Gasoline Blending Components","55,901","43,179","68,847","5,226","25,821","198,974"
"Refinery","5,575","12,471","25,958","2,901","13,650","60,555"
"Bulk Terminal","40,528","22,820","26,815","1,503","9,692","101,358"
"Pipeline","9,798","7,888","16,074","822","2,479","37,061"
"Reformulated - RBOB","16,874","6,583","10,889","–","11,781","46,127"
"Refinery","1,780","1,426","1,243","–","4,976","9,425"
"Bulk Terminal","12,219","3,888","5,008","–","5,436","26,551"
"Pipeline","2,875","1,269","4,638","–","1,369","10,151"
"Conventional","39,027","36,596","57,958","5,226","14,040","152,847"
"Refinery","3,795","11,045","24,715","2,901","8,674","51,130"
"Bulk Terminal","28,309","18,932","21,807","1,503","4,256","74,807"
"Pipeline","6,923","6,619","11,436","822","1,110","26,910"
"CBOB","26,984","29,096","30,920","3,753","6,800","97,553"
"Refinery","721","5,196","10,051","1,429","2,086","19,483"
"Bulk Terminal","19,340","17,514","9,619","1,502","3,607","51,582"
"Pipeline","6,923","6,386","11,250","822","1,107","26,488"
"GTAB","962","–","–","–","–","962"
"Refinery","–","–","–","–","–","–"
"Bulk Terminal","962","–","–","–","–","962"
"Pipeline","–","–","–","–","–","–"
"Other","11,081","7,500","27,038","1,473","7,240","54,332"
"Refinery","3,074","5,849","14,664","1,472","6,588","31,647"
"Bulk Terminal","8,007","1,418","12,188","1","649","22,263"
"Pipeline","–","233","186","–","3","422"
"Aviation Gasoline Blending Components","–","–","13","–","–","13"
"Refinery","–","–","13","–","–","13"
"Bulk Terminal","–","–","–","–","–","–"
"Finished Motor Gasoline","4,897","6,216","10,320","2,069","2,390","25,892"
"Refinery","25","1,706","4,533","948","1,035","8,247"
"Bulk Terminal","1,420","2,380","2,186","849","1,232","8,067"
"Pipeline","3,452","2,130","3,601","272","123","9,578"
"Reformulated","25","–","–","–","18","43"
"Refinery","–","–","–","–","18","18"
"Bulk Terminal","25","–","–","–","–","25"
"Pipeline","–","–","–","–","–","–"
"Reformulated (Blended with Fuel Ethanol)","25","–","–","–","18","43"
"Refinery","–","–","–","–","18","18"
"Bulk Terminal","25","–","–","–","–","25"
"Pipeline","–","–","–","–","–","–"
"Reformulated (Other)","–","–","–","–","–","–"
"Refinery","–","–","–","–","–","–"
"Bulk Terminal","–","–","–","–","–","–"
"Pipeline","–","–","–","–","–","–"
"Conventional","4,872","6,216","10,320","2,069","2,372","25,849"
"Refinery","25","1,706","4,533","948","1,017","8,229"
"Bulk Terminal","1,395","2,380","2,186","849","1,232","8,042"
"Pipeline","3,452","2,130","3,601","272","123","9,578"
"Conventional (Blended with Fuel Ethanol)","47","96","–","68","–","211"
"Refinery","–","–","–","65","–","65"
"Bulk Terminal","47","96","–","3","–","146"
"Pipeline","–","–","–","–","–","–"
"Ed55 and Lower","47","96","–","68","–","211"
"Refinery","–","–","–","65","–","65"
"Bulk Terminal","47","96","–","3","–","146"
"Pipeline","–","–","–","–","–","–"
"Greater than Ed55","–","–","–","–","–","–"
"Refinery","–","–","–","–","–","–"
"Bulk Terminal","–","–","–","–","–","–"
"Pipeline","–","–","–","–","–","–"
"Conventional (Other)","4,825","6,120","10,320","2,001","2,372","25,638"
"Refinery","25","1,706","4,533","883","1,017","8,164"
"Bulk Terminal","1,348","2,284","2,186","846","1,232","7,896"
"Pipeline","3,452","2,130","3,601","272","123","9,578"
"Finished Aviation Gasoline","155","167","311","8","228","869"
"Refinery","–","87","271","8","148","514"
"Bulk Terminal","155","80","40","–","80","355"
"Pipeline","–","–","–","–","–","–"
"Kerosene-Type Jet Fuel","11,032","7,456","16,050","651","9,351","44,540"
"Refinery","698","2,149","5,589","349","3,971","12,756"
"Bulk Terminal","6,150","3,530","4,781","281","4,469","19,211"
"Pipeline","4,184","1,777","5,680","21","911","12,573"
"Kerosene","1,899","129","376","1","44","2,449"
"Refinery","133","109","154","1","6","403"
"Bulk Terminal","1,744","20","215","–","38","2,017"
"Pipeline","22","–","7","–","–","29"
"Distillate Fuel Oil","67,303","32,885","38,258","3,676","11,762","153,884"
"Refinery","2,749","7,298","14,495","1,505","4,813","30,860"
"Bulk Terminal","55,253","18,412","13,921","1,295","5,707","94,588"
"Pipeline","9,301","7,175","9,842","876","1,242","28,436"
