"STUB_1","2","3","5","1","3","4","5","1","2","4","5","1","2","3","5","1","3","4"
"Crude Oil","227","73","0","4,474","32,975","7,408","4,098","845","23,772","0","0","0","16,648","1,031","0","0","0","0"
"Petroleum Products","14,729","10","0","13,033","28,798","6,965","4,038","99,764","21,247","0","5,735","0","7,663","6,839","1,571","0","4","0"
"Pentanes Plus","11","0","–","0","1,570","314","–","0","4,979","0","–","0","720","947","–","0","0","0"
"Liquefied Petroleum Gases","4,443","0","–","612","17,339","3,513","–","1,245","2,039","0","–","0","5,916","5,892","–","0","0","0"
"Unfinished Oils","59","0","0","0","517","–","0","0","55","–","0","0","0","0","0","0","0","–"
"Motor Gasoline Blending Components","7,012","0","0","2,152","1,775","1,167","0","50,387","6,332","0","4,062","0","214","0","911","0","0","0"
"Reformulated - RBOB","0","0","0","0","340","–","0","7,251","2,383","–","2,545","0","0","0","0","0","0","–"
"Conventional","7,012","0","0","2,152","1,435","1,167","0","43,136","3,949","0","1,517","0","214","0","911","0","0","0"
"CBOB","7,012","0","0","2,152","1,227","1,167","0","43,085","3,181","0","1,517","0","214","0","911","0","0","0"
"GTAB","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other","0","0","–","0","208","–","–","51","768","–","–","0","0","0","–","0","0","–"
"Renewable Fuels","0","0","0","8,809","4,932","–","0","200","54","–","558","0","0","0","0","0","0","–"
"Fuel Ethanol","0","0","0","8,704","4,755","383","3,881","200","0","0","422","0","0","0","0","0","0","0"
"Renewable Diesel Fuel","0","0","0","106","178","57","157","0","54","0","136","0","0","0","0","0","0","0"
"Other Renewable Fuels","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Finished Motor Gasoline","250","0","0","78","193","239","0","7,450","926","0","0","0","387","0","298","0","0","0"
"Reformulated","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Reformulated Blended with Fuel Ethanol","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Reformulated Other","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Conventional","250","0","0","78","193","239","0","7,450","926","0","0","0","387","0","298","0","0","0"
"Conventional Blended with Fuel Ethanol","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Ed55 and Lower","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Greater than Ed55","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Conventional Other","250","0","0","78","193","239","0","7,450","926","0","0","0","387","0","298","0","0","0"
"Finished Aviation Gasoline","0","0","–","0","257","–","–","1,308","272","–","–","0","0","0","–","0","0","–"
"Kerosene-Type Jet Fuel","222","0","0","132","18","668","0","15,100","1,100","0","194","0","12","0","0","0","0","0"
"Kerosene","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Distillate Fuel Oil","2,732","0","0","1,159","1,122","624","0","23,221","5,029","0","921","0","414","0","362","0","0","0"
"15 ppm sulfur and under","2,732","0","0","1,159","1,122","624","0","20,726","4,973","0","921","0","414","0","362","0","0","0"
"Greater than 15 ppm to 500 ppm sulfur","0","0","–","0","0","–","–","458","56","–","–","0","0","0","–","0","0","–"
"Greater than 500 ppm sulfur","–","0","–","0","0","–","–","2,037","–","–","–","0","–","0","–","0","0","–"
"Residual Fuel Oil","0","0","–","–","946","–","–","–","0","–","–","–","0","0","–","–","0","–"
"Petrochemical Feedstocks","0","0","–","–","129","–","–","–","0","–","–","–","0","0","–","–","0","–"
"Naphtha for Petrochemical Feedstock Use","0","0","–","–","82","–","–","–","0","–","–","–","0","0","–","–","0","–"
"Other Oils for Petrochemical Feedstock Use","0","0","–","–","47","–","–","–","0","–","–","–","0","0","–","–","0","–"
"Special Naphthas","0","0","–","–","0","–","–","–","24","–","–","–","0","0","–","–","0","–"
"Lubricants","0","10","0","8","0","–","0","545","271","–","0","0","0","0","0","0","4","–"
"Waxes","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Asphalt and Road Oil","0","0","–","83","0","–","–","308","166","–","–","0","0","0","–","0","0","–"
"Miscellaneous Products","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Total","14,956","83","0","17,507","61,773","14,373","8,136","100,609","45,019","0","5,735","0","24,311","7,870","1,571","0","4","0"
