"STUB_1","2","3","1","3","4","1","2","4","5","1","2","3","5","3","4"
"Crude Oil","125","73","216","31,911","7,408","198","23,772","0","–","0","16,648","374","–","0","0"
"Petroleum Products","14,645","0","3,338","21,711","6,525","82,000","19,422","0","5,177","0","7,663","6,839","1,571","0","0"
"Pentanes Plus","11","0","0","1,570","314","0","4,979","0","–","0","720","947","–","0","0"
"Liquefied Petroleum Gases","4,443","0","612","17,339","3,513","1,216","2,039","0","–","0","5,916","5,892","–","0","0"
"Motor Gasoline Blending Components","7,012","0","1,674","1,567","1,167","42,197","5,917","0","4,062","0","214","0","911","0","0"
"Reformulated - RBOB","0","0","0","340","–","7,251","2,383","–","2,545","0","0","0","0","0","–"
"Conventional","7,012","0","1,674","1,227","1,167","34,946","3,534","0","1,517","0","214","0","911","0","0"
"CBOB","7,012","0","1,674","1,227","1,167","34,946","2,997","0","1,517","0","214","0","911","0","0"
"GTAB","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other","0","0","–","0","–","–","537","–","–","–","0","0","–","0","–"
"Renewable Fuels","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Fuel Ethanol","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Renewable Diesel Fuel","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other Renewable Fuels","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Finished Motor Gasoline","250","0","28","95","239","3,979","670","0","0","0","387","0","298","0","0"
"Reformulated","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Reformulated Blended with Fuel Ethanol","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Reformulated Other","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Conventional","250","0","28","95","239","3,979","670","0","0","0","387","0","298","0","0"
"Conventional Blended with Fuel Ethanol","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Ed55 and Lower","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Greater than Ed55","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Conventional Other","250","0","28","95","239","3,979","670","0","0","0","387","0","298","0","0"
"Finished Aviation Gasoline","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Kerosene-Type Jet Fuel","222","0","132","18","668","14,079","1,100","0","194","0","12","0","0","0","0"
"Kerosene","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Distillate Fuel Oil","2,707","0","892","1,122","624","20,529","4,717","0","921","0","414","0","362","0","0"
"15 ppm sulfur and under","2,707","0","892","1,122","624","18,034","4,661","0","921","0","414","0","362","0","0"
"Greater than 15 ppm to 500 ppm sulfur","0","0","0","0","–","458","56","–","–","0","0","0","–","0","–"
"Greater than 500 ppm sulfur","–","0","0","0","–","2,037","–","–","–","0","–","0","–","0","–"
"Residual Fuel Oil","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Miscellaneous Products","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Total","14,770","73","3,554","53,622","13,933","82,198","43,194","0","5,177","0","24,311","7,213","1,571","0","0"
