"STUB_1","2","3","5","1","3","5","1","New England","Central Atlantic","Lower Atlantic","2","5","1","2","3"
"Crude Oil","104","0","–","324","321","–","1,189","–","1,189","–","50","–","0","0","0"
"Petroleum Products","55","9","0","1,263","3,112","0","19,051","–","904","18,147","1,177","127","0","0","4"
"Liquefied Petroleum Gases","–","0","–","0","0","–","29","–","–","29","–","–","0","–","0"
"Unfinished Oils","55","0","–","0","1,076","–","0","–","–","–","108","–","0","0","0"
"Motor Gasoline Blending Components","0","0","–","757","329","–","9,153","–","373","8,780","328","–","0","0","0"
"Reformulated - RBOB","–","0","–","0","0","–","169","–","169","–","–","–","0","–","0"
"Conventional","0","0","–","757","329","–","8,984","–","204","8,780","328","–","0","0","0"
"CBOB","0","0","–","704","0","–","8,984","–","204","8,780","105","–","0","0","0"
"GTAB","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other","0","0","–","53","329","–","0","–","–","–","223","–","0","0","0"
"Renewable Fuels","0","0","–","0","788","–","175","–","–","175","0","–","0","0","0"
"Fuel Ethanol","0","0","–","0","768","–","175","–","–","175","0","–","0","0","0"
"Renewable Diesel Fuel","0","0","0","–","20","0","–","–","–","–","0","127","–","0","0"
"Other Renewable Fuels","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Finished Motor Gasoline","0","0","–","47","99","–","3,782","–","316","3,466","180","–","0","0","0"
"Reformulated","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Reformulated Blended with Fuel Ethanol","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Reformulated Other","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Conventional","0","0","–","47","99","–","3,782","–","316","3,466","180","–","0","0","0"
"Conventional Blended with Fuel Ethanol","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Ed55 and Lower","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Greater than Ed55","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Conventional Other","0","0","–","47","99","–","3,782","–","316","3,466","180","–","0","0","0"
"Finished Aviation Gasoline","0","0","–","0","0","–","839","–","–","839","61","–","0","0","0"
"Kerosene-Type Jet Fuel","–","0","–","0","0","–","1,186","–","–","1,186","–","–","0","–","0"
"Kerosene","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Distillate Fuel Oil","0","0","–","346","49","–","3,110","–","–","3,110","142","–","0","0","0"
"15 ppm sulfur and under","0","0","–","346","49","–","3,110","–","–","3,110","97","–","0","0","0"
"Greater than 15 ppm to 500 ppm sulfur","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Greater than 500 ppm sulfur","0","0","–","–","0","–","–","–","–","–","45","–","–","0","0"
"Residual Fuel Oil","0","0","–","–","552","–","–","–","–","–","0","–","–","0","0"
"Less than 0.31 percent sulfur","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"0.31 to 1.00 percent sulfur","0","0","–","–","40","–","–","–","–","–","0","–","–","0","0"
"Greater than 1.00 percent sulfur","0","0","–","–","512","–","–","–","–","–","0","–","–","0","0"
"Petrochemical Feedstocks","0","0","–","–","167","–","–","–","–","–","0","–","–","0","0"
"Naphtha for Petrochemical Feedstock Use","0","0","–","–","121","–","–","–","–","–","0","–","–","0","0"
"Other Oils for Petrochemical Feedstock Use","0","0","–","–","46","–","–","–","–","–","0","–","–","0","0"
"Special Naphthas","0","0","–","–","0","–","–","–","–","–","34","–","–","0","0"
"Lubricants","0","9","0","0","0","0","548","–","215","333","245","0","0","0","4"
"Waxes","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Asphalt and Road Oil","0","0","–","113","52","–","229","–","–","229","69","–","0","0","0"
"Miscellaneous Products","0","0","–","–","0","–","–","–","–","–","10","–","–","0","0"
"Total","159","9","0","1,587","3,433","0","20,240","–","2,093","18,147","1,227","127","0","0","4"
