"STUB_1","STUB_2","Pipeline","Tanker and Barge","Rail","Total"
"From 1 to","2","79","104","0","183"
"From 1 to","3","73","0","0","73"
"From 1 to","4","0","–","0","0"
"From 1 to","5","–","–","0","0"
"From 2 to","1","243","324","2,656","3,223"
"From 2 to","3","30,014","321","1,428","31,763"
"From 2 to","4","8,205","–","0","8,205"
"From 2 to","5","–","–","3,944","3,944"
"From 3 to","1","188","1,189","0","1,377"
"From 3 to","2","27,208","50","0","27,258"
"From 3 to","4","0","–","0","0"
"From 3 to","5","–","–","0","0"
"From 4 to","1","0","0","0","0"
"From 4 to","2","18,106","0","0","18,106"
"From 4 to","3","345","0","559","904"
"From 4 to","5","–","–","0","0"
"From 5 to","1","0","0","0","0"
"From 5 to","2","0","0","0","0"
"From 5 to","3","0","0","0","0"
"From 5 to","4","0","–","0","0"
