"STUB_1","Receipts","Shipments","Net Receipts","Receipts","Shipments","Net Receipts","Receipts","Shipments","Net Receipts","Receipts","Shipments","Net Receipts","Receipts","Shipments","Net Receipts"
"Crude Oil","5,319","300","5,019","40,647","48,955","-8,308","34,079","24,617","9,462","7,408","17,679","-10,271","4,098","0","4,098"
"Petroleum Products","112,797","14,739","98,058","43,639","52,834","-9,196","35,651","126,746","-91,094","6,965","16,073","-9,108","11,344","4","11,340"
"Pentanes Plus","0","11","-11","5,710","1,884","3,826","2,517","4,979","-2,462","314","1,667","-1,353","0","0","–"
"Liquefied Petroleum Gases","1,857","4,443","-2,586","12,398","21,464","-9,066","23,231","3,284","19,947","3,513","11,808","-8,295","0","0","–"
"Ethane/Ethylene","45","4,380","-4,335","6,308","9,585","-3,277","10,689","265","10,424","1,006","3,818","-2,812","0","0","–"
"Propane/Propylene","1,812","45","1,767","3,418","8,303","-4,885","8,524","1,911","6,613","1,622","5,117","-3,495","0","0","–"
"Normal Butane/Butylene","0","5","-5","1,534","2,461","-927","2,651","462","2,189","652","1,909","-1,257","0","0","–"
"Isobutane/Isobutylene","0","13","-13","1,138","1,115","23","1,367","646","721","233","964","-731","0","0","–"
"Unfinished Oils","0","59","-59","114","517","-403","517","55","462","0","0","–","0","0","–"
"Motor Gasoline Blending Components","52,539","7,012","45,527","13,558","5,094","8,464","1,775","60,781","-59,006","1,167","1,125","42","4,973","0","4,973"
"Reformulated - RBOB","7,251","0","7,251","2,383","340","2,043","340","12,179","-11,839","–","–","–","2,545","0","2,545"
"Conventional","45,288","7,012","38,276","11,175","4,754","6,421","1,435","48,602","-47,167","1,167","1,125","42","2,428","0","2,428"
"CBOB","45,237","7,012","38,225","10,407","4,546","5,861","1,227","47,783","-46,556","1,167","1,125","42","2,428","0","2,428"
"GTAB","0","0","–","–","–","–","0","0","–","–","–","–","–","–","–"
"Other","51","0","51","768","208","560","208","819","-611","0","0","–","0","0","–"
"Renewable Fuels","9,009","0","9,009","54","18,219","-18,166","4,932","812","4,121","440","0","440","4,596","0","4,596"
"Fuel Ethanol","8,904","0","8,904","0","17,722","-17,722","4,755","622","4,133","383","0","383","4,303","0","4,303"
"Renewable Diesel Fuel","106","0","106","54","497","-443","178","190","-12","57","0","57","292","0","292"
"Other Renewable Fuels","–","–","–","–","–","–","0","0","–","–","–","–","0","0","–"
"Finished Motor Gasoline","7,528","250","7,278","1,563","510","1,053","193","8,376","-8,183","239","685","-446","298","0","298"
"Reformulated","0","0","–","0","0","–","0","0","–","–","–","–","0","0","–"
"Reformulated Blended with Fuel Ethanol","0","0","–","0","0","–","0","0","–","–","–","–","0","0","–"
"Reformulated Other","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Conventional","7,528","250","7,278","1,563","510","1,053","193","8,376","-8,183","239","685","-446","298","0","298"
"Conventional Blended with Fuel Ethanol","0","0","–","0","0","–","0","0","–","0","0","–","0","0","–"
"Ed55 and Lower","0","0","–","0","0","–","0","0","–","0","0","–","0","0","–"
"Greater than Ed55","0","0","–","0","0","–","0","0","–","0","0","–","0","0","–"
"Conventional Other","7,528","250","7,278","1,563","510","1,053","193","8,376","-8,183","239","685","-446","298","0","298"
"Finished Aviation Gasoline","1,308","0","1,308","272","257","15","257","1,580","-1,323","0","0","–","0","0","–"
"Kerosene-Type Jet Fuel","15,232","222","15,010","1,334","818","516","18","16,394","-16,376","668","12","656","194","0","194"
"Kerosene","0","0","–","0","0","–","0","0","–","0","0","–","0","0","–"
"Distillate Fuel Oil","24,380","2,732","21,648","8,175","2,905","5,270","1,122","29,171","-28,049","624","776","-152","1,283","0","1,283"
"15 ppm sulfur and under","21,885","2,732","19,153","8,119","2,905","5,214","1,122","26,620","-25,498","624","776","-152","1,283","0","1,283"
"Greater than 15 ppm to 500 ppm sulfur","458","0","458","56","0","56","0","514","-514","0","0","–","0","0","–"
"Greater than 500 ppm sulfur","2,037","0","2,037","0","0","–","0","2,037","-2,037","0","0","–","0","0","–"
"Residual Fuel Oil","0","0","–","0","946","-946","946","0","946","0","0","–","0","0","–"
"Petrochemical Feedstocks","0","0","–","0","129","-129","129","0","129","–","–","–","0","0","–"
"Naphtha for Petrochemical Feedstock Use","0","0","–","0","82","-82","82","0","82","–","–","–","0","0","–"
"Other Oils for Petrochemical Feedstock Use","–","–","–","0","47","-47","47","0","47","–","–","–","–","–","–"
"Special Naphthas","0","0","–","24","0","24","0","24","-24","–","–","–","0","0","–"
"Lubricants","553","10","543","271","8","263","14","816","-802","0","0","–","0","4","-4"
"Waxes","0","0","–","0","0","–","0","0","–","0","0","–","0","0","–"
"Asphalt and Road Oil","391","0","391","166","83","83","0","474","-474","0","0","–","0","0","–"
"Miscellaneous Products","0","0","–","0","0","–","0","0","–","0","0","–","0","0","–"
"Total","118,116","15,039","103,077","84,286","101,789","-17,503","69,731","151,363","-81,632","14,373","33,752","-19,379","15,441","4","15,437"
