"Table 10.  PAD District 4 -- Daily Average Supply and Disposition of Crude Oil and Petroleum Products,  2005",,,,,,,,,,,
,,      (Thousand Barrels per Day),,,,,,,,,
Commodity,,,Supply,,,,,Disposition,,,
,,,Field Production,Refinery and Blender Net Production,Imports (PADD of Entry)a,Net Receipts,Adjust-mentsb,Stock Changec,Refinery and Blender Net Inputs,Exports,Products Suppliedd
Crude Oil,,,340,  - ,332,-83,-25,5,558,1,  - 
Natural Gas Liquids and LRGs,,,202,4,10,-159,  - ,0,16,2,39
,Pentanes Plus,,30,  - ,1,-17,  - ,0,6,1,6
,Liquefied Petroleum Gases,,172,4,9,-141,  - ,0,9,1,34
,,Ethane/Ethylene,82,0,0,-76,  - ,0,0,0,6
,,Propane/Propylene,57,8,7,-39,  - ,0,0,0,33
,,Normal Butane/Butylene,24,-2,2,-15,  - ,0,5,0,2
,,Isobutane/Isobutylene,10,-2,0,-11,  - ,0,4,0,-7
Other Liquids,,,  - ,  - ,0,0,15,0,16,0,-1
,Other Hydrocarbons/Oxygenates,,  - ,  - ,0,0,7,0,7,0,0
,Unfinished Oils,,  - ,  - ,0,0,  - ,1,0,0,-1
,Motor Gasoline Blend. Comp. (MGBC),,  - ,  - ,0,0,8,-1,9,0,0
,,Reformulated,  - ,  - ,0,0,0,0,0,0,0
,,Conventional,  - ,  - ,0,0,8,-1,9,0,0
,Aviation Gasoline Blend. Comp.,,  - ,  - ,0,0,  - ,0,0,0,0
Finished Petroleum Products,,,  - ,607,8,-3,-8,-1,  - ,1,604
,Finished Motor Gasoline,,  - ,289,0,-5,-8,-1,  - ,0,277
,,Reformulated,  - ,0,0,0,0,0,  - ,0,0
,,Conventional,  - ,289,0,-5,-8,-1,  - ,0,277
,Finished Aviation Gasoline,,  - ,0,0,0,  - ,0,  - ,0,0
,Kerosene-Type Jet Fuel,,  - ,30,0,8,  - ,0,  - ,0,38
,Kerosene,,  - ,2,0,-1,  - ,0,  - ,0,1
,Distillate Fuel Oil,,  - ,171,6,-5,  - ,-1,  - ,0,173
,,15 ppm sulfur and under,  - ,0,0,0,  - ,0,  - ,0,0
,,Greater than 15 ppm to 500 ppm sulfur,  - ,144,6,-5,  - ,-1,  - ,0,146
,,Greater than 500 ppm sulfur,  - ,27,0,0,  - ,0,  - ,0,27
,Residual Fuel Oile,,  - ,15,0,0,  - ,0,  - ,0,15
,,Less than 0.31 percent sulfur,  - ,1,0,0,  - ,0,  - ,  - ,  - 
,,0.31 to 1.00 percent sulfur,  - ,4,0,0,  - ,0,  - ,  - ,  - 
,,Greater than 1.00 percent sulfur,  - ,10,0,0,  - ,0,  - ,  - ,  - 
,Petrochemical Feedstocks,,  - ,1,0,0,  - ,0,  - ,  - ,1
,,Naphtha for Petro. Feed. Use,  - ,0,0,0,  - ,0,  - ,  - ,0
,,Other Oils for Petro. Feed. Use,  - ,1,0,0,  - ,0,  - ,  - ,1
,Special Naphthas,,  - ,0,0,0,  - ,0,  - ,0,0
,Lubricants,,  - ,0,0,0,  - ,0,  - ,0,0
,Waxes,,  - ,2,0,0,  - ,0,  - ,0,2
,Petroleum Coke,,  - ,18,0, - ,  - ,0,  - ,0,18
,,Marketable,  - ,11,0, - ,  - ,0,  - ,0,11
,,Catalyst,  - ,7, - , - ,  - , - ,  - , - ,7
,Asphalt and Road Oil,,  - ,53,1,0,  - ,0,  - ,0,54
,Still Gas,,  - ,23, - , - ,  - , - ,  - , - ,23
,Miscellaneous Products,,  - ,2,0,0,  - ,0,  - ,0,2
Total,,,541,611,349,-244,-17,3,590,4,643
