"Table 11.  PAD District 5 -- Supply, Disposition, and Ending Stocks of Crude Oil and Petroleum Products,  2005",,,,,,,,,,,,
,,      (Thousand Barrels),,,,,,,,,,
Commodity,,,Supply,,,,,Disposition,,,,
,,,Field Production,Refinery and Blender Net Production,Imports (PADD of Entry)a,Net Receipts,Adjust-mentsb,Stock Changec,Refinery and Blender Net Inputs,Exports,Products Suppliedd, Ending Stocks 
Crude Oil,,,"572,765",  - ,"385,925",0,"4,105",-129,"962,923",1,0,"52,791"
Natural Gas Liquids and LRGs,,,"28,161","24,908",905,0,  - ,58,"24,544","7,108","22,264","3,189"
,Pentanes Plus,,"13,633",  - ,0,0,  - ,75,"10,326",424,"2,808",95
,Liquefied Petroleum Gases,,"14,528","24,908",905,0,  - ,-17,"14,218","6,684","19,456","3,094"
,,Ethane/Ethylene,44,0,0,0,  - ,-1,0,0,45,0
,,Propane/Propylene,"4,842","20,540",672,0,  - ,130,0,"5,589","20,335","1,396"
,,Normal Butane/Butylene,"3,593","8,076",222,0,  - ,48,"9,301","1,095","1,447","1,280"
,,Isobutane/Isobutylene,"6,049","-3,708",11,0,  - ,-194,"4,917",0,"-2,371",418
Other Liquids,,,  - ,  - ,"37,398","13,163","39,119","2,347","82,793","1,356","3,184","44,517"
,Other Hydrocarbons/Oxygenates,,  - ,  - ,"2,705",0,"36,336",484,"37,248","1,309",0,"1,865"
,Unfinished Oils,,  - ,  - ,"21,371",798,  - ,"1,220","17,765",0,"3,184","19,408"
,Motor Gasoline Blend. Comp. (MGBC),,  - ,  - ,"13,322","12,365","2,783",643,"27,780",47,0,"23,244"
,,Reformulated,  - ,  - ,"2,539","10,709","7,714",-161,"21,123",0,0,"12,650"
,,Conventional,  - ,  - ,"10,783","1,656","-4,931",804,"6,657",47,0,"10,594"
,Aviation Gasoline Blend. Comp.,,  - ,  - ,0,0,  - ,0,0,0,0,0
Finished Petroleum Products,,,  - ,"1,111,173","58,326","39,486","-1,458","-1,401",  - ,"80,193","1,128,737","43,836"
,Finished Motor Gasoline,,  - ,"553,365","8,671","34,016","-1,458",-589,  - ,"3,391","591,794","8,332"
,,Reformulated,  - ,"406,603",0,"9,574","-7,671",269,  - ,"1,144","407,050","1,140"
,,Conventional,  - ,"146,762","8,671","24,442","6,213",-858,  - ,"2,247","184,744","7,192"
,Finished Aviation Gasoline,,  - ,694,5,348,  - ,62,  - ,0,985,330
,Kerosene-Type Jet Fuel,,  - ,"159,044","26,608","1,986",  - ,-147,  - ,"7,639","180,146","10,389"
,Kerosene,,  - ,149,0,0,  - ,-17,  - ,42,124,84
,Distillate Fuel Oil,,  - ,"199,588","5,973","3,621",  - ,437,  - ,"7,394","201,351","13,614"
,,15 ppm sulfur and under,  - ,"4,258",885,-130,  - ,330,  - ,0,"4,683",927
,,Greater than 15 ppm to 500 ppm sulfur,  - ,"161,711","3,236","3,634",  - ,-147,  - ,"2,748","165,980","9,915"
,,Greater than 500 ppm sulfur,  - ,"33,619","1,852",117,  - ,254,  - ,"4,646","30,688","2,772"
,Residual Fuel Oile,,  - ,"56,790","15,565",0,  - ,"-1,765",  - ,"19,097","55,023","5,063"
,,Less than 0.31 percent sulfur,  - ,"2,515","2,582",0,  - ,61,  - ,  - ,  - ,279
,,0.31 to 1.00 percent sulfur,  - ,"16,783","1,249",0,  - ,-846,  - ,  - ,  - ,"1,039"
,,Greater than 1.00 percent sulfur,  - ,"37,492","11,734",0,  - ,-871,  - ,  - ,  - ,"3,570"
,Petrochemical Feedstocks,,  - ,"3,808",81,10,  - ,69,  - ,  - ,"3,830",188
,,Naphtha for Petro. Feed. Use,  - ,16,81,10,  - ,-2,  - ,  - ,109,0
,,Other Oils for Petro. Feed. Use,  - ,"3,792",0,0,  - ,71,  - ,  - ,"3,721",188
,Special Naphthas,,  - ,468,196,-100,  - ,13,  - ,"4,370","-3,819",37
,Lubricants,,  - ,"6,855",275,-395,  - ,-241,  - ,"1,147","5,829","1,147"
,Waxes,,  - ,0,245,0,  - ,0,  - ,173,72,0
,Petroleum Coke,,  - ,"61,017",195,  - ,  - ,"1,274",  - ,"35,899","24,039","2,671"
,,Marketable,  - ,"46,616",195,  - ,  - ,"1,274",  - ,"35,899","9,638","2,671"
,,Catalyst,  - ,"14,401",  - ,  - ,  - ,  - ,  - ,0,"14,401",  - 
,Asphalt and Road Oil,,  - ,"16,540",512,0,  - ,-522,  - ,898,"16,676","1,807"
,Still Gas,,  - ,"50,010",  - ,  - ,  - ,  - ,  - ,0,"50,010",  - 
,Miscellaneous Products,,  - ,"2,845",0,0,  - ,25,  - ,142,"2,678",174
Total,,,"600,926","1,136,081","482,554","52,649","41,766",875,"1,070,260","88,658","1,154,185","144,333"
