"Table 13.  Production of Crude Oil by PAD District and State,  2005",,,,

PAD District and State,,,Total,Daily Average
PAD District 1,,,"8,299",23
,Florida,,"2,585",7
,New York,,197,1
,Pennsylvania,,"3,947",11
,Virginia,,8,0
,West Virginia,,"1,563",4
PAD District 2,,,"161,587",443
,Illnois,,"10,207",28
,Indiana,,"1,727",5
,Kansas,,"33,823",93
,Kentucky,,"2,535",7
,Michigan,,"5,549",15
,Missouri,,85,0
,Nebraska,,"2,413",7
,North Dakota,,"35,660",98
,Ohio,,"5,652",15
,Oklahoma,,"62,142",170
,South Dakota,,"1,469",4
,Tennessee,,324,1
PAD District 3,,,"1,023,499","2,804"
,Alabama,,"7,861",22
,Arkansas,,"6,344",17
,Louisianaa,,"75,483",207
,Mississippi,,"17,695",48
,New Mexico,,"60,660",166
,Texasa,,"387,680","1,062"
,Federal Offshore PAD District 3,,"467,776","1,282"
PAD District 4,,,"123,956",340
,Colorado,,"22,823",63
,Montana,,"32,855",90
,Utah,,"16,651",46
,Wyoming,,"51,626",141
PAD District 5,,,"572,765","1,569"
,Alaskaa,,"315,420",864
,,South Alaska,"7,110",19
,,North Slope,"308,311",845
,Arizona,,50,0
,Californiaa,,"230,294",631
,Nevada,,447,1
,Federal Offshore PAD District 5,,"26,554",73
U.S. Totala,,,"1,890,106","5,178"
