"Table 20.  Refinery Stocks of Crude Oil and Petroleum Products by PAD and Refining Districts,  2005",,,,,,,,,,,,,,,,,,,
,,      (Thousand Barrels),,,,,,,,,,,,,,,,,
Commodity,,,,PAD District 1,,,PAD District 2,,,,PAD District 3,,,,,,PAD      Dist. 4,PAD      Dist. 5,
,,,,East Coast,Appalachian No. 1,Total,"IN, IL, KY","MN, WI, ND, SD","OK, KS, MO",Total,Texas Inland,Texas Gulf Coast,LA Gulf Coast,"N. LA, AR",New Mexico,Total,Rocky Mt.,West Coast,U. S. Total
Crude Oil,,,,"13,748",465,"14,213","9,779","2,274","2,293","14,346","1,281","25,496","19,162","1,254",371,"47,564","2,344","21,862","100,329"
Petroleum Products,,,,"26,523","1,981","28,504","28,553","7,361","10,769","46,683","9,647","53,118","48,379","4,077","1,324","116,545","10,579","53,929","256,240"
,Pentanes Plus,,,0,0,0,171,89,382,642,190,87,307,4,8,596,15,0,"1,253"
,Liquefied Petroleum Gases,,,"1,122",16,"1,138","1,799",413,741,"2,953","1,970",663,"3,660",14,46,"6,353",373,"1,268","12,085"
,,Ethane/Ethylene,,0,0,0,0,0,0,0,219,0,0,0,0,219,0,0,219
,,Propane/Propylene,,337,1,338,903,41,312,"1,256","1,139",89,558,1,4,"1,791",89,136,"3,610"
,,Normal Butane/Butylene,,579,8,587,741,317,245,"1,303",398,419,"2,442",5,17,"3,281",211,837,"6,219"
,,Isobutane/Isobutylene,,206,7,213,155,55,184,394,214,155,660,8,25,"1,062",73,295,"2,037"
Other Hydrocarbons/Hydrogen/Oxygenates,,,,512,0,512,29,18,0,47,22,712,374,0,12,"1,120",48,39,"1,766"
,Other Hydrocarbons/Hydrogen,,,0,0,0,28,0,0,28,0,0,4,0,0,4,0,13,45
,Oxygenates,,,512,0,512,1,18,0,19,22,712,370,0,12,"1,116",48,26,"1,721"
,,Fuel Ethanol (FE),,0,0,0,1,18,0,19,9,0,0,0,7,16,48,26,109
,,Methyl Tertiary Butyl Ether (MTBE),,512,0,512,0,0,0,0,8,710,370,0,5,"1,093",0,0,"1,605"
,,All Other Oxygenatesa,,0,0,0,0,0,0,0,5,2,0,0,0,7,0,0,7
Unfinished Oils,,,,"7,385",469,"7,854","8,193",641,"3,343","12,177","2,350","21,695","16,427",991,498,"41,961","3,005","19,387","84,384"
,Naphthas and Lighter,,,991,266,"1,257","2,301",98,"1,065","3,464",569,"5,641","2,791",149,201,"9,351",617,"3,511","18,200"
,Kerosene and Light Gas Oils,,,"1,919",0,"1,919","1,664",116,350,"2,130",284,"3,409","2,931",393,71,"7,088",486,"3,338","14,961"
,Heavy Gas Oils,,,"2,548",192,"2,740","2,817",366,877,"4,060",812,"8,731","7,563",446,226,"17,778","1,264","9,650","35,492"
,Residuum,,,"1,927",11,"1,938","1,411",61,"1,051","2,523",685,"3,914","3,142",3,0,"7,744",638,"2,888","15,731"
Motor Gasoline Blending Components (MGBC),,,,"4,322",12,"4,334","5,036","1,727",938,"7,701","1,484","6,573","5,854",99,311,"14,321","1,488","13,646","41,490"
,Reformulated,,,772,0,772,"1,174",94,0,"1,268",101,531,0,0,0,632,0,"5,891","8,563"
,,GTAB,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,RBOB for Blending with Ether,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,RBOB for Blending with Alcohol,,772,0,772,"1,174",94,0,"1,268",101,531,0,0,0,632,0,"5,891","8,563"
,Conventional,,,"3,550",12,"3,562","3,862","1,633",938,"6,433","1,383","6,042","5,854",99,311,"13,689","1,488","7,755","32,927"
,,CBOB for Blending with Alcohol,,0,0,0,545,563,0,"1,108",83,146,0,0,0,229,0,542,"1,879"
,,GTAB,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Other,,"3,550",12,"3,562","3,317","1,070",938,"5,325","1,300","5,896","5,854",99,311,"13,460","1,488","7,213","31,048"
Aviation Gasoline Blending Components,,,,139,0,139,47,0,0,47,4,0,0,0,0,4,0,0,190
Finished Motor Gasoline,,,,"4,348",220,"4,568","2,826",776,"2,121","5,723","1,421","5,422","5,609",307,120,"12,879","2,179","2,819","28,168"
,Reformulated,,,"2,311",0,"2,311",0,0,0,0,182,"1,276",471,0,0,"1,929",0,325,"4,565"
,,Reformulated Blended with Ether,,"2,311",0,"2,311",0,0,0,0,59,"1,276",471,0,0,"1,806",0,0,"4,117"
,,Reformulated Blended with Alcohol,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
,,Reformulated (Non-Oxygenated),,0,0,0,0,0,0,0,123,0,0,0,0,123,0,311,434
,Conventional,,,"2,037",220,"2,257","2,826",776,"2,121","5,723","1,239","4,146","5,138",307,120,"10,950","2,179","2,494","23,603"
,,Conventional Blended with Alcohol,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
,,Conventional Other,,"2,037",220,"2,257","2,826",776,"2,121","5,723","1,239","4,146","5,138",307,120,"10,950","2,177","2,494","23,601"
Finished Aviation Gasoline,,,,0,0,0,3,95,25,123,44,111,173,0,0,328,32,188,671
Kerosene-Type Jet Fuel,,,,635,0,635,"1,221",77,347,"1,645",435,"2,361","2,353",118,26,"5,293",258,"3,823","11,654"
Kerosene,,,,132,45,177,236,43,72,351,25,260,57,5,3,350,35,71,984
Distillate Fuel Oil,,,,"4,452",186,"4,638","3,911","1,251","1,714","6,876",999,"6,109","4,905",446,185,"12,644","1,478","5,493","31,129"
,15 ppm sulfur and under,,,0,0,0,88,0,0,88,29,39,0,0,0,68,0,290,446
,Greater than 15 ppm to 500 ppm sulfur,,,"2,331",168,"2,499","2,512",949,895,"4,356",736,"3,952","1,996",270,130,"7,084","1,011","3,778","18,728"
,Greater than 500 ppm sulfur,,,"2,121",18,"2,139","1,311",302,819,"2,432",234,"2,118","2,909",176,55,"5,492",467,"1,425","11,955"
Residual Fuel Oil,,,,"1,829",11,"1,840","1,008",186,90,"1,284",54,"2,144","1,798",230,7,"4,233",254,"2,394","10,005"
,Less than 0.31 percent sulfur,,,835,4,839,0,0,0,0,2,17,140,0,0,159,9,122,"1,129"
,0.31 to 1.00 percent sulfur,,,693,4,697,78,0,0,78,0,145,108,180,2,435,60,842,"2,112"
,Greater than 1.00 percent sulfur,,,301,3,304,930,186,90,"1,206",52,"1,982","1,550",50,5,"3,639",185,"1,430","6,764"
Petrochemical Feedstocks,,,,443,0,443,446,0,0,446,82,"1,310",947,0,15,"2,354",0,188,"3,431"
,Naphtha for Petro. Feed. Use,,,443,0,443,349,0,0,349,14,645,489,0,15,"1,163",0,0,"1,955"
,Other Oils for Petro. Feed. Use,,,0,0,0,97,0,0,97,68,665,458,0,0,"1,191",0,188,"1,476"
Special Naphthas,,,,7,23,30,195,0,30,225,87,810,0,145,0,"1,042",3,37,"1,337"
Lubricants,,,,428,198,626,74,0,203,277,54,"1,942","1,503",726,0,"4,225",0,698,"5,826"
Waxes,,,,0,167,167,27,0,48,75,0,111,78,92,0,281,26,0,549
Petroleum Coke,,,,34,0,34,440,867,57,"1,364",0,"2,183","3,423",0,0,"5,606",91,"2,671","9,766"
,Marketable,,,34,0,34,440,867,57,"1,364",0,"2,183","3,423",0,0,"5,606",91,"2,671","9,766"
,Catalyst,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asphalt and Road Oil,,,,716,621,"1,337","2,831","1,161",637,"4,629",400,504,785,900,93,"2,682","1,293","1,128","11,069"
Miscellaneous Products,,,,19,13,32,60,17,21,98,26,121,126,0,0,273,1,79,483
"Total Stocks, All Oils",,,,"40,271","2,446","42,717","38,332","9,635","13,062","61,029","10,928","78,614","67,541","5,331","1,695","164,109","12,923","75,791","356,569"
