"Table 21.  Percent Yield of Petroleum Products by PAD and Refining Districts,  2005",,,,,,,,,,,,,,,,,,

Commodity,,,PAD District 1,,,PAD District 2,,,,PAD District 3,,,,,,PAD Dist. 4,PAD Dist. 5,
,,,East Coast,Appalachian No. 1,Total,"IN, IL, KY","MN, WI, ND, SD","OK, KS, MO",Total,Texas Inland,Texas Gulf Coast,LA Gulf Coast,"N. LA, AR",New Mexico,Total,Rocky Mt.,West Coast,U. S. Total
Liquefied Refinery Gases,,,2.5,0.9,2.4,4.2,1.2,0.9,3.1,4.4,5.3,4.4,0.8,1.6,4.7,0.7,2.5,3.6
Finished Motor Gasolinea,,,47.1,36.7,46.6,51,49.2,49.5,50.4,52.8,43.7,43,22.1,56.4,43.8,46,47.3,46.2
Finished Aviation Gasolineb,,,0.3,0,0.3,0.1,0.5,0.1,0.1,0.5,0.1,0.2,0,0,0.1,0.1,0.1,0.1
Kerosene-Type Jet Fuel,,,6,0,5.7,7.1,7.2,4.4,6.5,7.6,9.3,12.6,3.7,5.5,10.2,5.4,16.2,9.8
Kerosene,,,0.6,1.9,0.7,0.4,0.3,0.1,0.3,0,0.9,0.3,0.2,0,0.6,0.3,0,0.4
Distillate Fuel Oil,,,28.8,28.9,28.8,24.5,27.1,35,27.1,27.9,24.6,23.7,24.2,26.4,24.5,30.6,20.4,25
Residual Fuel Oil,,,6.5,0.9,6.2,1.7,2.5,0.8,1.6,1,4.2,4.5,2.8,0.2,3.9,2.7,5.8,4
Naphtha for Petro. Feed. Use,,,0.8,0,0.8,1.2,0,0,0.8,0.2,3.4,1.6,0,0,2.3,0,0,1.4
Other Oils for Petro. Feed. Use,,,0,0,0,0.3,0,0.3,0.3,0.7,1.9,2.8,0,0,2.1,0.1,0.4,1.1
Special Naphthas,,,0.1,0.7,0.1,0.2,0,0.2,0.2,0.5,0.5,0.1,3.5,0,0.4,0,0,0.2
Lubricants,,,0.7,6.6,1,0.2,0,1.2,0.4,0.3,1.3,1.4,13.9,0,1.6,0,0.7,1.1
Waxes,,,0,0.5,0,0,0,0.3,0.1,0,0.2,0.1,0.5,0,0.1,0.4,0,0.1
Petroleum Coke,,,3,0.8,2.9,4.4,5.6,4.1,4.5,1.4,6.8,6.4,1.4,1,6,3.3,6.2,5.3
Asphalt and Road Oil,,,4.9,21.1,5.7,6,9.4,2.6,5.7,3.2,0.7,1,24.7,5.3,1.6,9.5,1.7,3.2
Still Gas,,,3.9,2.1,3.8,4,4.6,4.2,4.1,4.7,4.3,4.3,3.5,3.5,4.3,4.1,5.1,4.3
Miscellaneous Products,,,0.1,0.4,0.1,0.4,0.7,0.4,0.5,0.3,0.5,0.4,0.1,0,0.4,0.4,0.3,0.4
Processing Gain(-) or Loss(+)c,,,-5.2,-1.7,-5.1,-5.9,-8.3,-4.2,-5.8,-5.5,-7.5,-6.6,-1.4,0.1,-6.8,-3.7,-6.7,-6.3
