"Table 31.  Net Imports of Crude Oil and Petroleum Products into the United States by Country,  2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          (Thousand Barrels per Day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of Origin,,,Crude Oila,Pentanes Plus,Liquefied Petroleum Gases,Unfinished Oils,Finished Motor Gasoline,,,Motor Gasoline Blend. Comp.,,,Oxygenates,,,Distillate Fuel Oil,,,,,Kerosene,Finished Aviation Gasoline,Aviation Gasoline Blend. Comp.,Kerosene-Type Jet Fuel,Special Naphthas,Residual Fuel Oil,Petrochemical Feedstocks,,Waxes,"Petroleum
 Coke",Asphalt and Road Oil,Lubricants,Misc. Products,Total Products,Total Crude Oil and Products
,,,,,,,Reformulated,Conventional,Total,Reform-ulated ,Conven-tional,Total,Fuel Ethanol (FE),Methyl Tertiary Butyl Ether (MTBE),Other Oxygen-ates,15 ppm sulfur and under,Greater than 15 ppm to 500 ppm sulfur,501 to 2000 ppm,Greater than 2000 ppm,Total,,,,,,,Naphtha,Other Oils,,,,,,,
OPEC,,,"4,816",35,105,109,22,26,48,15,59,75,0,18,0,0,6,7,40,54,3,0,0,52,2,74,52,104,0,-2,25,-2,0,752,"5,567"
,Algeria,,228,17,51,58,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,1,0,5,12,102,0,0,0,0,0,250,478
,Indonesia,,19,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22
,Iran,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iraq,,527,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,531
,Kuwait,,227,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,0,2,2,0,0,5,0,0,0,16,243
,Libya,,44,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,3,0,0,0,0,0,13,56
,Nigeria,,"1,077",5,30,23,0,0,0,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,-1,0,88,"1,165"
,Qatar,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4
,Saudi Arabia,,"1,445",0,19,1,0,7,7,2,10,11,0,11,0,0,0,0,0,0,0,0,0,8,1,0,32,0,0,-1,0,0,0,91,"1,536"
,United Arab Emirates,,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2,0,0,0,8,16
,Venezuela,,"1,241",12,3,19,22,19,41,13,32,45,0,-3,0,0,3,7,40,50,0,0,0,34,0,49,3,0,0,-4,25,-1,0,274,"1,515"
Non OPEC,,,"5,278",5,170,473,203,215,419,75,339,413,9,-19,-9,4,106,5,22,137,2,2,0,85,-8,205,99,55,-1,-313,7,-27,-6,"1,703","6,982"
,Angola,,456,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,17,473
,Argentina,,56,0,8,2,0,9,9,0,14,14,0,0,0,0,0,-3,0,-3,0,0,0,0,0,6,0,0,0,3,0,-1,0,38,95
,Aruba,,0,0,0,81,0,0,0,0,1,1,0,0,0,1,10,5,2,18,0,0,0,9,0,1,3,0,0,9,0,0,0,122,122
,Australia,,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-10,0,0,0,-6,3
,Bahamas,,0,0,0,0,0,0,0,0,-2,-2,0,0,-2,0,0,-1,0,-1,0,0,0,-1,0,9,0,0,0,0,0,0,0,3,3
,Bahrain,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Belgium,,0,0,0,37,11,6,17,2,12,14,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,-15,0,-1,0,56,56
,Brazil,,94,0,1,2,0,1,1,0,3,3,2,4,-2,0,0,-3,0,-3,0,0,0,-2,1,44,0,0,0,-30,0,-1,0,22,117
,Brunei,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,Cameroon,,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,8
