"Table 36.  Movements of Crude Oil and Petroleum Products by Tanker and Barge Between PAD Districts,  2005",,,,,,,,,,,,,,,,,,
,,,      (Thousand Barrels),,,,,,,,,,,,,,,
Commodity,,,,From 1 to,,,From 2 to ,,,From 3 to,,From 3 to,,,,From 5 to ,,
,,,,2,3,5,1,3,5,1,New England,Central Atlantic,Lower Atlantic,2,5,1,2,3
Crude Oil,,,,35,149,0,"3,170",0,0,0,0,0,0,10,0,0,0,0
Petroleum Products,,,,"2,100","1,476",80,"11,915","14,118",0,"241,324","2,746","9,512","229,066","62,655","9,658",0,0,"1,308"
,Liquefied Petroleum Gases,,,0,0,0,0,0,0,"2,302",0,0,"2,302",105,0,0,0,0
,Unfinished Oils,,,88,112,0,242,"4,580",0,0,0,0,0,"10,663",798,0,0,0
,Motor Gasoline Blending Components,,,22,563,0,24,"1,359",0,"2,808",623,"1,868",317,"5,557","4,893",0,0,313
,,Reformulated,,22,248,0,24,0,0,"1,090",128,930,32,"1,760","3,237",0,0,313
,,,GTAB,0,222,0,0,0,0,576,128,442,6,131,437,0,0,313
,,,RBOB for Blending with Ether,0,0,0,0,0,0,120,0,120,0,0,0,0,0,0
,,,RBOB for Blending with Alcohol,22,26,0,24,0,0,394,0,368,26,"1,629","2,800",0,0,0
,,Conventional,,0,315,0,0,"1,359",0,"1,718",495,938,285,"3,797","1,656",0,0,0
,,,CBOB for Blending with Alcohol,0,0,0,0,0,0,920,0,790,130,0,0,0,0,0
,,,GTAB,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0
,,,Other,0,315,0,0,"1,359",0,798,495,148,155,"3,694","1,656",0,0,0
,Finished Motor Gasoline,,,616,45,0,"5,174","1,006",0,"128,939",0,236,"128,703","13,778","3,401",0,0,149
,,Reformulated,,0,45,0,0,0,0,187,0,187,0,25,52,0,0,0
,,,Reformulated Blended with Ether,0,0,0,0,0,0,187,0,187,0,25,52,0,0,0
,,,Reformulated Blended with Alcohol,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Reformulated (Non-Oxygenated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Conventional,,616,0,0,"5,174","1,006",0,"128,752",0,49,"128,703","13,753","3,349",0,0,149
,,,Conventional Blended with Alcohol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Conventional Other,616,0,0,"5,174","1,006",0,"128,752",0,49,"128,703","13,753","3,349",0,0,149
,Finished Aviation Gasoline,,,0,60,0,0,0,0,"1,161",116,360,685,171,348,0,0,0
,Kerosene-Type Jet Fuel,,,323,0,80,441,42,0,"32,308",0,260,"32,048","2,296",177,0,0,100
,Kerosene,,,0,0,0,147,100,0,14,0,0,14,127,0,0,0,0
,Distillate Fuel Oil,,,551,100,0,"3,513","1,665",0,"41,444","1,340",997,"39,107","14,178",10,0,0,230
,,15 ppm sulfur and Under,,0,0,0,0,0,0,294,0,264,30,"1,567",0,0,0,130
,,Greater than 15 ppm to 500 ppm sulfur,,56,20,0,"1,891","1,312",0,"33,779",884,285,"32,610","4,527",10,0,0,100
,,Greater than 500 ppm sulfur,,495,80,0,"1,622",353,0,"7,371",456,448,"6,467","8,084",0,0,0,0
,Residual Fuel Oil,,,0,100,0,164,"1,712",0,"16,792",468,73,"16,251",791,0,0,0,0
,,Less than 0.31 percent sulfur,,0,0,0,0,0,0,"4,147",468,0,"3,679",0,0,0,0,0
,,0.31 to 1.00 percent sulfur,,0,100,0,0,134,0,"2,380",0,0,"2,380",0,0,0,0,0
,,Greater than 1.00 percent sulfur,,0,0,0,164,"1,578",0,"10,265",0,73,"10,192",791,0,0,0,0
,Petrochemical Feedstocks,,,489,380,0,66,"1,092",0,"1,453",78,0,"1,375","1,594",10,0,0,0
,,Naphtha for Petrochemical Feedstock Use,,33,290,0,66,"1,020",0,"1,249",0,0,"1,249",731,10,0,0,0
,,Other Oils for Petrochemical Feedstock Use,,456,90,0,0,72,0,204,78,0,126,863,0,0,0,0
,Special Naphthas,,,0,0,0,0,95,0,130,0,130,0,"1,129",0,0,0,100
,Lubricants,,,11,116,0,135,757,0,"7,698",0,"4,756","2,942","6,282",21,0,0,416
,Waxes,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Asphalt and Road Oil,,,0,0,0,"2,009","1,710",0,"6,245",121,820,"5,304","5,955",0,0,0,0
,Miscellaneous Products,,,0,0,0,0,0,0,30,0,12,18,29,0,0,0,0
Total,,,,"2,135","1,625",80,"15,085","14,118",0,"241,324","2,746","9,512","229,066","62,665","9,658",0,0,"1,308"
