Table 51. Stocks of Crude Oil and Petroleum Products by PAD District,
July 2004
(Thousand Barrels)               
--------------------------------------------------------------------------------
                                  Petroleum Administration for Defense Districts
                                 -----------------------------------------------
  Commodity                                               I        II       III
--------------------------------------------------------------------------------

Crude Oil                                             15,636    62,735   821,758                                                                                                                                                                                                                                                                                                                                
  Refinery                                            14,487    13,929    47,253                                                                                                                                                                                                                                                                                                                                
  Tank Farms and Pipelines                             1,116    47,924    95,765                                                                                                                                                                                                                                                                                                                                
  Leases                                                  33       882    13,074                                                                                                                                                                                                                                                                                                                                
  Strategic Petroleum Reserve(a)                           0         0   665,666                                                                                                                                                                                                                                                                                                                                
  Alaskan In Transit                                       0         0         0                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Total Stocks, All Oils (excluding Crude Oil)(e)      156,241   162,481   260,479                                                                                                                                                                                                                                                                                                                                
  Refinery                                            33,681    51,077   126,026                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                       91,535    70,140    76,602                                                                                                                                                                                                                                                                                                                                
  Pipeline                                            30,952    40,684    53,301                                                                                                                                                                                                                                                                                                                                
  Natural Gas Processing Plant                            73       580     4,550                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Pentanes Plus                                             33     2,439     6,493                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 0       370       291                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                            0     1,555     3,490                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                 0       412     1,763                                                                                                                                                                                                                                                                                                                                
  Natural Gas Processing Plant                            33       102       949                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Liquefied Petroleum Gases                              7,396    33,507    64,754                                                                                                                                                                                                                                                                                                                                
  Refinery                                             2,519     4,390    10,335                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                        2,440    21,192    36,170                                                                                                                                                                                                                                                                                                                                
  Pipeline                                             2,397     7,447    14,648                                                                                                                                                                                                                                                                                                                                
  Natural Gas Processing Plant                            40       478     3,601                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Ethane/Ethylene                                          0     2,198    17,206                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 0         0        57                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                            0       408    12,555                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                 0     1,687     3,478                                                                                                                                                                                                                                                                                                                                
  Natural Gas Processing Plant                             0       103     1,116                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Propane/Propylene                                    4,997    19,432    23,838                                                                                                                                                                                                                                                                                                                                
  Refinery                                               514     1,403     2,608                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                        2,069    14,581    13,223                                                                                                                                                                                                                                                                                                                                
  Pipeline                                             2,391     3,257     6,945                                                                                                                                                                                                                                                                                                                                
  Natural Gas Processing Plant                            23       191     1,062                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
