Crude Oil and Petroleum Products Overview, 1973 - Present           
(Thousand Barrels per Day, Except Where Noted)

--------------------------------------------------------------------------------
                                                                       Ending
                                                                     Stocks/d   
                                                                     (Million)
                  Field Production         Stock Change/a            (Barrels)
            ----------------------------  -----------------           ---------
                                                                        Crude 
                                 Natural                     Petroleum  Oil and
              Total      Crude  Gas Plant  Crude   Petroleum Products  Petroleum
Yr/Month     Domestic/c   Oil    Liquids    Oil/d  Products  Supplied  Products
--------------------------------------------------------------------------------

1973 Average    10,975    9,208   1,738      -11       146    17,308     1,008
1974 Average    10,498    8,774   1,688       62       117    16,653   g 1,074
1975 Average    10,045    8,375   1,633     g 17      g 15    16,322     1,133
1976 Average     9,774    8,132   1,603       39       -96    17,461     1,112
1977 Average     9,913    8,245   1,618      170       378    18,431     1,312
1978 Average    10,328    8,707   1,567       78      -172    18,847     1,278
1979 Average    10,179    8,552   1,584      148        25    18,513     1,341
1980 Average    10,214    8,597   1,573       98        42    17,056   g 1,392
1981 Average    10,230    8,572   1,609    g 290    g -130    16,058     1,484
1982 Average    10,252    8,649   1,550      136      -283    15,296   g 1,430
1983 Average    10,299    8,688   1,559    g 214    g -234    15,231     1,454
1984 Average    10,554    8,879   1,630      199        81    15,726     1,556
1985 Average    10,636    8,971   1,609       50      -153    15,726     1,519
1986 Average    10,289    8,680   1,551       78       124    16,281     1,593
1987 Average    10,008    8,349   1,595      128       -87    16,665     1,607
1988 Average     9,818    8,140   1,625        1       -29    17,283     1,597                                                                                                                                                                                                                                                                                                                                  
1989 Average     9,219    7,613   1,546       86      -129    17,325     1,581                                                                                                                                                                                                                                                                                                                                  
1990 Average     8,994    7,355   1,559      -35       142    16,988     1,621                                                                                                                                                                                                                                                                                                                                  
1991 Average     9,168    7,417   1,659      -42        32    16,714     1,617                                                                                                                                                                                                                                                                                                                                  
1992 Average     8,996    7,171   1,697       -1       -68    17,033   g 1,592                                                                                                                                                                                                                                                                                                                                  
1993 Average     8,836    6,847   1,736       81      g 70    17,237     1,647                                                                                                                                                                                                                                                                                                                                  
1994 Average     8,645    6,662   1,727       18        -2    17,718     1,653                                                                                                                                                                                                                                                                                                                                  
1995 Average     8,626    6,560   1,762      -93      -153    17,725     1,563                                                                                                                                                                                                                                                                                                                                  
1996 Average     8,607    6,465   1,830     -124       -28    18,309     1,507                                                                                                                                                                                                                                                                                                                                  
1997 Average     8,611    6,452   1,817       51        93    18,620     1,560                                                                                                                                                                                                                                                                                                                                  
1998 Average     8,392    6,252   1,759       74       165    18,917     1,647                                                                                                                                                                                                                                                                                                                                  
1999 Average     8,107    5,881   1,850     -118      -304    19,519     1,493                                                                                                                                                                                                                                                                                                                                  
2000 Average     8,110    5,822   1,911      -70       (s)    19,701     1,468                                                                                                                                                                                                                                                                                                                                  
2001 Average     8,054    5,801   1,868       99       227    19,649     1,586                                                                                                                                                                                                                                                                                                                                  
                                                                                                                                                                                                                                                                                                                                                                                                                
2002 January     8,068    5,848   1,827      409      -270    19,454     1,591                                                                                                                                                                                                                                                                                                                                  
     February    8,126    5,871   1,900      443      -951    19,444     1,576                                                                                                                                                                                                                                                                                                                                  
