"Table 19.  PAD District 4--Daily Average Supply and Disposition of Crude Oil and Petroleum Products,  September 2005",,,,,,,,,,,
,,          (Thousand Barrels per Day),,,,,,,,,
Commodity,,,Supply,,,,,Disposition,,,
,,,Field Production,Refinery and Blender Net Production,Imports (PADD of Entry)a,Net Receipts,Adjust-mentsb,Stock Changec,Refinery and Blender Net Inputs,Exports,Products Suppliedd
Crude Oil,,,334,-,345,-111,27,14,579,1,0
Natural Gas Liquids and LRGs,,,203,5,12,-158,-,1,18,1,42
,Pentanes Plus,,30,-,0,-17,-,0,7,0,6
,Liquefied Petroleum Gases,,173,5,12,-141,-,0,11,1,36
,,Ethane/Ethylene,84,0,0,-78,-,0,0,0,6
,,Propane/Propylene,56,9,10,-40,-,2,0,0,32
,,Normal Butane/Butylene,23,-2,1,-15,-,-2,5,1,4
,,Isobutane/Isobutylene,10,-2,0,-8,-,0,6,0,-6
Other Liquids,,,-,-,0,0,27,20,11,0,-3
,Other Hydrocarbons/Oxygenates,,-,-,0,0,7,0,6,0,0
,Unfinished Oils,,-,-,0,0,-,9,-6,0,-3
,Motor Gasoline Blend. Comp. (MGBC),,-,-,0,0,20,10,11,0,0
,,Reformulated,-,-,0,0,0,0,0,0,0
,,Conventional,-,-,0,0,20,10,11,0,0
,Aviation Gasoline Blend. Comp.,,-,-,0,0,-,0,0,0,0
Finished Petroleum Products,,,-,625,6,14,-21,-11,-,2,634
,Finished Motor Gasoline,,-,294,0,7,-21,6,-,0,275
,,Reformulated,-,0,0,0,0,0,-,0,0
,,Conventional,-,294,0,7,-21,6,-,0,275
,Finished Aviation Gasoline,,-,0,0,0,-,0,-,0,1
,Kerosene-Type Jet Fuel,,-,32,0,7,-,0,-,0,39
,Kerosene,,-,1,0,0,-,1,-,0,0
,Distillate Fuel Oil,,-,176,6,0,-,-5,-,0,186
,,15 ppm sulfur and under,-,0,0,0,-,0,-,0,0
,,Greater than 15 ppm to 500 ppm sulfur,-,146,5,0,-,-6,-,0,157
,,Greater than 500 ppm sulfur,-,30,0,0,-,1,-,0,29
,Residual Fuel Oile,,-,14,0,0,-,-2,-,0,15
,,Less than 0.31 percent sulfur,-,2,0,0,-,0,-,-,-
,,0.31 to 1.00 percent sulfur,-,4,0,0,-,-1,-,-,-
,,Greater than 1.00 percent sulfur,-,8,0,0,-,-1,-,-,-
,Petrochemical Feedstocks,,-,1,0,0,-,0,-,-,1
,,Naphtha for Petro. Feed. Use,-,0,0,0,-,0,-,-,0
,,Other Oils for Petro. Feed. Use,-,1,0,0,-,0,-,-,1
,Special Naphthas,,-,0,0,0,-,0,-,0,0
,Lubricants,,-,0,0,0,-,0,-,0,0
,Waxes,,-,2,0,0,-,0,-,0,2
,Petroleum Coke,,-,20,0,-,-,1,-,0,18
,,Marketable,-,12,0,-,-,1,-,0,11
,,Catalyst,-,7,-,-,-,-,-,-,7
,Asphalt and Road Oil,,-,58,0,0,-,-13,-,1,70
,Still Gas,,-,24,-,-,-,-,-,-,24
,Miscellaneous Products,,-,3,0,0,-,0,-,0,3
Total,,,536,630,363,-256,33,23,607,4,672
