"Table 29.  Refinery Net Input of Crude Oil and Petroleum Products by PAD and Refining Districts, September 2005",,,,,,,,,,,,,,,,,,,
,,,"      (Thousand Barrels, Except Where Noted)",,,,,,,,,,,,,,,,
Commodity,,,,PAD District 1,,,PAD District 2,,,,PAD District 3,,,,,,PAD Dist.   4,PAD Dist. 5,
,,,,East Coast,Appalachian No. 1,Total,"IN, IL, KY","MN, WI, ND, SD","OK, KS, MO",Total,Texas Inland,Texas Gulf Coast,LA Gulf Coast,"N. LA, AR",New Mexico,Total,Rocky Mt.,West Coast,U. S. Total
Crude Oil,,,,"48,691","2,889","51,580","66,640","11,962","22,629","101,231","18,327","86,484","54,159","5,595","2,933","167,498","17,367","81,550","419,226"
Natural Gas Liquids and LRGs,,,,130,0,130,"2,133",319,"1,105","3,557",572,"3,435","2,040",155,301,"6,503",505,"1,752","12,447"
,Pentanes Plus,,,0,0,0,655,190,858,"1,703",260,"1,183",979,104,162,"2,688",188,666,"5,245"
,Liquefied Petroleum Gases,,,130,0,130,"1,478",129,247,"1,854",312,"2,252","1,061",51,139,"3,815",317,"1,086","7,202"
,,Ethane,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Propane,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Normal Butane,,53,0,53,422,60,61,543,136,"1,036",499,0,0,"1,671",152,689,"3,108"
,,Isobutane,,77,0,77,"1,056",69,186,"1,311",176,"1,216",562,51,139,"2,144",165,397,"4,094"
Other Liquids,,,,-455,-53,-508,"-10,005","-2,915",49,"-12,871",-478,"8,450","3,737",-124,-538,"11,047",-337,"-26,448","-29,117"
,Other Hydrocarbons/Oxygenates,,,"1,066",0,"1,066",90,100,34,224,145,"1,757",438,0,15,"2,355",84,872,"4,601"
,,Other Hydrocarbons/Hydrogen,,0,0,0,89,36,34,159,133,393,276,0,0,802,25,788,"1,774"
,,Oxygenates,,"1,066",0,"1,066",1,64,0,65,12,"1,364",162,0,15,"1,553",59,84,"2,827"
, ,,Fuel Ethanol (FE),0,0,0,1,64,0,65,12,0,0,0,6,18,59,84,226
,,,Methyl Tertiary Butyl Ether (MTBE),"1,066",0,"1,066",0,0,0,0,0,"1,310",162,0,9,"1,481",0,0,"2,547"
,,,All Other Oxygenatesa,0,0,0,0,0,0,0,0,54,0,0,0,54,0,0,54
,Unfinished Oils (net),,,"2,701",-50,"2,651","3,706",45,-281,"3,470",631,"8,143","4,831",-81,85,"13,609",-178,-274,"19,278"
,,Naphthas and Lighter,,417,-66,351,"1,520",260,-21,"1,759",203,"1,753",245,1,72,"2,274",55,"-1,807","2,632"
,,Kerosene and Light Gas Oils,,-156,0,-156,723,-15,28,736,73,"-1,040",-176,-49,11,"-1,181",-135,-314,"-1,050"
,,Heavy Gas Oils,,"1,112",23,"1,135","1,275",-130,136,"1,281",248,"5,879","2,921",17,2,"9,067",-65,"1,966","13,384"
,,Residuum,,"1,328",-7,"1,321",188,-70,-424,-306,107,"1,551","1,841",-50,0,"3,449",-33,-119,"4,312"
,Motor Gasoline Blending Components (MGBC) (net),,,"-4,063",-3,"-4,066","-13,806","-3,060",296,"-16,570","-1,259","-1,450","-1,532",-43,-638,"-4,922",-243,"-27,046","-52,847"
,,Reformulated,,"-3,824",0,"-3,824","-7,955",-102,0,"-8,057",-451,"-1,683",0,0,-625,"-2,759",0,"-25,768","-40,408"
,,,GTAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,RBOB for Blending with Ether,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-321,-321
,,,RBOB for Blending with Alcohol,"-3,824",0,"-3,824","-7,955",-102,0,"-8,057",-451,"-1,683",0,0,-625,"-2,759",0,"-25,447","-40,087"
,,Conventional,,-239,-3,-242,"-5,851","-2,958",296,"-8,513",-808,233,"-1,532",-43,-13,"-2,163",-243,"-1,278","-12,439"
,,,CBOB for Blending with Alcohol,0,0,0,"-5,158","-2,463",0,"-7,621",-571,-427,0,0,0,-998,0,"-2,619","-11,238"
,,,GTAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Other,-239,-3,-242,-693,-495,296,-892,-237,660,"-1,532",-43,-13,"-1,165",-243,"1,341","-1,201"
,Aviation Gasoline Blending Components (net),,,-159,0,-159,5,0,0,5,5,0,0,0,0,5,0,0,-149
,,Total Input to Refineries,,"48,366","2,836","51,202","58,768","9,366","23,783","91,917","18,421","98,369","59,936","5,626","2,696","185,048","17,535","56,854","402,556"
Atmospheric Crude Oil Distillation,,,,,,,,,,,,,,,,,,,
,Gross Input (daily average),,,"1,582",96,"1,678","2,233",399,759,"3,391",615,"2,923","1,935",174,98,"5,743",587,"2,970","14,371"
,Operable Capacity (daily average),,,"1,623",94,"1,717","2,362",426,781,"3,569",630,"4,001","3,138",206,113,"8,088",588,"3,175","17,137"
,Operable Utilization Rate (percent)b,,,97.5,102.0,97.7,94.5,93.6,97.2,95.0,97.5,73.1,61.6,84.1,86.8,71.0,100.0,93.6,83.9
Downstream Processing,,,,,,,,,,,,,,,,,,,
,Fresh Feed Input (daily average),,,,,,,,,,,,,,,,,,
,Catalytic Cracking,,,677,17,694,804,120,226,"1,150",205,"1,178",774,19,33,"2,209",167,767,"4,988"
,Catalytic Hydrocracking,,,40,0,40,136,0,7,143,62,184,127,0,0,373,14,526,"1,096"
,Delayed and Fluid Coking,,,84,0,84,179,44,86,309,5,566,317,13,0,901,49,492,"1,835"
Crude Oil Qualities,,,,,,,,,,,,,,,,,,,
,"Sulfur Content, Weighted Average (percent)",,,0.90,1.43,0.93,1.37,2.09,0.93,1.36,0.89,1.66,1.61,1.85,0.60,1.55,1.33,1.27,1.36
,"API Gravity, Weighted Average (degrees)",,,31.75,32.44,31.79,32.03,28.13,33.99,32.02,37.05,28.73,30.21,27.60,39.32,30.23,31.88,27.73,30.44
Operable Capacity (daily average),,,,"1,623",94,"1,717","2,362",426,781,"3,569",630,"4,001","3,138",206,113,"8,088",588,"3,175","17,137"
,Operating,,,"1,572",94,"1,666","2,362",426,781,"3,569",630,"4,000","2,242",201,113,"7,186",588,"3,134","16,142"
,Idle,,,51,0,51,0,0,0,0,0,1,896,6,0,903,0,41,994
Alaskan Crude Oil Receipts,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,457","23,457"
