"Table 3. U.S. Daily Average Supply and Disposition of Crude Oil and Petroleum Products, September 2005",,,,,,,,,,
,,       (Thousand Barrels per Day),,,,,,,,
Commodity,,,Supply,,,,Disposition,,,
,,,Field Production,Refinery and Blender Net Production,Imports,Adjust-mentsa,Stock Changeb,Refinery and Blender Net Inputs,Exports,Products Suppliedc
Crude Oil,,,"4,214",-,"9,078",327,-379,"13,974",24,0
,Commercial,,"4,214",-,"9,078",327,-144,-,24,-
,,Alaskan,815,-,-,-,-,-,-,-
,,Lower 48 States,"3,398",-,-,-,-,-,-,-
,Strategic Petroleum Reserve (SPR),,-,-,0,-,-236,-,-,-
,,Imports by SPR,-,-,0,-,-,-,-,-
,,Imports into SPR by Others,-,-,0,-,-,-,-,-
Natural Gas Liquids and LRGs,,,"1,475",393,396,-,36,434,48,"1,745"
,Pentanes Plus,,244,-,55,-,25,176,5,92
,Liquefied Petroleum Gases,,"1,232",393,342,-,12,258,43,"1,653"
,,Ethane/Ethylene,542,16,1,-,95,0,0,463
,,Propane/Propylene,433,466,255,-,124,0,32,997
,,Normal Butane/Butylene,102,-55,55,-,-184,122,11,153
,,Isobutane/Isobutylene,155,-34,31,-,-24,136,0,40
Other Liquids,,,-,-,"1,428",-14,127,"1,216",55,16
,Other Hydrocarbons/Oxygenates,,-,-,64,368,2,383,47,0
,Unfinished Oils,,-,-,802,-,149,643,0,11
,Motor Gasoline Blend. Comp. (MGBC),,-,-,562,-382,-23,195,9,0
,,Reformulated,-,-,77,33,9,101,0,0
,,Conventional,-,-,485,-415,-33,94,9,0
,Aviation Gasoline Blend. Comp.,,-,-,0,-,-1,-5,0,6
Finished Petroleum Products,,,-,"16,085","2,152",422,-392,-,716,"18,335"
,Finished Motor Gasoline,,-,"8,009",664,422,103,-,95,"8,897"
,,Reformulated,-,"2,762",289,-25,-8,-,19,"3,014"
,,Conventional,-,"5,247",375,447,111,-,76,"5,882"
,Finished Aviation Gasoline,,-,16,3,-,-5,-,0,24
,Kerosene-Type Jet Fuel,,-,"1,357",205,-,-59,-,16,"1,606"
,Kerosene,,-,55,5,-,3,-,2,56
,Distillate Fuel Oild,,-,"3,570",263,-,-389,-,108,"4,114"
,,15 ppm sulfur and under,-,23,10,-,-5,-,0,37
,,Greater than 15 ppm to 500 ppm sulfur,-,"2,693",117,-,-353,-,44,"3,119"
,,Greater than 500 ppm sulfur,-,855,137,-,-31,-,64,959
,Residual Fuel Oile,,-,551,647,-,18,-,141,"1,039"
,,Less than 0.31 percent sulfur,-,68,90,-,-16,-,-,-
,,0.31 to 1.00 percent sulfur,-,147,263,-,24,-,-,-
,,Greater than 1.00 percent sulfur,-,336,294,-,11,-,-,-
,Petrochemical Feedstocks,,-,283,256,-,-3,-,-,543
,,Naphtha for Petro. Feed. Use,-,134,125,-,2,-,-,258
,,Other Oils for Petro. Feed. Use,-,149,132,-,-4,-,-,285
,Special Naphthas,,-,33,9,-,-6,-,24,23
,Lubricants,,-,148,4,-,-14,-,33,132
,Waxes,,-,12,4,-,-3,-,5,13
,Petroleum Coke,,-,740,32,-,12,-,266,495
,,Marketable,-,514,32,-,12,-,266,269
,,Catalyst,-,226,-,-,-,-,-,226
,Asphalt and Road Oil,,-,590,58,-,-51,-,13,687
,Still Gas,,-,665,-,-,-,-,-,665
,Miscellaneous Products,,-,56,0,-,2,-,12,42
Total,,,"5,689","16,477","13,055",736,-608,"15,624",844,"20,097"
,,,,,,,,,,
,,,,,,,,,,
