"Table 33.  Percent Yield of Petroleum Products by PAD and Refining Districts, September 2005",,,,,,,,,,,,,,,,,,

Commodity,,,PAD District 1,,,PAD District 2,,,,PAD District 3,,,,,,PAD Dist. 4,PAD Dist. 5,
,,,East Coast,Appalachian No. 1,Total,"IN, IL, KY","MN, WI, ND, SD","OK, KS, MO",Total,Texas Inland,Texas Gulf Coast,LA Gulf Coast,"N. LA, AR",New Mexico,Total,Rocky Mt.,West Coast,U. S. Total
Liquefied Refinery Gases,,,0.7,0.3,0.7,2.9,1.3,0.5,2.2,3.4,4.1,3.8,0.1,1.1,3.8,0.9,2.5,2.7
Finished Motor Gasolinea,,,47.9,37.9,47.4,52.5,49.0,50.8,51.7,54.1,46.9,45.2,24.3,55.8,46.6,45.3,46.6,47.9
Finished Aviation Gasolineb,,,0.3,0.0,0.3,0.1,0.5,0.1,0.1,0.4,0.1,0.2,0.0,0.0,0.1,0.1,0.1,0.1
Kerosene-Type Jet Fuel,,,6.3,0.0,6.0,6.9,7.0,3.6,6.2,7.7,8.8,11.4,3.8,5.1,9.3,5.6,16.2,9.3
Kerosene,,,0.2,1.8,0.3,0.3,0.3,0.2,0.3,0.0,1.2,0.2,-0.2,0.1,0.7,0.3,0.0,0.4
Distillate Fuel Oil,,,28.2,30.3,28.3,23.7,24.3,34.2,26.0,28.1,23.4,21.8,23.8,26.7,23.5,30.6,20.6,24.4
Residual Fuel Oil,,,6.3,0.8,6.0,1.7,2.8,0.9,1.7,1.0,4.4,3.9,1.9,0.2,3.8,2.4,5.3,3.8
Naphtha for Petro. Feed. Use,,,0.6,0.0,0.6,1.2,0.0,0.0,0.8,0.2,2.2,1.2,0.0,-0.1,1.6,0.0,0.0,0.9
Other Oils for Petro. Feed. Use,,,0.0,0.0,0.0,0.2,0.0,0.4,0.2,0.6,1.7,3.7,0.0,0.0,2.2,0.2,0.3,1.0
Special Naphthas,,,0.1,0.7,0.1,0.1,0.0,0.2,0.1,0.5,0.4,0.0,3.5,0.0,0.4,0.0,0.1,0.2
Lubricants,,,0.6,6.3,0.9,0.2,0.0,1.1,0.3,0.3,1.2,1.6,14.6,0.0,1.6,0.0,0.8,1.0
Waxes,,,0.0,0.2,0.0,0.0,0.0,0.2,0.1,0.0,0.1,0.1,0.7,0.0,0.1,0.4,0.0,0.1
Petroleum Coke,,,3.0,0.9,2.9,4.2,4.6,4.3,4.3,1.4,6.8,5.8,1.5,0.9,5.7,3.4,6.5,5.1
Asphalt and Road Oil,,,6.4,20.3,7.1,6.7,12.3,2.6,6.5,3.0,0.7,1.5,24.0,4.7,2.0,10.1,2.1,4.0
Still Gas,,,4.1,1.7,3.9,4.1,4.5,4.4,4.2,4.5,4.8,4.2,4.5,3.7,4.6,4.1,5.5,4.6
Miscellaneous Products,,,0.1,0.4,0.1,0.4,0.5,0.1,0.4,0.3,0.5,0.7,0.0,0.0,0.5,0.4,0.3,0.4
Processing Gain(-) or Loss(+)c,,,-4.8,-1.6,-4.6,-5.3,-7.2,-3.7,-5.2,-5.5,-7.5,-5.3,-2.5,1.8,-6.3,-3.9,-6.9,-5.8
