"Table 53.  Stocks of Crude Oil and Petroleum Products by PAD District, September 2005",,,,,,,,,,
,,          (Thousand Barrels),,  (Thousand Barrels),,,,,,
,Commodity,,,,PAD Districts,,,,,
,,,,,1,2,3,4,5,U.S. Total
Crude Oil,,,,,"17,347","60,442","859,881","12,799","50,301","1,000,770"
,Refinery,,,,"16,296","13,853","49,360","2,013","20,059","101,581"
,"Tank Farms and Pipelines (Includes Cushing, OK)",,,,"1,020","45,665","103,391","9,855","22,655","182,586"
,,"Cushing, Oklahoma",,,-,"14,807",-,-,-,-
,Leases,,,,31,924,"13,471",931,"1,394","16,751"
,Strategic Petroleum Reservea ,,,,0,0,"693,659",0,0,"693,659"
,Alaskan In Transit,,,,0,0,0,0,"6,193","6,193"
"Total Stocks, All Oils (excluding Crude Oil)b",,,,,"160,753","157,022","282,015","14,910","89,956","704,656"
,Refinery,,,,"33,022","47,860","123,933","9,050","54,361","268,226"
,Bulk Terminal,,,,"102,895","70,167","97,956","2,484","27,936","301,438"
,Pipeline,,,,"24,777","37,821","54,174","3,226","7,533","127,531"
,Natural Gas Processing Plant ,,,,59,"1,174","5,952",150,126,"7,461"
Pentanes Plus,,,,,30,"2,290","7,625",175,242,"10,362"
,,Refinery,,,0,403,573,18,0,994
,,Bulk Terminal,,,0,"1,290","4,319",1,230,"5,840"
,,Pipeline,,,0,399,"1,358",114,0,"1,871"
,,Natural Gas Processing Plant ,,,30,198,"1,375",42,12,"1,657"
Liquefied Petroleum Gases,,,,,"6,788","39,735","92,717","1,510","5,504","146,254"
,,Refinery,,,"2,434","4,723","9,763",401,"1,849","19,170"
,,Bulk Terminal,,,"2,791","27,156","57,915",269,"3,541","91,672"
,,Pipeline,,,"1,534","6,880","20,462",732,0,"29,608"
,,Natural Gas Processing Plant ,,,29,976,"4,577",108,114,"5,804"
,Ethane/Ethylene,,,,0,"2,564","23,050",322,0,"25,936"
,,Refinery,,,0,0,140,0,0,140
,,Bulk Terminal,,,0,613,"17,580",0,0,"18,193"
,,,Ethylene,,0,0,251,0,0,251
,,Pipeline,,,0,"1,625","3,944",320,0,"5,889"
,,Natural Gas Processing Plant ,,,0,326,"1,386",2,0,"1,714"
,Propane/Propylene,,,,"4,225","23,253","38,682",690,"2,178","69,028"
,,Refinery,,,428,"1,854","2,180",150,91,"4,703"
,,Bulk Terminal,,,"2,315","18,152","25,131",269,"2,049","47,916"
,,,Nonfuel Use,,0,252,"4,196",0,0,"4,448"
,,Pipeline,,,"1,459","2,933","9,847",221,0,"14,460"
,,Natural Gas Processing Plant ,,,23,314,"1,524",50,38,"1,949"
,Normal Butane/Butylene,,,,"2,407","11,977","26,816",314,"2,646","44,160"
,,Refinery,,,"1,851","2,544","6,739",150,"1,204","12,488"
,,Bulk Terminal,,,476,"7,293","13,311",0,"1,373","22,453"
,,,Refinery Grade Butane,,0,"1,940","4,236",0,0,"6,176"
,,Pipeline,,,75,"1,918","5,558",122,0,"7,673"
