"Table 30.  Refinery Net Production of Finished Petroleum Products by PAD and Refining Districts, December 2005",,,,,,,,,,,,,,,,,,
,,          (Thousand Barrels),,,,,,,,,,,,,,,,
Commodity,,,PAD District 1,,,PAD District 2,,,,PAD District 3,,,,,,PAD Dist. 4,PAD Dist. 5,
,,,East Coast,Appalachian No. 1,Total,"IN, IL, KY","MN, WI, ND, SD","OK, KS, MO",Total,Texas Inland,Texas Gulf Coast,LA Gulf Coast,"N. LA, AR",New Mexico,Total,Rocky Mt.,West Coast,U. S. Total
Liquefied Refinery Gases,,,331,-18,313,"2,398",-147,-220,"2,031",243,"4,789","2,712",43,-2,"7,785",-136,604,"10,597"
 ,Ethane/Ethylene,,12,0,12,0,0,0,0,0,539,0,0,0,539,0,0,551
,,Ethane,0,0,0,0,0,0,0,0,360,0,0,0,360,0,0,360
, ,Ethylene,12,0,12,0,0,0,0,0,179,0,0,0,179,0,0,191
,Propane/Propylene,,"1,179",27,"1,206","2,552",293,661,"3,506",535,"5,117","4,214",42,50,"9,958",232,"1,891","16,793"
,,Propane,687,27,714,"1,615",208,453,"2,276",362,"2,705","1,392",6,50,"4,515",232,"1,265","9,002"
,,Propylene,492,0,492,937,85,208,"1,230",173,"2,412","2,822",36,0,"5,443",0,626,"7,791"
,Normal Butane/Butylene,,-645,-47,-692,-253,-438,-772,"-1,463",-240,-696,"-1,483",1,-52,"-2,470",-296,-991,"-5,912"
,,Normal Butane,-645,-47,-692,-254,-438,-773,"-1,465",-239,-802,"-1,464",1,-52,"-2,556",-302,-989,"-6,004"
,,Butylene,0,0,0,1,0,1,2,-1,106,-19,0,0,86,6,-2,92
,Isobutane/Isobutylene,,-215,2,-213,99,-2,-109,-12,-52,-171,-19,0,0,-242,-72,-296,-835
 ,,Isobutane,-222,2,-220,99,-2,-109,-12,-52,-171,-19,0,0,-242,-72,-296,-842
, ,Isobutylene,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7
Finished Motor Gasoline,,,"21,280","1,066","22,346","25,478","3,607","12,672","41,757","9,853","53,073","42,532","1,405","1,543","108,406","8,309","11,124","191,942"
,Reformulated,,"11,460",0,"11,460",0,0,0,0,942,"13,651","3,131",0,0,"17,724",0,"1,781","30,965"
,,Reformulated Blended with Ether,"11,460",0,"11,460",0,0,0,0,410,"13,651","3,131",0,0,"17,192",0,0,"28,652"
,,Reformulated Blended with Alcohol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,068","1,068"
,,Reformulated (Non-Oxygenated),0,0,0,0,0,0,0,532,0,0,0,0,532,0,713,"1,245"
,Conventional,,"9,820","1,066","10,886","25,478","3,607","12,672","41,757","8,911","39,422","39,401","1,405","1,543","90,682","8,309","9,343","160,977"
,,Conventional Blended with Alcohol,0,0,0,22,643,0,665,0,0,0,0,0,0,362,0,"1,027"
,,Conventional Other,"9,820","1,066","10,886","25,456","2,964","12,672","41,092","8,911","39,422","39,401","1,405","1,543","90,682","7,947","9,343","159,950"
Finished Aviation Gasoline,,,0,0,0,25,46,13,84,35,87,82,0,0,204,10,62,360
Kerosene-Type Jet Fuel,,,"2,343",0,"2,343","4,581",761,855,"6,197","1,384","10,430","11,179",281,185,"23,459",880,"14,080","46,959"
Kerosene,,,304,58,362,737,96,83,916,-11,842,141,13,1,986,132,-6,"2,390"
Distillate Fuel Oil,,,"14,557",855,"15,412","17,854","3,909","7,965","29,728","5,212","28,361","21,197","1,170",761,"56,701","5,043","17,882","124,766"
,15 ppm sulfur and under,,0,0,0,250,0,0,250,68,0,273,0,0,341,0,374,965
,Greater than 15 ppm to 500 ppm sulfur,,"7,450",746,"8,196","14,133","3,400","5,943","23,476","4,335","23,622","10,831",886,764,"40,438","4,213","14,482","90,805"
,Greater than 500 ppm sulfur,,"7,107",109,"7,216","3,471",509,"2,022","6,002",809,"4,739","10,093",284,-3,"15,922",830,"3,026","32,996"
Residual Fuel Oil,,,"4,227",30,"4,257","1,342",355,173,"1,870",144,"4,195","4,006",195,6,"8,546",494,"4,880","20,047"
,Less than 0.31 percent sulfur,,"1,893",2,"1,895",0,0,0,0,23,0,613,0,0,636,49,227,"2,807"
,0.31 to 1.00 percent sulfur,,"1,931",0,"1,931",61,0,0,61,0,236,577,156,2,971,128,"1,850","4,941"
,Greater than 1.00 percent sulfur,,403,28,431,"1,281",355,173,"1,809",121,"3,959","2,816",39,4,"6,939",317,"2,803","12,299"
Petrochemical Feedstocks,,,404,0,404,920,0,84,"1,004",154,"5,284","4,059",0,-21,"9,476",15,307,"11,206"
,Naphtha for Petro. Feed. Use,,404,0,404,729,0,0,729,49,"2,936","1,723",0,-21,"4,687",0,0,"5,820"
,Other Oils for Petro. Feed. Use,,0,0,0,191,0,84,275,105,"2,348","2,336",0,0,"4,789",15,307,"5,386"
Special Naphthas,,,26,19,45,154,0,59,213,98,614,-48,231,0,895,0,39,"1,192"
Lubricants,,,370,199,569,218,0,281,499,37,"1,464","1,499",837,0,"3,837",0,647,"5,552"
Waxes,,,0,13,13,44,0,47,91,0,189,97,44,0,330,87,0,521
Petroleum Coke,,,"1,302",22,"1,324","2,931",784,920,"4,635",268,"8,073","6,139",76,34,"14,590",598,"5,428","26,575"
,Marketable,,441,0,441,"1,800",595,705,"3,100",27,"6,064","5,038",64,0,"11,193",378,"4,285","19,397"
,Catalyst,,861,22,883,"1,131",189,215,"1,535",241,"2,009","1,101",12,34,"3,397",220,"1,143","7,178"
Asphalt and Road Oil,,,607,608,"1,215","3,810",994,506,"5,310",564,431,795,"1,188",103,"3,081","1,572","1,275","12,453"
Still Gas,,,"1,729",57,"1,786","2,573",616,922,"4,111",894,"5,296","3,845",225,102,"10,362",628,"4,302","21,189"
Miscellaneous Products,,,54,8,62,252,98,23,373,43,515,710,0,0,"1,268",68,265,"2,036"
,Fuel Use,,0,0,0,0,0,0,0,0,0,338,0,0,338,4,5,347
,Nonfuel Use,,54,8,62,252,98,23,373,43,515,372,0,0,930,64,260,"1,689"
Total,,,"47,534","2,917","50,451","63,317","11,119","24,383","98,819","18,918","123,643","98,945","5,708","2,712","249,926","17,700","60,889","477,785"
Processing Gain(-) or Loss(+)a,,,"-2,293",-30,"-2,323","-3,736","-1,257","-1,320","-6,313","-1,079","-10,117","-6,274",-48,64,"-17,454",-556,"-5,768","-32,414"
