"Table 54.  Refinery, Bulk Terminal, and Natural Gas Plant Stocks of Selected Petroleum Products by PAD",,,,,,,,,,,,
,,"         District and State, December 2005",,,,,,,,,,
,,         (Thousand Barrels),,,,,,,,,,
PAD District and State,,,Motor Gasoline,,,Kerosene,Distillate Fuel Oila,,,,Residual Fuel,Propane/  Propylene
,,,Conventional,Reformulated,Total,,15 ppm sulfur and Under,Greater than 15 ppm to 500 ppm sulfur,Greater than 500 ppm sulfur,Total,,
PAD District 1,,,"18,098","8,846","26,944","3,184",612,"16,876","31,167","48,655","14,514","2,557"
,Connecticut,,0,26,26,130,80,589,"4,497","5,166",134,0
,Delaware,,279,303,582,38,0,97,599,696,586,95
,District of Columbia,,0,0,0,0,0,0,0,0,0,0
,Florida,,"4,451",0,"4,451",38,90,"1,560",465,"2,115",418,521
,Georgia,,"1,852",0,"1,852",44,16,841,414,"1,271",137,0
,Maine,,641,0,641,486,0,336,"1,010","1,346",479,0
,Maryland,,145,803,948,173,14,625,"2,328","2,967","2,225",0
,Massachusetts,,0,"1,346","1,346",115,28,476,"1,725","2,229",435,0
,New Hampshire,,14,115,129,144,0,272,462,734,134,213
,New Jersey,,"1,656","3,430","5,086",425,154,"3,131","8,936","12,221","5,502",202
,New York,,"1,500",64,"1,564",740,164,"2,761","4,851","7,776","2,417",56
,North Carolina,,"1,821",0,"1,821",131,0,"1,051",637,"1,688",266,9
,Pennsylvania,,"3,452","1,037","4,489",443,4,"2,700","2,848","5,552","1,003",416
,Rhode Island,,0,515,515,31,0,508,974,"1,482",77,0
,South Carolina,,"1,061",0,"1,061",67,0,553,235,788,138,842
,Vermont,,28,0,28,0,0,12,23,35,0,0
,Virginia,,977,"1,207","2,184",159,18,"1,278","1,155","2,451",499,182
,West Virginia,,221,0,221,20,44,86,8,138,64,21
PAD District 2,,,"22,995",99,"23,094",868,139,"13,121","4,685","17,945","1,882","14,250"
,Illinois,,"1,971",0,"1,971",173,0,"2,313",579,"2,892",508,580
,Indiana,,"3,370",0,"3,370",158,88,"1,630","1,013","2,731",183,114
,Iowa,,"1,226",0,"1,226",0,0,643,220,863,0,296
,Kansas,,"2,157",0,"2,157",13,0,727,369,"1,096",133,"9,140"
,Kentucky,,"1,208",0,"1,208",65,0,656,61,717,229,347
,Michigan,,"2,228",5,"2,233",124,0,873,116,989,56,"2,491"
,Minnesota,,"1,212",0,"1,212",43,0,966,97,"1,063",97,232
,Missouri,,673,94,767,0,2,358,118,478,2,184
,Nebraska,,414,0,414,0,0,305,138,443,0,319
,North Dakota,,400,0,400,0,0,394,109,503,33,61
,Ohio,,"3,474",0,"3,474",162,0,"1,457",864,"2,321",86,322
,Oklahoma,,"1,575",0,"1,575",59,0,756,477,"1,233",38,142
,South Dakota,,147,0,147,0,0,106,0,106,0,0
,Tennessee,,"1,763",0,"1,763",47,46,"1,050",238,"1,334",158,5
,Wisconsin,,"1,177",0,"1,177",24,3,887,286,"1,176",359,17
PAD District 3,,,"19,797","4,161","23,958",626,103,"12,097","7,546","19,746","15,605","23,564"
,Alabama,,"1,318",0,"1,318",23,0,521,338,859,177,119
,Arkansas,,602,0,602,0,0,540,132,672,9,50
,Louisiana,,"5,024",473,"5,497",144,0,"2,184","2,904","5,088","6,759","1,882"
,Mississippi,,"1,548",0,"1,548",0,0,422,356,778,182,"3,904"
,New Mexico,,384,0,384,3,0,339,61,400,7,32
,Texas,,"10,921","3,688","14,609",456,103,"8,091","3,755","11,949","8,471","17,577"
PAD District 4,,,"3,015",0,"3,015",35,0,"1,626",508,"2,134",254,297
,Colorado,,433,0,433,22,0,384,46,430,25,19
,Idaho,,185,0,185,0,0,103,41,144,0,0
,Montana,,"1,017",0,"1,017",13,0,476,0,476,76,17
,Utah,,622,0,622,0,0,382,364,746,56,222
,Wyoming,,758,0,758,0,0,281,57,338,97,39
PAD District 5,,,"6,604","1,009","7,613",76,724,"7,817","2,629","11,170","4,897","1,396"
,Alaska,,701,0,701,0,0,99,756,855,157,4
,Arizona,,331,494,825,0,86,577,0,663,0,970
,California,,"1,164",515,"1,679",76,417,"5,220",469,"6,106","2,624",336
,Hawaii,,805,0,805,0,19,137,405,561,679,65
,Nevada,,155,0,155,0,0,96,0,96,0,5
,Oregon,,"1,240",0,"1,240",0,154,387,153,694,253,0
,Washington,,"2,208",0,"2,208",0,48,"1,301",846,"2,195","1,184",16
U.S. Totala,,,"70,509","14,115","84,624","4,789","1,578","51,537","46,535","99,650","37,152","42,064"
