"Table 56.  Movements of Crude Oil and Petroleum Products by Pipeline Between PAD Districts, December 2005",,,,,,,,,,,,,,,,,
,,,      (Thousand Barrels),,,,,,,,,,,,,,
Commodity,,,,From 1 to,,From 2 to,,,From 3 to,,From 3 to,, From 4 to,,,From 5 to,
,,,,2,3,1,3,4,1,2,4,5,2,3,5,3,4
Crude Oil,,,,0,393,181,"1,734","1,401",231,"55,064",0,0,"4,358",344,0,0,0
Petroleum Products,,,,"10,433",0,"2,012","4,401",165,"77,380","31,771","1,068","2,752","1,559","2,751","1,288",0,0
,Pentanes Plus,,,0,0,0,138,0,0,"1,079",0,0,82,281,0,0,0
,Liquefied Petroleum Gases,,,0,0,"1,528","3,034",0,"3,253","7,622",132,0,504,"2,470",0,0,0
,Motor Gasoline Blending Components,,,0,0,266,0,0,0,"3,596",0,"1,368",0,0,0,0,0
,,Reformulated,,0,0,0,0,0,0,"2,497",0,"1,368",0,0,0,0,0
,,,GTAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,RBOB for Blending with Ether,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,RBOB for Blending with Alcohol,0,0,0,0,0,0,"2,497",0,"1,368",0,0,0,0,0
,,Conventional,,0,0,266,0,0,0,"1,099",0,0,0,0,0,0,0
,,,CBOB for Blending with Alcohol,0,0,0,0,0,0,514,0,0,0,0,0,0,0
,,,GTAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Other,0,0,266,0,0,0,585,0,0,0,0,0,0,0
,Finished Motor Gasoline,,,"6,428",0,199,875,105,"38,072","8,667",441,968,530,0,"1,065",0,0
,,Reformulated,,0,0,0,382,0,"6,835",389,0,0,0,0,0,0,0
,,,Reformulated Blended with Ether,0,0,0,382,0,"6,835",389,0,0,0,0,0,0,0
,,,Reformulated Blended with Alcohol,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Reformulated (Non-Oxygenated),0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Conventional,,"6,428",0,199,493,105,"31,237","8,278",441,968,530,0,"1,065",0,0
,,,Conventional Blended with Alcohol,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Conventional Other,"6,428",0,199,493,105,"31,237","8,278",441,968,530,0,"1,065",0,0
,Finished Aviation Gasoline,,,0,0,0,0,0,0,32,0,0,0,0,0,0,0
,Kerosene-Type Jet Fuel,,,565,0,19,0,0,"13,585","3,846",214,209,42,0,0,0,0
,Kerosene,,,39,0,0,0,0,52,0,0,0,39,0,0,0,0
,Distillate Fuel Oil,,,"3,401",0,0,354,60,"22,418","6,929",281,207,362,0,223,0,0
,,15 ppm sulfur and Under,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Greater than 15 ppm to 500 ppm sulfur,,"2,794",0,0,251,60,"14,322","5,936",281,207,337,0,206,0,0
,,Greater than 500 ppm sulfur,,607,0,0,103,0,"8,096",993,0,0,25,0,17,0,0
,Residual Fuel Oil,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Miscellaneous Products,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,,,,"10,433",393,"2,193","6,135","1,566","77,611","86,835","1,068","2,752","5,917","3,095","1,288",0,0
