"State","MSN","2014"
"AK","CLACB",0.00
"AK","CLACD",0.00
"AK","CLACP",0.00
"AK","CLACV",0.00
"AK","CLCCB",8316.00
"AK","CLCCD",4.83
"AK","CLCCP",544.00
"AK","CLCCV",40.10
"AK","CLEIB",9892.00
"AK","CLEID",4.91
"AK","CLEIP",655.00
"AK","CLEIV",48.50
"AK","CLICB",17.00
"AK","CLICD",4.85
"AK","CLICP",1.00
"AK","CLICV",0.10
"AK","CLRCB",0.00
"AK","CLRCD",0.00
"AK","CLRCP",0.00
"AK","CLRCV",0.00
"AK","CLTCB",18225.00
"AK","CLTCD",4.87
"AK","CLTCP",1200.00
"AK","CLTCV",88.80
"AL","CLACB",0.00
"AL","CLACD",0.00
"AL","CLACP",0.00
"AL","CLACV",0.00
"AL","CLCCB",0.00
"AL","CLCCD",0.00
"AL","CLCCP",0.00
"AL","CLCCV",0.00
"AL","CLEIB",488647.00
"AL","CLEID",2.69
"AL","CLEIP",23901.00
"AL","CLEIV",1316.50
"AL","CLICB",87265.00
"AL","CLICD",4.13
"AL","CLICP",3234.00
"AL","CLICV",360.80
"AL","CLRCB",0.00
"AL","CLRCD",0.00
"AL","CLRCP",0.00
"AL","CLRCV",0.00
"AL","CLTCB",575912.00
"AL","CLTCD",2.91
"AL","CLTCP",27135.00
"AL","CLTCV",1677.30
"AR","CLACB",0.00
"AR","CLACD",0.00
"AR","CLACP",0.00
"AR","CLACV",0.00
"AR","CLCCB",0.00
"AR","CLCCD",0.00
"AR","CLCCP",0.00
"AR","CLCCV",0.00
"AR","CLEIB",333753.00
"AR","CLEID",2.40
"AR","CLEIP",19281.00
"AR","CLEIV",802.60
"AR","CLICB",5461.00
"AR","CLICD",3.35
"AR","CLICP",227.00
"AR","CLICV",18.30
"AR","CLRCB",0.00
"AR","CLRCD",0.00
"AR","CLRCP",0.00
"AR","CLRCV",0.00
"AR","CLTCB",339214.00
"AR","CLTCD",2.42
"AR","CLTCP",19508.00
"AR","CLTCV",820.90
"AZ","CLACB",0.00
"AZ","CLACD",0.00
"AZ","CLACP",0.00
"AZ","CLACV",0.00
"AZ","CLCCB",0.00
"AZ","CLCCD",0.00
"AZ","CLCCP",0.00
"AZ","CLCCV",0.00
"AZ","CLEIB",442660.00
"AZ","CLEID",2.10
"AZ","CLEIP",22911.00
"AZ","CLEIV",929.30
"AZ","CLICB",5189.00
"AZ","CLICD",2.94
"AZ","CLICP",221.00
"AZ","CLICV",15.30
"AZ","CLRCB",0.00
"AZ","CLRCD",0.00
"AZ","CLRCP",0.00
"AZ","CLRCV",0.00
"AZ","CLTCB",447849.00
"AZ","CLTCD",2.11
"AZ","CLTCP",23132.00
"AZ","CLTCV",944.60
"CA","CLACB",0.00
"CA","CLACD",0.00
"CA","CLACP",0.00
"CA","CLACV",0.00
"CA","CLCCB",0.00
"CA","CLCCD",0.00
"CA","CLCCP",0.00
"CA","CLCCV",0.00
"CA","CLEIB",6866.00
"CA","CLEID",2.49
"CA","CLEIP",278.00
"CA","CLEIV",17.10
"CA","CLICB",32620.00
"CA","CLICD",3.63
"CA","CLICP",1399.00
"CA","CLICV",118.30
"CA","CLRCB",0.00
"CA","CLRCD",0.00
"CA","CLRCP",0.00
"CA","CLRCV",0.00
"CA","CLTCB",39486.00
"CA","CLTCD",3.43
"CA","CLTCP",1677.00
"CA","CLTCV",135.30
"CO","CLACB",0.00
"CO","CLACD",0.00
"CO","CLACP",0.00
"CO","CLACV",0.00
