"State","MSN","2015"
"AK","EMACB",2333.00
"AK","EMCCB",108.00
"AK","EMICB",35.00
"AK","EMTCB",2476.00
"AK","ENACB",2391.00
"AK","ENACP",672.00
"AK","ENACV",0.00
"AK","ENCCB",111.00
"AK","ENCCP",31.00
"AK","ENCCV",0.00
"AK","ENICB",36.00
"AK","ENICP",10.00
"AK","ENICV",0.00
"AK","ENTCB",2537.00
"AK","ENTCP",713.00
"AK","ENTCV",0.00
"AL","EMACB",22413.00
"AL","EMCCB",371.00
"AL","EMICB",305.00
"AL","EMTCB",23090.00
"AL","ENACB",22966.00
"AL","ENACP",6455.00
"AL","ENACV",0.00
"AL","ENCCB",380.00
"AL","ENCCP",107.00
"AL","ENCCV",0.00
"AL","ENICB",313.00
"AL","ENICP",88.00
"AL","ENICV",0.00
"AL","ENTCB",23659.00
"AL","ENTCP",6649.00
"AL","ENTCV",0.00
"AR","EMACB",11933.00
"AR","EMCCB",224.00
"AR","EMICB",260.00
"AR","EMTCB",12416.00
"AR","ENACB",12227.00
"AR","ENACP",3436.00
"AR","ENACV",0.00
"AR","ENCCB",229.00
"AR","ENCCP",64.00
"AR","ENCCV",0.00
"AR","ENICB",266.00
"AR","ENICP",75.00
"AR","ENICV",0.00
"AR","ENTCB",12722.00
"AR","ENTCP",3576.00
"AR","ENTCV",0.00
"AZ","EMACB",22800.00
"AZ","EMCCB",646.00
"AZ","EMICB",615.00
"AZ","EMTCB",24060.00
"AZ","ENACB",23362.00
"AZ","ENACP",6566.00
"AZ","ENACV",0.00
"AZ","ENCCB",662.00
"AZ","ENCCP",186.00
"AZ","ENCCV",0.00
"AZ","ENICB",630.00
"AZ","ENICP",177.00
"AZ","ENICV",0.00
"AZ","ENTCB",24653.00
"AZ","ENTCP",6929.00
"AZ","ENTCV",0.00
"CA","EMACB",123677.00
"CA","EMCCB",3622.00
"CA","EMICB",2155.00
"CA","EMTCB",129454.00
"CA","ENACB",126727.00
"CA","ENACP",35617.00
"CA","ENACV",0.00
"CA","ENCCB",3711.00
"CA","ENCCP",1043.00
"CA","ENCCV",0.00
"CA","ENICB",2208.00
"CA","ENICP",621.00
"CA","ENICV",0.00
"CA","ENTCB",132646.00
"CA","ENTCP",37281.00
"CA","ENTCV",0.00
"CO","EMACB",17650.00
"CO","EMCCB",487.00
"CO","EMICB",404.00
"CO","EMTCB",18541.00
"CO","ENACB",18085.00
"CO","ENACP",5083.00
"CO","ENACV",0.00
"CO","ENCCB",499.00
"CO","ENCCP",140.00
"CO","ENCCV",0.00
"CO","ENICB",414.00
"CO","ENICP",116.00
"CO","ENICV",0.00
"CO","ENTCB",18998.00
"CO","ENTCP",5340.00
"CO","ENTCV",0.00
"CT","EMACB",12254.00
"CT","EMCCB",333.00
"CT","EMICB",134.00
"CT","EMTCB",12721.00
"CT","ENACB",12556.00
"CT","ENACP",3529.00
"CT","ENACV",0.00
"CT","ENCCB",341.00
"CT","ENCCP",96.00
"CT","ENCCV",0.00
"CT","ENICB",137.00
"CT","ENICP",39.00
"CT","ENICV",0.00
"CT","ENTCB",13034.00
"CT","ENTCP",3663.00
"CT","ENTCV",0.00
"DC","EMACB",921.00
"DC","EMCCB",23.00
"DC","EMICB",13.00
"DC","EMTCB",956.00
"DC","ENACB",943.00
"DC","ENACP",265.00
"DC","ENACV",0.00
"DC","ENCCB",23.00
"DC","ENCCP",7.00
"DC","ENCCV",0.00
"DC","ENICB",13.00
"DC","ENICP",4.00
"DC","ENICV",0.00
"DC","ENTCB",980.00
"DC","ENTCP",275.00
"DC","ENTCV",0.00
"DE","EMACB",3892.00
"DE","EMCCB",84.00
"DE","EMICB",50.00
"DE","EMTCB",4026.00
"DE","ENACB",3988.00
"DE","ENACP",1121.00
"DE","ENACV",0.00
"DE","ENCCB",86.00
"DE","ENCCP",24.00
"DE","ENCCV",0.00
"DE","ENICB",51.00
"DE","ENICP",14.00
"DE","ENICV",0.00
"DE","ENTCB",4125.00
"DE","ENTCP",1159.00
"DE","ENTCV",0.00
"FL","EMACB",63491.00
"FL","EMCCB",1712.00
"FL","EMICB",1394.00
"FL","EMTCB",66598.00
"FL","ENACB",65056.00
"FL","ENACP",18284.00
"FL","ENACV",0.00
"FL","ENCCB",1755.00
"FL","ENCCP",493.00
"FL","ENCCV",0.00
"FL","ENICB",1429.00
