"State","MSN","2014"
"AK","GECCB",85.00
"AK","GEEGB",0.00
"AK","GEEGP",0.00
"AK","GEICB",0.00
"AK","GERCB",101.00
"AK","GETCB",186.00
"AL","GECCB",0.00
"AL","GEEGB",0.00
"AL","GEEGP",0.00
"AL","GEICB",42.00
"AL","GERCB",99.00
"AL","GETCB",141.00
"AR","GECCB",0.00
"AR","GEEGB",0.00
"AR","GEEGP",0.00
"AR","GEICB",12.00
"AR","GERCB",797.00
"AR","GETCB",808.00
"AZ","GECCB",48.00
"AZ","GEEGB",0.00
"AZ","GEEGP",0.00
"AZ","GEICB",247.00
"AZ","GERCB",50.00
"AZ","GETCB",345.00
"CA","GECCB",634.00
"CA","GEEGB",115087.00
"CA","GEEGP",12102.00
"CA","GEICB",1217.00
"CA","GERCB",287.00
"CA","GETCB",117226.00
"CO","GECCB",221.00
"CO","GEEGB",0.00
"CO","GEEGP",0.00
"CO","GEICB",266.00
"CO","GERCB",271.00
"CO","GETCB",759.00
"CT","GECCB",0.00
"CT","GEEGB",0.00
"CT","GEEGP",0.00
"CT","GEICB",0.00
"CT","GERCB",21.00
"CT","GETCB",21.00
"DC","GECCB",0.00
"DC","GEEGB",0.00
"DC","GEEGP",0.00
"DC","GEICB",0.00
"DC","GERCB",22.00
"DC","GETCB",22.00
"DE","GECCB",0.00
"DE","GEEGB",0.00
"DE","GEEGP",0.00
"DE","GEICB",0.00
"DE","GERCB",430.00
"DE","GETCB",430.00
"FL","GECCB",2080.00
"FL","GEEGB",0.00
"FL","GEEGP",0.00
"FL","GEICB",0.00
"FL","GERCB",7976.00
"FL","GETCB",10056.00
"GA","GECCB",4.00
"GA","GEEGB",0.00
"GA","GEEGP",0.00
"GA","GEICB",6.00
"GA","GERCB",304.00
"GA","GETCB",315.00
"HI","GECCB",6.00
"HI","GEEGB",2414.00
"HI","GEEGP",254.00
"HI","GEICB",2.00
"HI","GERCB",0.00
"HI","GETCB",2422.00
"IA","GECCB",744.00
"IA","GEEGB",0.00
"IA","GEEGP",0.00
"IA","GEICB",0.00
"IA","GERCB",538.00
"IA","GETCB",1281.00
"ID","GECCB",613.00
"ID","GEEGB",749.00
"ID","GEEGP",79.00
"ID","GEICB",758.00
"ID","GERCB",131.00
"ID","GETCB",2252.00
"IL","GECCB",0.00
"IL","GEEGB",0.00
"IL","GEEGP",0.00
"IL","GEICB",0.00
"IL","GERCB",2042.00
"IL","GETCB",2042.00
"IN","GECCB",816.00
"IN","GEEGB",0.00
"IN","GEEGP",0.00
"IN","GEICB",0.00
"IN","GERCB",3831.00
"IN","GETCB",4647.00
"KS","GECCB",672.00
"KS","GEEGB",0.00
"KS","GEEGP",0.00
"KS","GEICB",0.00
"KS","GERCB",302.00
"KS","GETCB",974.00
"KY","GECCB",852.00
"KY","GEEGB",0.00
"KY","GEEGP",0.00
"KY","GEICB",0.00
"KY","GERCB",1860.00
"KY","GETCB",2712.00
"LA","GECCB",852.00
"LA","GEEGB",0.00
