"State","MSN","2014"
"AK","HYCCB",0.00
"AK","HYCCP",0.00
"AK","HYEGB",14633.00
"AK","HYEGP",1539.00
"AK","HYICB",0.00
"AK","HYICP",0.00
"AK","HYTCB",14633.00
"AK","HYTCP",1539.00
"AL","HYCCB",0.00
"AL","HYCCP",0.00
"AL","HYEGB",90030.00
"AL","HYEGP",9467.00
"AL","HYICB",0.00
"AL","HYICP",0.00
"AL","HYTCB",90030.00
"AL","HYTCP",9467.00
"AR","HYCCB",0.00
"AR","HYCCP",0.00
"AR","HYEGB",25104.00
"AR","HYEGP",2640.00
"AR","HYICB",0.00
"AR","HYICP",0.00
"AR","HYTCB",25104.00
"AR","HYTCP",2640.00
"AZ","HYCCB",0.00
"AZ","HYCCP",0.00
"AZ","HYEGB",58185.00
"AZ","HYEGP",6118.00
"AZ","HYICB",0.00
"AZ","HYICP",0.00
"AZ","HYTCB",58185.00
"AZ","HYTCP",6118.00
"CA","HYCCB",39.00
"CA","HYCCP",4.00
"CA","HYEGB",157174.00
"CA","HYEGP",16527.00
"CA","HYICB",0.00
"CA","HYICP",0.00
"CA","HYTCB",157213.00
"CA","HYTCP",16531.00
"CO","HYCCB",60.00
"CO","HYCCP",6.00
"CO","HYEGB",16771.00
"CO","HYEGP",1764.00
"CO","HYICB",0.00
"CO","HYICP",0.00
"CO","HYTCB",16831.00
"CO","HYTCP",1770.00
"CT","HYCCB",0.00
"CT","HYCCP",0.00
"CT","HYEGB",4127.00
"CT","HYEGP",434.00
"CT","HYICB",0.00
"CT","HYICP",0.00
"CT","HYTCB",4127.00
"CT","HYTCP",434.00
"DC","HYCCB",0.00
"DC","HYCCP",0.00
"DC","HYEGB",0.00
"DC","HYEGP",0.00
"DC","HYICB",0.00
"DC","HYICP",0.00
"DC","HYTCB",0.00
"DC","HYTCP",0.00
"DE","HYCCB",0.00
"DE","HYCCP",0.00
"DE","HYEGB",0.00
"DE","HYEGP",0.00
"DE","HYICB",0.00
"DE","HYICP",0.00
"DE","HYTCB",0.00
"DE","HYTCP",0.00
"FL","HYCCB",0.00
"FL","HYCCP",0.00
"FL","HYEGB",2010.00
"FL","HYEGP",211.00
"FL","HYICB",0.00
"FL","HYICP",0.00
"FL","HYTCB",2010.00
"FL","HYTCP",211.00
"GA","HYCCB",0.00
"GA","HYCCP",0.00
"GA","HYEGB",28970.00
"GA","HYEGP",3046.00
"GA","HYICB",172.00
"GA","HYICP",18.00
"GA","HYTCB",29142.00
"GA","HYTCP",3064.00
"HI","HYCCB",0.00
"HI","HYCCP",0.00
"HI","HYEGB",397.00
"HI","HYEGP",42.00
"HI","HYICB",498.00
"HI","HYICP",52.00
"HI","HYTCB",895.00
"HI","HYTCP",94.00
"IA","HYCCB",0.00
"IA","HYCCP",0.00
"IA","HYEGB",8356.00
"IA","HYEGP",879.00
"IA","HYICB",0.00
"IA","HYICP",0.00
"IA","HYTCB",8356.00
"IA","HYTCP",879.00
"ID","HYCCB",0.00
"ID","HYCCP",0.00
"ID","HYEGB",85611.00
"ID","HYEGP",9002.00
"ID","HYICB",0.00
"ID","HYICP",0.00
"ID","HYTCB",85611.00
"ID","HYTCP",9002.00
"IL","HYCCB",27.00
"IL","HYCCP",3.00
"IL","HYEGB",1231.00
"IL","HYEGP",129.00
"IL","HYICB",0.00
"IL","HYICP",0.00
"IL","HYTCB",1258.00
"IL","HYTCP",132.00
"IN","HYCCB",0.00
"IN","HYCCP",0.00
"IN","HYEGB",3530.00
"IN","HYEGP",371.00
"IN","HYICB",0.00
"IN","HYICP",0.00
"IN","HYTCB",3530.00
"IN","HYTCP",371.00
"KS","HYCCB",0.00
"KS","HYCCP",0.00
"KS","HYEGB",154.00
"KS","HYEGP",16.00
"KS","HYICB",0.00
"KS","HYICP",0.00
"KS","HYTCB",154.00
"KS","HYTCP",16.00
"KY","HYCCB",0.00
"KY","HYCCP",0.00
"KY","HYEGB",29895.00
"KY","HYEGP",3144.00
"KY","HYICB",0.00
"KY","HYICP",0.00
"KY","HYTCB",29895.00
"KY","HYTCP",3144.00
"LA","HYCCB",0.00
"LA","HYCCP",0.00
"LA","HYEGB",10366.00
"LA","HYEGP",1090.00
"LA","HYICB",0.00
"LA","HYICP",0.00
"LA","HYTCB",10366.00
"LA","HYTCP",1090.00
"MA","HYCCB",49.00
"MA","HYCCP",5.00
"MA","HYEGB",8476.00
"MA","HYEGP",891.00
"MA","HYICB",54.00
"MA","HYICP",6.00
"MA","HYTCB",8579.00
"MA","HYTCP",902.00
"MD","HYCCB",0.00
"MD","HYCCP",0.00
"MD","HYEGB",15364.00
"MD","HYEGP",1616.00
"MD","HYICB",0.00
"MD","HYICP",0.00
"MD","HYTCB",15364.00
"MD","HYTCP",1616.00
"ME","HYCCB",0.00
"ME","HYCCP",0.00
"ME","HYEGB",30730.00
"ME","HYEGP",3231.00
"ME","HYICB",3727.00
"ME","HYICP",392.00
"ME","HYTCB",34457.00
"ME","HYTCP",3623.00
"MI","HYCCB",0.00
"MI","HYCCP",0.00
"MI","HYEGB",14941.00
"MI","HYEGP",1571.00
"MI","HYICB",275.00
"MI","HYICP",29.00
"MI","HYTCB",15216.00
"MI","HYTCP",1600.00
"MN","HYCCB",0.00
"MN","HYCCP",0.00
"MN","HYEGB",5032.00
