"State","MSN","2015"
"AK","JFACB",102899.00
"AK","JFACD",12.33
"AK","JFACP",18148.00
"AK","JFACV",1269.10
"AK","JFTCB",102899.00
"AK","JFTCD",12.33
"AK","JFTCP",18148.00
"AK","JFTCV",1269.10
"AL","JFACB",17838.00
"AL","JFACD",11.87
"AL","JFACP",3146.00
"AL","JFACV",211.80
"AL","JFTCB",17838.00
"AL","JFTCD",11.87
"AL","JFTCP",3146.00
"AL","JFTCV",211.80
"AR","JFACB",7210.00
"AR","JFACD",11.79
"AR","JFACP",1272.00
"AR","JFACV",85.00
"AR","JFTCB",7210.00
"AR","JFTCD",11.79
"AR","JFTCP",1272.00
"AR","JFTCV",85.00
"AZ","JFACB",21835.00
"AZ","JFACD",12.19
"AZ","JFACP",3851.00
"AZ","JFACV",266.10
"AZ","JFTCB",21835.00
"AZ","JFTCD",12.19
"AZ","JFTCP",3851.00
"AZ","JFTCV",266.10
"CA","JFACB",637636.00
"CA","JFACD",12.21
"CA","JFACP",112458.00
"CA","JFACV",7783.90
"CA","JFTCB",637636.00
"CA","JFTCD",12.21
"CA","JFTCP",112458.00
"CA","JFTCV",7783.90
"CO","JFACB",52508.00
"CO","JFACD",12.26
"CO","JFACP",9261.00
"CO","JFACV",643.70
"CO","JFTCB",52508.00
"CO","JFTCD",12.26
"CO","JFTCP",9261.00
"CO","JFTCV",643.70
"CT","JFACB",8701.00
"CT","JFACD",12.79
"CT","JFACP",1535.00
"CT","JFACV",111.30
"CT","JFTCB",8701.00
"CT","JFTCD",12.79
"CT","JFTCP",1535.00
"CT","JFTCV",111.30
"DC","JFACB",0.00
"DC","JFACD",0.00
"DC","JFACP",0.00
"DC","JFACV",0.00
"DC","JFTCB",0.00
"DC","JFTCD",0.00
"DC","JFTCP",0.00
"DC","JFTCV",0.00
"DE","JFACB",697.00
"DE","JFACD",11.99
"DE","JFACP",123.00
"DE","JFACV",8.40
"DE","JFTCB",697.00
"DE","JFTCD",11.99
"DE","JFTCP",123.00
"DE","JFTCV",8.40
"FL","JFACB",198636.00
"FL","JFACD",12.30
"FL","JFACP",35033.00
"FL","JFACV",2444.00
"FL","JFTCB",198636.00
"FL","JFTCD",12.30
"FL","JFTCP",35033.00
"FL","JFTCV",2444.00
"GA","JFACB",23519.00
"GA","JFACD",12.24
"GA","JFACP",4148.00
