"State","MSN","2015"
"AK","KSCCB",17.00
"AK","KSCCD",16.01
"AK","KSCCP",3.00
"AK","KSCCV",0.30
"AK","KSICB",1.00
"AK","KSICD",15.41
"AK","KSICP",0.00
"AK","KSICV",0.00
"AK","KSRCB",38.00
"AK","KSRCD",16.01
"AK","KSRCP",7.00
"AK","KSRCV",0.60
"AK","KSTCB",55.00
"AK","KSTCD",16.01
"AK","KSTCP",10.00
"AK","KSTCV",0.90
"AL","KSCCB",13.00
"AL","KSCCD",16.65
"AL","KSCCP",2.00
"AL","KSCCV",0.20
"AL","KSICB",26.00
"AL","KSICD",12.24
"AL","KSICP",5.00
"AL","KSICV",0.30
"AL","KSRCB",17.00
"AL","KSRCD",16.65
"AL","KSRCP",3.00
"AL","KSRCV",0.30
"AL","KSTCB",56.00
"AL","KSTCD",14.60
"AL","KSTCP",10.00
"AL","KSTCV",0.80
"AR","KSCCB",5.00
"AR","KSCCD",17.05
"AR","KSCCP",1.00
"AR","KSCCV",0.10
"AR","KSICB",5.00
"AR","KSICD",12.54
"AR","KSICP",1.00
"AR","KSICV",0.10
"AR","KSRCB",9.00
"AR","KSRCD",17.05
"AR","KSRCP",2.00
"AR","KSRCV",0.10
"AR","KSTCB",18.00
"AR","KSTCD",15.85
"AR","KSTCP",3.00
"AR","KSTCV",0.30
"AZ","KSCCB",1.00
"AZ","KSCCD",16.91
"AZ","KSCCP",0.00
"AZ","KSCCV",0.00
"AZ","KSICB",0.00
"AZ","KSICD",16.27
"AZ","KSICP",0.00
"AZ","KSICV",0.00
"AZ","KSRCB",0.00
"AZ","KSRCD",16.91
"AZ","KSRCP",0.00
"AZ","KSRCV",0.00
"AZ","KSTCB",1.00
"AZ","KSTCD",16.69
"AZ","KSTCP",0.00
"AZ","KSTCV",0.00
"CA","KSCCB",47.00
"CA","KSCCD",17.21
"CA","KSCCP",8.00
"CA","KSCCV",0.80
"CA","KSICB",21.00
"CA","KSICD",16.56
"CA","KSICP",4.00
"CA","KSICV",0.40
"CA","KSRCB",248.00
"CA","KSRCD",17.21
"CA","KSRCP",44.00
"CA","KSRCV",4.30
"CA","KSTCB",316.00
"CA","KSTCD",17.17
"CA","KSTCP",56.00
"CA","KSTCV",5.40
"CO","KSCCB",6.00
"CO","KSCCD",16.47
"CO","KSCCP",1.00
"CO","KSCCV",0.10
"CO","KSICB",1.00
"CO","KSICD",13.34
"CO","KSICP",0.00
"CO","KSICV",0.00
"CO","KSRCB",5.00
"CO","KSRCD",16.47
"CO","KSRCP",1.00
"CO","KSRCV",0.10
"CO","KSTCB",12.00
"CO","KSTCD",16.17
"CO","KSTCP",2.00
"CO","KSTCV",0.20
"CT","KSCCB",10.00
"CT","KSCCD",17.03
"CT","KSCCP",2.00
"CT","KSCCV",0.20
"CT","KSICB",221.00
"CT","KSICD",15.71
"CT","KSICP",39.00
"CT","KSICV",3.50
"CT","KSRCB",58.00
"CT","KSRCD",17.03
"CT","KSRCP",10.00
"CT","KSRCV",1.00
"CT","KSTCB",289.00
"CT","KSTCD",16.02
"CT","KSTCP",51.00
"CT","KSTCV",4.60
"DC","KSCCB",0.00
"DC","KSCCD",16.93
"DC","KSCCP",0.00
"DC","KSCCV",0.00
"DC","KSICB",0.00
"DC","KSICD",0.00
"DC","KSICP",0.00
"DC","KSICV",0.00
"DC","KSRCB",0.00
"DC","KSRCD",0.00
"DC","KSRCP",0.00
"DC","KSRCV",0.00
"DC","KSTCB",0.00
"DC","KSTCD",16.19
"DC","KSTCP",0.00
"DC","KSTCV",0.00
"DE","KSCCB",10.00
"DE","KSCCD",16.01
"DE","KSCCP",2.00
"DE","KSCCV",0.20
"DE","KSICB",0.00
"DE","KSICD",13.86
"DE","KSICP",0.00
"DE","KSICV",0.00
"DE","KSRCB",76.00
"DE","KSRCD",16.01
"DE","KSRCP",13.00
"DE","KSRCV",1.20
"DE","KSTCB",86.00
"DE","KSTCD",16.00
"DE","KSTCP",15.00
"DE","KSTCV",1.40
"FL","KSCCB",21.00
"FL","KSCCD",16.97
"FL","KSCCP",4.00
"FL","KSCCV",0.40
"FL","KSICB",1.00
"FL","KSICD",17.06
"FL","KSICP",0.00
"FL","KSICV",0.00
"FL","KSRCB",19.00
"FL","KSRCD",16.97
"FL","KSRCP",3.00
"FL","KSRCV",0.30
"FL","KSTCB",41.00
"FL","KSTCD",16.97
"FL","KSTCP",7.00
"FL","KSTCV",0.70
"GA","KSCCB",36.00
"GA","KSCCD",16.65
"GA","KSCCP",6.00
"GA","KSCCV",0.60
"GA","KSICB",19.00
"GA","KSICD",16.74
"GA","KSICP",3.00
"GA","KSICV",0.30
"GA","KSRCB",34.00
"GA","KSRCD",16.65
"GA","KSRCP",6.00
"GA","KSRCV",0.60
"GA","KSTCB",89.00
"GA","KSTCD",16.67
"GA","KSTCP",16.00
"GA","KSTCV",1.50
"HI","KSCCB",0.00
"HI","KSCCD",0.00
"HI","KSCCP",0.00
"HI","KSCCV",0.00
"HI","KSICB",0.00
"HI","KSICD",16.02
"HI","KSICP",0.00
"HI","KSICV",0.00
"HI","KSRCB",0.00
"HI","KSRCD",0.00
