"State","MSN","2014"
"AK","LGACB",85.00
"AK","LGACD",28.40
"AK","LGACP",22.00
"AK","LGACV",2.40
"AK","LGCCB",709.00
"AK","LGCCD",22.19
"AK","LGCCP",185.00
"AK","LGCCV",15.70
"AK","LGICB",31.00
"AK","LGICD",23.37
"AK","LGICP",9.00
"AK","LGICV",0.70
"AK","LGRCB",365.00
"AK","LGRCD",38.46
"AK","LGRCP",95.00
"AK","LGRCV",14.00
"AK","LGTCB",1190.00
"AK","LGTCD",27.65
"AK","LGTCP",311.00
"AK","LGTCV",32.90
"AL","LGACB",549.00
"AL","LGACD",29.63
"AL","LGACP",143.00
"AL","LGACV",16.30
"AL","LGCCB",2057.00
"AL","LGCCD",23.03
"AL","LGCCP",536.00
"AL","LGCCV",47.40
"AL","LGICB",1190.00
"AL","LGICD",14.95
"AL","LGICP",344.00
"AL","LGICV",17.80
"AL","LGRCB",4665.00
"AL","LGRCD",31.13
"AL","LGRCP",1216.00
"AL","LGRCV",145.20
"AL","LGTCB",8460.00
"AL","LGTCD",26.79
"AL","LGTCP",2239.00
"AL","LGTCV",226.60
"AR","LGACB",492.00
"AR","LGACD",29.58
"AR","LGACP",128.00
"AR","LGACV",14.50
"AR","LGCCB",1376.00
"AR","LGCCD",23.58
"AR","LGCCP",359.00
"AR","LGCCV",32.40
"AR","LGICB",2594.00
"AR","LGICD",15.31
"AR","LGICP",750.00
"AR","LGICV",39.60
"AR","LGRCB",4684.00
"AR","LGRCD",31.83
"AR","LGRCP",1221.00
"AR","LGRCV",149.10
"AR","LGTCB",9145.00
"AR","LGTCD",25.80
"AR","LGTCP",2457.00
"AR","LGTCV",235.60
"AZ","LGACB",1078.00
"AZ","LGACD",28.40
"AZ","LGACP",281.00
"AZ","LGACV",30.60
"AZ","LGCCB",1651.00
"AZ","LGCCD",23.43
"AZ","LGCCP",430.00
"AZ","LGCCV",38.70
"AZ","LGICB",793.00
"AZ","LGICD",24.68
"AZ","LGICP",229.00
"AZ","LGICV",19.60
"AZ","LGRCB",3852.00
"AZ","LGRCD",34.89
"AZ","LGRCP",1004.00
"AZ","LGRCV",134.40
"AZ","LGTCB",7373.00
"AZ","LGTCD",30.28
"AZ","LGTCP",1945.00
"AZ","LGTCV",223.20
"CA","LGACB",5352.00
"CA","LGACD",29.05
"CA","LGACP",1395.00
