"State","MSN","2015"
"AK","LUACB",492.00
"AK","LUACD",67.28
"AK","LUACP",81.00
"AK","LUACV",33.10
"AK","LUICB",108.00
"AK","LUICD",67.28
"AK","LUICP",18.00
"AK","LUICV",7.30
"AK","LUTCB",600.00
"AK","LUTCD",67.28
"AK","LUTCP",99.00
"AK","LUTCV",40.30
"AL","LUACB",2539.00
"AL","LUACD",67.28
"AL","LUACP",419.00
"AL","LUACV",170.90
"AL","LUICB",2647.00
"AL","LUICD",67.28
"AL","LUICP",436.00
"AL","LUICV",178.10
"AL","LUTCB",5186.00
"AL","LUTCD",67.28
"AL","LUTCP",855.00
"AL","LUTCV",349.00
"AR","LUACB",2258.00
"AR","LUACD",67.28
"AR","LUACP",372.00
"AR","LUACV",151.90
"AR","LUICB",1401.00
"AR","LUICD",67.28
"AR","LUICP",231.00
"AR","LUICV",94.30
"AR","LUTCB",3659.00
"AR","LUTCD",67.28
"AR","LUTCP",603.00
"AR","LUTCV",246.20
"AZ","LUACB",1813.00
"AZ","LUACD",67.28
"AZ","LUACP",299.00
"AZ","LUACV",122.00
"AZ","LUICB",1382.00
"AZ","LUICD",67.28
"AZ","LUICP",228.00
"AZ","LUICV",93.00
"AZ","LUTCB",3195.00
"AZ","LUTCD",67.28
"AZ","LUTCP",527.00
"AZ","LUTCV",215.00
"CA","LUACB",14655.00
"CA","LUACD",67.28
"CA","LUACP",2416.00
"CA","LUACV",986.00
"CA","LUICB",10991.00
"CA","LUICD",67.28
"CA","LUICP",1812.00
"CA","LUICV",739.50
"CA","LUTCB",25646.00
"CA","LUTCD",67.28
"CA","LUTCP",4228.00
"CA","LUTCV",1725.50
"CO","LUACB",2104.00
"CO","LUACD",67.28
"CO","LUACP",347.00
"CO","LUACV",141.50
"CO","LUICB",1246.00
"CO","LUICD",67.28
"CO","LUICP",205.00
"CO","LUICV",83.80
"CO","LUTCB",3350.00
"CO","LUTCD",67.28
"CO","LUTCP",552.00
"CO","LUTCV",225.40
"CT","LUACB",1293.00
"CT","LUACD",67.28
"CT","LUACP",213.00
"CT","LUACV",87.00
"CT","LUICB",1087.00
"CT","LUICD",67.28
"CT","LUICP",179.00
"CT","LUICV",73.10
"CT","LUTCB",2380.00
"CT","LUTCD",67.28
"CT","LUTCP",392.00
"CT","LUTCV",160.10
"DC","LUACB",281.00
"DC","LUACD",67.28
"DC","LUACP",46.00
"DC","LUACV",18.90
"DC","LUICB",37.00
"DC","LUICD",67.28
"DC","LUICP",6.00
"DC","LUICV",2.50
"DC","LUTCB",319.00
"DC","LUTCD",67.28
"DC","LUTCP",53.00
"DC","LUTCV",21.40
"DE","LUACB",333.00
"DE","LUACD",67.28
"DE","LUACP",55.00
"DE","LUACV",22.40
"DE","LUICB",394.00
"DE","LUICD",67.28
"DE","LUICP",65.00
"DE","LUICV",26.50
"DE","LUTCB",726.00
"DE","LUTCD",67.28
"DE","LUTCP",120.00
"DE","LUTCV",48.90
"FL","LUACB",4207.00
"FL","LUACD",67.28
"FL","LUACP",694.00
"FL","LUACV",283.10
"FL","LUICB",3158.00
"FL","LUICD",67.28
"FL","LUICP",521.00
"FL","LUICV",212.50
"FL","LUTCB",7365.00
"FL","LUTCD",67.28
"FL","LUTCP",1214.00
"FL","LUTCV",495.50
"GA","LUACB",3228.00
"GA","LUACD",67.28
"GA","LUACP",532.00
"GA","LUACV",217.20
"GA","LUICB",3303.00
"GA","LUICD",67.28
"GA","LUICP",545.00
"GA","LUICV",222.20
"GA","LUTCB",6531.00
"GA","LUTCD",67.28
"GA","LUTCP",1077.00
"GA","LUTCV",439.40
"HI","LUACB",389.00
"HI","LUACD",67.28
"HI","LUACP",64.00
"HI","LUACV",26.20
"HI","LUICB",103.00
"HI","LUICD",67.28
"HI","LUICP",17.00
"HI","LUICV",6.90
"HI","LUTCB",492.00
"HI","LUTCD",67.28
"HI","LUTCP",81.00
"HI","LUTCV",33.10
"IA","LUACB",2727.00
"IA","LUACD",67.28
"IA","LUACP",450.00
"IA","LUACV",183.50
"IA","LUICB",1003.00
"IA","LUICD",67.28
