"State","MSN","2014"
"AK","NUEGB",0.00
"AK","NUEGD",0.00
"AK","NUEGP",0.00
"AK","NUEGV",0.00
"AK","NUETB",0.00
"AK","NUETD",0.00
"AK","NUETP",0.00
"AK","NUETV",0.00
"AL","NUEGB",431368.00
"AL","NUEGD",0.80
"AL","NUEGP",41244.00
"AL","NUEGV",344.20
"AL","NUETB",431368.00
"AL","NUETD",0.80
"AL","NUETP",41244.00
"AL","NUETV",344.20
"AR","NUEGB",151428.00
"AR","NUEGD",0.83
"AR","NUEGP",14478.00
"AR","NUEGV",126.10
"AR","NUETB",151428.00
"AR","NUETD",0.83
"AR","NUETP",14478.00
"AR","NUETV",126.10
"AZ","NUEGB",338044.00
"AZ","NUEGD",0.82
"AZ","NUEGP",32321.00
"AZ","NUEGV",276.70
"AZ","NUETB",338044.00
"AZ","NUETD",0.82
"AZ","NUETP",32321.00
"AZ","NUETV",276.70
"CA","NUEGB",177656.00
"CA","NUEGD",0.65
"CA","NUEGP",16986.00
"CA","NUEGV",115.20
"CA","NUETB",177656.00
"CA","NUETD",0.65
"CA","NUETP",16986.00
"CA","NUETV",115.20
"CO","NUEGB",0.00
"CO","NUEGD",0.00
"CO","NUEGP",0.00
"CO","NUEGV",0.00
"CO","NUETB",0.00
"CO","NUETD",0.00
"CO","NUETP",0.00
"CO","NUETV",0.00
"CT","NUEGB",165677.00
"CT","NUEGD",0.72
"CT","NUEGP",15841.00
"CT","NUEGV",120.00
"CT","NUETB",165677.00
"CT","NUETD",0.72
"CT","NUETP",15841.00
"CT","NUETV",120.00
"DC","NUEGB",0.00
"DC","NUEGD",0.00
"DC","NUEGP",0.00
"DC","NUEGV",0.00
"DC","NUETB",0.00
"DC","NUETD",0.00
"DC","NUETP",0.00
"DC","NUETV",0.00
"DE","NUEGB",0.00
"DE","NUEGD",0.00
"DE","NUEGP",0.00
"DE","NUEGV",0.00
"DE","NUETB",0.00
"DE","NUETD",0.00
"DE","NUETP",0.00
"DE","NUETV",0.00
"FL","NUEGB",291474.00
"FL","NUEGD",0.74
"FL","NUEGP",27868.00
"FL","NUEGV",215.70
"FL","NUETB",291474.00
"FL","NUETD",0.74
"FL","NUETP",27868.00
"FL","NUETV",215.70
"GA","NUEGB",340652.00
"GA","NUEGD",0.86
"GA","NUEGP",32570.00
"GA","NUEGV",291.60
"GA","NUETB",340652.00
"GA","NUETD",0.86
"GA","NUETP",32570.00
"GA","NUETV",291.60
"HI","NUEGB",0.00
"HI","NUEGD",0.00
"HI","NUEGP",0.00
"HI","NUEGV",0.00
"HI","NUETB",0.00
"HI","NUETD",0.00
"HI","NUETP",0.00
"HI","NUETV",0.00
"IA","NUEGB",43431.00
"IA","NUEGD",0.80
"IA","NUEGP",4152.00
"IA","NUEGV",34.60
"IA","NUETB",43431.00
"IA","NUETD",0.80
"IA","NUETP",4152.00
"IA","NUETV",34.60
"ID","NUEGB",0.00
"ID","NUEGD",0.00
"ID","NUEGP",0.00
"ID","NUEGV",0.00
"ID","NUETB",0.00
"ID","NUETD",0.00
"ID","NUETP",0.00
"ID","NUETV",0.00
"IL","NUEGB",1023496.00
"IL","NUEGD",0.77
"IL","NUEGP",97858.00
"IL","NUEGV",785.70
"IL","NUETB",1023496.00
"IL","NUETD",0.77
"IL","NUETP",97858.00
"IL","NUETV",785.70
"IN","NUEGB",0.00
"IN","NUEGD",0.00
"IN","NUEGP",0.00
"IN","NUEGV",0.00
"IN","NUETB",0.00
"IN","NUETD",0.00
"IN","NUETP",0.00
"IN","NUETV",0.00
"KS","NUEGB",89512.00
"KS","NUEGD",0.65
"KS","NUEGP",8558.00
"KS","NUEGV",58.20
"KS","NUETB",89512.00
"KS","NUETD",0.65
"KS","NUETP",8558.00
"KS","NUETV",58.20
"KY","NUEGB",0.00
"KY","NUEGD",0.00
"KY","NUEGP",0.00
"KY","NUEGV",0.00
"KY","NUETB",0.00
"KY","NUETD",0.00
"KY","NUETP",0.00
"KY","NUETV",0.00
"LA","NUEGB",181059.00
"LA","NUEGD",0.84
"LA","NUEGP",17311.00
"LA","NUEGV",152.60
"LA","NUETB",181059.00
"LA","NUETD",0.84
"LA","NUETP",17311.00
"LA","NUETV",152.60
"MA","NUEGB",60340.00
"MA","NUEGD",0.80
"MA","NUEGP",5769.00
"MA","NUEGV",48.10
"MA","NUETB",60340.00
"MA","NUETD",0.80
"MA","NUETP",5769.00
"MA","NUETV",48.10
"MD","NUEGB",150017.00
"MD","NUEGD",0.72
"MD","NUEGP",14343.00
"MD","NUEGV",108.70
"MD","NUETB",150017.00
"MD","NUETD",0.72
"MD","NUETP",14343.00
"MD","NUETV",108.70
"ME","NUEGB",0.00
"ME","NUEGD",0.00
"ME","NUEGP",0.00
"ME","NUEGV",0.00
"ME","NUETB",0.00
"ME","NUETD",0.00
"ME","NUETP",0.00
"ME","NUETV",0.00
"MI","NUEGB",326800.00
"MI","NUEGD",0.70
"MI","NUEGP",31246.00
"MI","NUEGV",227.60
"MI","NUETB",326800.00
"MI","NUETD",0.70
"MI","NUETP",31246.00
"MI","NUETV",227.60
"MN","NUEGB",132904.00
"MN","NUEGD",0.90
"MN","NUEGP",12707.00
"MN","NUEGV",119.40
"MN","NUETB",132904.00
"MN","NUETD",0.90
"MN","NUETP",12707.00
"MN","NUETV",119.40
"MO","NUEGB",97021.00
"MO","NUEGD",0.88
"MO","NUEGP",9276.00
"MO","NUEGV",85.10
"MO","NUETB",97021.00
"MO","NUETD",0.88
"MO","NUETP",9276.00
"MO","NUETV",85.10
"MS","NUEGB",107228.00
"MS","NUEGD",0.88
"MS","NUEGP",10252.00
"MS","NUEGV",94.10
"MS","NUETB",107228.00
"MS","NUETD",0.88
"MS","NUETP",10252.00
"MS","NUETV",94.10
"MT","NUEGB",0.00
"MT","NUEGD",0.00
"MT","NUEGP",0.00
"MT","NUEGV",0.00
"MT","NUETB",0.00
"MT","NUETD",0.00
"MT","NUETP",0.00
"MT","NUETV",0.00
