"State","MSN","2015"
"AK","POICB",12916.00
"AK","POICD",0.00
"AK","POICP",2152.00
"AK","POICV",0.00
"AK","POTCB",12916.00
"AK","POTCD",0.00
"AK","POTCP",2152.00
"AK","POTCV",0.00
"AL","POICB",14405.00
"AL","POICD",19.59
"AL","POICP",2457.00
"AL","POICV",72.30
"AL","POTCB",14405.00
"AL","POTCD",19.59
"AL","POTCP",2457.00
"AL","POTCV",72.30
"AR","POICB",11772.00
"AR","POICD",17.47
"AR","POICP",1976.00
"AR","POICV",50.10
"AR","POTCB",11772.00
"AR","POTCD",17.47
"AR","POTCP",1976.00
"AR","POTCV",50.10
"AZ","POICB",1115.00
"AZ","POICD",21.26
"AZ","POICP",206.00
"AZ","POICV",23.70
"AZ","POTCB",1115.00
"AZ","POTCD",21.26
"AZ","POTCP",206.00
"AZ","POTCV",23.70
"CA","POICB",216638.00
"CA","POICD",21.57
"CA","POICP",35869.00
"CA","POICV",218.20
"CA","POTCB",216638.00
"CA","POTCD",21.57
"CA","POTCP",35869.00
"CA","POTCV",218.20
"CO","POICB",12245.00
"CO","POICD",20.75
"CO","POICP",2023.00
"CO","POICV",11.90
"CO","POTCB",12245.00
"CO","POTCD",20.75
"CO","POTCP",2023.00
"CO","POTCV",11.90
"CT","POICB",958.00
"CT","POICD",19.45
"CT","POICP",172.00
"CT","POICV",18.60
"CT","POTCB",958.00
"CT","POTCD",19.45
"CT","POTCP",172.00
"CT","POTCV",18.60
"DC","POICB",0.00
"DC","POICD",0.00
"DC","POICP",0.00
"DC","POICV",0.00
"DC","POTCB",0.00
"DC","POTCD",0.00
"DC","POTCP",0.00
"DC","POTCV",0.00
"DE","POICB",23809.00
"DE","POICD",15.53
"DE","POICP",3901.00
"DE","POICV",2.20
"DE","POTCB",23809.00
"DE","POTCD",15.53
"DE","POTCP",3901.00
"DE","POTCV",2.20
"FL","POICB",3034.00
"FL","POICD",20.33
"FL","POICP",557.00
"FL","POICV",61.70
"FL","POTCB",19221.00
"FL","POTCD",5.00
"FL","POTCP",3388.00
"FL","POTCV",96.10
"GA","POICB",11058.00
"GA","POICD",14.82
"GA","POICP",2013.00
"GA","POICV",163.80
"GA","POTCB",11058.00
"GA","POTCD",14.82
"GA","POTCP",2013.00
"GA","POTCV",163.80
"HI","POICB",14155.00
"HI","POICD",0.00
"HI","POICP",2342.00
"HI","POICV",0.00
"HI","POTCB",14155.00
"HI","POTCD",0.00
"HI","POTCP",2342.00
"HI","POTCV",0.00
"IA","POICB",4428.00
"IA","POICD",12.41
"IA","POICP",789.00
"IA","POICV",55.00
"IA","POTCB",4948.00
"IA","POTCD",11.26
"IA","POTCP",880.00
"IA","POTCV",55.70
"ID","POICB",199.00
"ID","POICD",20.84
"ID","POICP",35.00
"ID","POICV",4.20
"ID","POTCB",199.00
"ID","POTCD",20.84
"ID","POTCP",35.00
"ID","POTCV",4.20
"IL","POICB",121108.00
"IL","POICD",20.75
"IL","POICP",20251.00
"IL","POICV",317.40
"IL","POTCB",121108.00
"IL","POTCD",20.75
"IL","POTCP",20251.00
"IL","POTCV",317.40
"IN","POICB",70420.00
"IN","POICD",4.97
"IN","POICP",11811.00
"IN","POICV",101.00
"IN","POTCB",81474.00
"IN","POTCD",3.55
"IN","POTCP",13744.00
"IN","POTCV",111.50
"KS","POICB",36719.00
"KS","POICD",19.34
"KS","POICP",6078.00
"KS","POICV",25.40
"KS","POTCB",36719.00
"KS","POTCD",19.34
"KS","POTCP",6078.00
"KS","POTCV",25.40
"KY","POICB",63205.00
"KY","POICD",5.28
"KY","POICP",10772.00
"KY","POICV",173.00
"KY","POTCB",73745.00
"KY","POTCD",4.40
"KY","POTCP",12615.00
"KY","POTCV",190.70
"LA","POICB",714909.00
"LA","POICD",13.01
"LA","POICP",122497.00
"LA","POICV",4248.80
"LA","POTCB",757545.00
"LA","POTCD",11.71
"LA","POTCP",129952.00
"LA","POTCV",4325.30
"MA","POICB",2737.00
"MA","POICD",20.19
"MA","POICP",500.00
"MA","POICV",55.20
"MA","POTCB",2737.00
"MA","POTCD",20.19
"MA","POTCP",500.00
"MA","POTCV",55.20
"MD","POICB",3166.00
"MD","POICD",21.43
"MD","POICP",597.00
"MD","POICV",67.80
"MD","POTCB",3166.00
"MD","POTCD",21.43
"MD","POTCP",597.00
"MD","POTCV",67.80
"ME","POICB",0.00
"ME","POICD",0.00
"ME","POICP",0.00
"ME","POICV",0.00
"ME","POTCB",0.00
"ME","POTCD",0.00
"ME","POTCP",0.00
"ME","POTCV",0.00
"MI","POICB",29294.00
"MI","POICD",11.61
"MI","POICP",5062.00
"MI","POICV",180.70
"MI","POTCB",37717.00
"MI","POTCD",8.15
"MI","POTCP",6535.00
"MI","POTCV",195.50
"MN","POICB",41397.00
"MN","POICD",22.97
"MN","POICP",6863.00
"MN","POICV",39.80
"MN","POTCB",41397.00
"MN","POTCD",22.97
"MN","POTCP",6863.00
"MN","POTCV",39.80
"MO","POICB",19860.00
"MO","POICD",6.49
"MO","POICP",3520.00
"MO","POICV",128.90
"MO","POTCB",19860.00
"MO","POTCD",6.49
"MO","POTCP",3520.00
"MO","POTCV",128.90
"MS","POICB",36992.00
"MS","POICD",21.85
"MS","POICP",6130.00
"MS","POICV",20.00
"MS","POTCB",36992.00
"MS","POTCD",21.85
"MS","POTCP",6130.00
"MS","POTCV",20.00
"MT","POICB",23650.00
"MT","POICD",0.00
"MT","POICP",3887.00
"MT","POICV",0.00
"MT","POTCB",31986.00
"MT","POTCD",1.80
"MT","POTCP",5344.00
"MT","POTCV",15.00
"NC","POICB",6765.00
"NC","POICD",20.13
"NC","POICP",1235.00
"NC","POICV",136.20
"NC","POTCB",6765.00
"NC","POTCD",20.13
"NC","POTCP",1235.00
"NC","POTCV",136.20
"ND","POICB",9887.00
"ND","POICD",0.00
"ND","POICP",1630.00
"ND","POICV",0.00
"ND","POTCB",9887.00
"ND","POTCD",0.00
"ND","POTCP",1630.00
"ND","POTCV",0.00
"NE","POICB",626.00
"NE","POICD",17.53
"NE","POICP",109.00
"NE","POICV",11.00
"NE","POTCB",626.00
"NE","POTCD",17.53
"NE","POTCP",109.00
"NE","POTCV",11.00
"NH","POICB",393.00
"NH","POICD",21.80
"NH","POICP",75.00
"NH","POICV",8.60
"NH","POTCB",393.00
"NH","POTCD",21.80
"NH","POTCP",75.00
"NH","POTCV",8.60
"NJ","POICB",67697.00
"NJ","POICD",17.55
"NJ","POICP",11222.00
"NJ","POICV",153.20
"NJ","POTCB",67697.00
