"State","MSN","2015"
"AK","RFACB",0.00
"AK","RFACD",0.00
"AK","RFACP",0.00
"AK","RFACV",0.00
"AK","RFCCB",0.00
"AK","RFCCD",0.00
"AK","RFCCP",0.00
"AK","RFCCV",0.00
"AK","RFEIB",731.00
"AK","RFEID",9.81
"AK","RFEIP",116.00
"AK","RFEIV",7.20
"AK","RFICB",0.00
"AK","RFICD",0.00
"AK","RFICP",0.00
"AK","RFICV",0.00
"AK","RFTCB",731.00
"AK","RFTCD",9.81
"AK","RFTCP",116.00
"AK","RFTCV",7.20
"AL","RFACB",3385.00
"AL","RFACD",6.12
"AL","RFACP",538.00
"AL","RFACV",20.70
"AL","RFCCB",0.00
"AL","RFCCD",0.00
"AL","RFCCP",0.00
"AL","RFCCV",0.00
"AL","RFEIB",0.00
"AL","RFEID",0.00
"AL","RFEIP",0.00
"AL","RFEIV",0.00
"AL","RFICB",3459.00
"AL","RFICD",10.08
"AL","RFICP",550.00
"AL","RFICV",34.90
"AL","RFTCB",6843.00
"AL","RFTCD",8.12
"AL","RFTCP",1088.00
"AL","RFTCV",55.60
"AR","RFACB",0.00
"AR","RFACD",0.00
"AR","RFACP",0.00
"AR","RFACV",0.00
"AR","RFCCB",0.00
"AR","RFCCD",0.00
"AR","RFCCP",0.00
"AR","RFCCV",0.00
"AR","RFEIB",4.00
"AR","RFEID",10.34
"AR","RFEIP",1.00
"AR","RFEIV",0.00
"AR","RFICB",8.00
"AR","RFICD",10.32
"AR","RFICP",1.00
"AR","RFICV",0.10
"AR","RFTCB",12.00
"AR","RFTCD",10.33
"AR","RFTCP",2.00
"AR","RFTCV",0.10
"AZ","RFACB",0.00
"AZ","RFACD",0.00
"AZ","RFACP",0.00
"AZ","RFACV",0.00
"AZ","RFCCB",0.00
"AZ","RFCCD",0.00
"AZ","RFCCP",0.00
"AZ","RFCCV",0.00
"AZ","RFEIB",0.00
"AZ","RFEID",0.00
"AZ","RFEIP",0.00
"AZ","RFEIV",0.00
"AZ","RFICB",0.00
"AZ","RFICD",0.00
"AZ","RFICP",0.00
"AZ","RFICV",0.00
"AZ","RFTCB",0.00
"AZ","RFTCD",0.00
"AZ","RFTCP",0.00
"AZ","RFTCV",0.00
"CA","RFACB",116367.00
"CA","RFACD",11.63
"CA","RFACP",18509.00
"CA","RFACV",1353.40
"CA","RFCCB",4.00
"CA","RFCCD",8.31
"CA","RFCCP",1.00
"CA","RFCCV",0.00
"CA","RFEIB",4.00
"CA","RFEID",12.76
"CA","RFEIP",1.00
"CA","RFEIV",0.00
"CA","RFICB",290.00
"CA","RFICD",8.31
"CA","RFICP",46.00
"CA","RFICV",0.00
"CA","RFTCB",116664.00
"CA","RFTCD",11.63
"CA","RFTCP",18556.00
"CA","RFTCV",1353.50
"CO","RFACB",0.00
"CO","RFACD",0.00
"CO","RFACP",0.00
"CO","RFACV",0.00
"CO","RFCCB",0.00
"CO","RFCCD",0.00
"CO","RFCCP",0.00
"CO","RFCCV",0.00
"CO","RFEIB",0.00
"CO","RFEID",0.00
"CO","RFEIP",0.00
"CO","RFEIV",0.00
"CO","RFICB",0.00
"CO","RFICD",0.00
"CO","RFICP",0.00
"CO","RFICV",0.00
"CO","RFTCB",0.00
"CO","RFTCD",0.00
"CO","RFTCP",0.00
"CO","RFTCV",0.00
"CT","RFACB",0.00
"CT","RFACD",0.00
"CT","RFACP",0.00
"CT","RFACV",0.00
"CT","RFCCB",182.00
"CT","RFCCD",10.33
"CT","RFCCP",29.00
"CT","RFCCV",1.90
"CT","RFEIB",2463.00
"CT","RFEID",8.98
"CT","RFEIP",392.00
"CT","RFEIV",22.10
"CT","RFICB",41.00
"CT","RFICD",10.33
"CT","RFICP",7.00
"CT","RFICV",0.40
"CT","RFTCB",2687.00
"CT","RFTCD",9.09
"CT","RFTCP",427.00
"CT","RFTCV",24.40
"DC","RFACB",0.00
"DC","RFACD",0.00
"DC","RFACP",0.00
