"State","MSN","2014"
"AK","SOCCB",0.00
"AK","SOEGB",0.00
"AK","SOEGP",0.00
"AK","SOHCB",10.00
"AK","SOICB",0.00
"AK","SOTCB",10.00
"AL","SOCCB",0.00
"AL","SOEGB",0.00
"AL","SOEGP",0.00
"AL","SOHCB",151.00
"AL","SOICB",0.00
"AL","SOTCB",151.00
"AR","SOCCB",0.00
"AR","SOEGB",0.00
"AR","SOEGP",0.00
"AR","SOHCB",148.00
"AR","SOICB",0.00
"AR","SOTCB",148.00
"AZ","SOCCB",224.00
"AZ","SOEGB",29651.00
"AZ","SOEGP",3118.00
"AZ","SOHCB",16994.00
"AZ","SOICB",0.00
"AZ","SOTCB",46869.00
"CA","SOCCB",883.00
"CA","SOEGB",93525.00
"CA","SOEGP",9834.00
"CA","SOHCB",85836.00
"CA","SOICB",44.00
"CA","SOTCB",180287.00
"CO","SOCCB",119.00
"CO","SOEGB",2288.00
"CO","SOEGP",241.00
"CO","SOHCB",5175.00
"CO","SOICB",0.00
"CO","SOTCB",7582.00
"CT","SOCCB",0.00
"CT","SOEGB",111.00
"CT","SOEGP",12.00
"CT","SOHCB",3580.00
"CT","SOICB",0.00
"CT","SOTCB",3691.00
"DC","SOCCB",0.00
"DC","SOEGB",0.00
"DC","SOEGP",0.00
"DC","SOHCB",307.00
"DC","SOICB",0.00
"DC","SOTCB",307.00
"DE","SOCCB",16.00
"DE","SOEGB",455.00
"DE","SOEGP",48.00
"DE","SOHCB",697.00
"DE","SOICB",0.00
"DE","SOTCB",1168.00
"FL","SOCCB",16.00
"FL","SOEGB",2282.00
"FL","SOEGP",240.00
"FL","SOHCB",49290.00
"FL","SOICB",0.00
"FL","SOTCB",51589.00
"GA","SOCCB",26.00
"GA","SOEGB",1108.00
"GA","SOEGP",116.00
"GA","SOHCB",1195.00
"GA","SOICB",0.00
"GA","SOTCB",2329.00
"HI","SOCCB",0.00
"HI","SOEGB",373.00
"HI","SOEGP",39.00
"HI","SOHCB",10277.00
"HI","SOICB",0.00
"HI","SOTCB",10650.00
"IA","SOCCB",0.00
"IA","SOEGB",0.00
"IA","SOEGP",0.00
"IA","SOHCB",380.00
"IA","SOICB",0.00
"IA","SOTCB",380.00
"ID","SOCCB",0.00
"ID","SOEGB",0.00
"ID","SOEGP",0.00
"ID","SOHCB",70.00
"ID","SOICB",0.00
"ID","SOTCB",70.00
"IL","SOCCB",0.00
"IL","SOEGB",477.00
"IL","SOEGP",50.00
"IL","SOHCB",2626.00
"IL","SOICB",0.00
"IL","SOTCB",3102.00
"IN","SOCCB",0.00
"IN","SOEGB",971.00
"IN","SOEGP",102.00
"IN","SOHCB",403.00
"IN","SOICB",0.00
"IN","SOTCB",1374.00
"KS","SOCCB",0.00
"KS","SOEGB",0.00
"KS","SOEGP",0.00
"KS","SOHCB",67.00
"KS","SOICB",0.00
"KS","SOTCB",67.00
"KY","SOCCB",0.00
"KY","SOEGB",0.00
"KY","SOEGP",0.00
"KY","SOHCB",189.00
"KY","SOICB",0.00
"KY","SOTCB",189.00
"LA","SOCCB",0.00
"LA","SOEGB",0.00
"LA","SOEGP",0.00
"LA","SOHCB",1496.00
"LA","SOICB",0.00
"LA","SOTCB",1496.00
"MA","SOCCB",47.00
"MA","SOEGB",2866.00
"MA","SOEGP",301.00
"MA","SOHCB",11447.00
"MA","SOICB",0.00
"MA","SOTCB",14360.00
"MD","SOCCB",34.00
"MD","SOEGB",899.00
"MD","SOEGP",95.00
