"State","MSN","2014"
"AK","WDRCB",2470.00
"AK","WDRCD",16.31
"AK","WDRCP",123.00
"AK","WDRCV",17.00
"AK","WWCCB",839.00
"AK","WWCCD",4.23
"AK","WWCCV",2.80
"AK","WWEIB",0.00
"AK","WWEID",0.00
"AK","WWEIV",0.00
"AK","WWICB",154.00
"AK","WWICD",1.74
"AK","WWICV",0.20
"AK","WWTCB",3463.00
"AK","WWTCD",10.91
"AK","WWTCV",20.00
"AL","WDRCB",7671.00
"AL","WDRCD",12.12
"AL","WDRCP",384.00
"AL","WDRCV",36.30
"AL","WWCCB",908.00
"AL","WWCCD",12.12
"AL","WWCCV",4.30
"AL","WWEIB",5041.00
"AL","WWEID",2.70
"AL","WWEIV",13.60
"AL","WWICB",150810.00
"AL","WWICD",3.24
"AL","WWICV",443.80
"AL","WWTCB",164430.00
"AL","WWTCD",3.43
"AL","WWTCV",498.00
"AR","WDRCB",11025.00
"AR","WDRCD",12.12
"AR","WDRCP",551.00
"AR","WDRCV",52.20
"AR","WWCCB",1345.00
"AR","WWCCD",11.35
"AR","WWCCV",6.20
"AR","WWEIB",2640.00
"AR","WWEID",2.70
"AR","WWEIV",7.10
"AR","WWICB",68734.00
"AR","WWICD",3.23
"AR","WWICV",200.80
"AR","WWTCB",83744.00
"AR","WWTCD",3.82
"AR","WWTCV",266.50
"AZ","WDRCB",3298.00
"AZ","WDRCD",16.31
"AZ","WDRCP",165.00
"AZ","WDRCV",22.60
"AZ","WWCCB",391.00
"AZ","WWCCD",16.31
"AZ","WWCCV",2.70
"AZ","WWEIB",3604.00
"AZ","WWEID",2.70
"AZ","WWEIV",9.70
"AZ","WWICB",152.00
"AZ","WWICD",2.41
"AZ","WWICV",0.20
"AZ","WWTCB",7445.00
"AZ","WWTCD",6.73
"AZ","WWTCV",35.30
"CA","WDRCB",42908.00
"CA","WDRCD",16.31
"CA","WDRCP",2145.00
"CA","WDRCV",294.60
"CA","WWCCB",17115.00
"CA","WWCCD",3.75
"CA","WWCCV",53.10
"CA","WWEIB",78215.00
"CA","WWEID",2.70
"CA","WWEIV",211.30
"CA","WWICB",24228.00
"CA","WWICD",3.01
"CA","WWICV",56.70
"CA","WWTCB",162466.00
"CA","WWTCD",4.76
"CA","WWTCV",615.70
"CO","WDRCB",10714.00
"CO","WDRCD",16.31
"CO","WDRCP",536.00
"CO","WDRCV",73.60
"CO","WWCCB",1269.00
"CO","WWCCD",16.31
"CO","WWCCV",8.70
"CO","WWEIB",1827.00
"CO","WWEID",2.70
"CO","WWEIV",4.90
"CO","WWICB",234.00
"CO","WWICD",2.41
"CO","WWICV",0.30
"CO","WWTCB",14044.00
"CO","WWTCD",12.51
"CO","WWTCV",87.50
"CT","WDRCB",6786.00
"CT","WDRCD",9.71
"CT","WDRCP",339.00
"CT","WDRCV",39.90
"CT","WWCCB",1474.00
"CT","WWCCD",5.06
"CT","WWCCV",5.90
"CT","WWEIB",13106.00
"CT","WWEID",2.70
"CT","WWEIV",35.40
"CT","WWICB",2389.00
"CT","WWICD",2.63
"CT","WWICV",1.20
"CT","WWTCB",23756.00
"CT","WWTCD",4.38
"CT","WWTCV",82.40
"DC","WDRCB",28.00
"DC","WDRCD",12.12
"DC","WDRCP",1.00
"DC","WDRCV",0.10
"DC","WWCCB",3.00
"DC","WWCCD",12.12
"DC","WWCCV",0.00
"DC","WWEIB",0.00
"DC","WWEID",0.00
"DC","WWEIV",0.00
"DC","WWICB",0.00
"DC","WWICD",0.00
"DC","WWICV",0.00
"DC","WWTCB",31.00
"DC","WWTCD",12.12
"DC","WWTCV",0.10
"DE","WDRCB",1494.00
"DE","WDRCD",12.12
"DE","WDRCP",75.00
"DE","WDRCV",7.10
"DE","WWCCB",177.00
"DE","WWCCD",12.12
"DE","WWCCV",0.80
"DE","WWEIB",681.00
"DE","WWEID",2.70
"DE","WWEIV",1.80
"DE","WWICB",192.00
"DE","WWICD",1.56
"DE","WWICV",0.30
"DE","WWTCB",2543.00
"DE","WWTCD",6.62
"DE","WWTCV",10.00
"FL","WDRCB",16787.00
"FL","WDRCD",12.12
"FL","WDRCP",839.00
"FL","WDRCV",79.50
"FL","WWCCB",2482.00
"FL","WWCCD",8.00
"FL","WWCCV",10.20
"FL","WWEIB",57709.00
"FL","WWEID",2.70
"FL","WWEIV",155.90
"FL","WWICB",107975.00
"FL","WWICD",2.93
"FL","WWICV",300.00
"FL","WWTCB",184953.00
"FL","WWTCD",3.25
"FL","WWTCV",545.70
"GA","WDRCB",13999.00
"GA","WDRCD",12.12
"GA","WDRCP",700.00
"GA","WDRCV",66.30
"GA","WWCCB",1922.00
"GA","WWCCD",9.05
"GA","WWCCV",8.30
"GA","WWEIB",8752.00
"GA","WWEID",2.70
"GA","WWEIV",23.60
"GA","WWICB",186533.00
"GA","WWICD",3.02
"GA","WWICV",519.80
"GA","WWTCB",211206.00
"GA","WWTCD",3.30
"GA","WWTCV",618.00
"HI","WDRCB",393.00
"HI","WDRCD",16.31
"HI","WDRCP",20.00
"HI","WDRCV",2.70
"HI","WWCCB",3293.00
"HI","WWCCD",1.60
"HI","WWCCV",5.20
"HI","WWEIB",609.00
"HI","WWEID",2.70
"HI","WWEIV",1.60
"HI","WWICB",3402.00
"HI","WWICD",1.51
"HI","WWICV",5.10
"HI","WWTCB",7697.00
"HI","WWTCD",1.98
"HI","WWTCV",14.70
"IA","WDRCB",6368.00
"IA","WDRCD",12.24
"IA","WDRCP",318.00
"IA","WDRCV",24.60
"IA","WWCCB",1435.00
"IA","WWCCD",4.46
"IA","WWCCV",4.10
"IA","WWEIB",1704.00
"IA","WWEID",2.70
"IA","WWEIV",4.60
"IA","WWICB",12200.00
"IA","WWICD",1.78
"IA","WWICV",6.10
"IA","WWTCB",21708.00
"IA","WWTCD",4.88
"IA","WWTCV",39.50
"ID","WDRCB",4444.00
"ID","WDRCD",16.31
"ID","WDRCP",222.00
"ID","WDRCV",30.50
"ID","WWCCB",586.00
"ID","WWCCD",13.16
"ID","WWCCV",3.70
"ID","WWEIB",9263.00
"ID","WWEID",2.70
"ID","WWEIV",25.00
"ID","WWICB",17510.00
"ID","WWICD",3.22
"ID","WWICV",55.30
"ID","WWTCB",31803.00
"ID","WWTCD",4.00
"ID","WWTCV",114.60
"IL","WDRCB",16114.00
"IL","WDRCD",12.24
"IL","WDRCP",806.00
"IL","WDRCV",62.30
"IL","WWCCB",1908.00
"IL","WWCCD",12.24
"IL","WWCCV",7.40
"IL","WWEIB",8148.00
"IL","WWEID",2.70
"IL","WWEIV",22.00
"IL","WWICB",4135.00
"IL","WWICD",2.23
"IL","WWICV",1.60
"IL","WWTCB",30304.00
"IL","WWTCD",6.41
"IL","WWTCV",93.40
"IN","WDRCB",13945.00
"IN","WDRCD",12.24
"IN","WDRCP",697.00
"IN","WDRCV",54.00
"IN","WWCCB",4647.00
"IN","WWCCD",3.10
"IN","WWCCV",10.90
"IN","WWEIB",3746.00
"IN","WWEID",0.65
"IN","WWEIV",2.40
"IN","WWICB",10340.00
"IN","WWICD",2.02
"IN","WWICV",4.30
"IN","WWTCB",32678.00
"IN","WWTCD",5.19
"IN","WWTCV",71.60
"KS","WDRCB",5197.00
"KS","WDRCD",12.24
"KS","WDRCP",260.00
"KS","WDRCV",20.10
"KS","WWCCB",615.00
"KS","WWCCD",12.24
"KS","WWCCV",2.40
"KS","WWEIB",774.00
"KS","WWEID",2.70
"KS","WWEIV",2.10
"KS","WWICB",1847.00
"KS","WWICD",1.54
"KS","WWICV",2.70
"KS","WWTCB",8433.00
"KS","WWTCD",6.23
"KS","WWTCV",27.30
"KY","WDRCB",16132.00
"KY","WDRCD",12.12
"KY","WDRCP",807.00
"KY","WDRCV",76.40
"KY","WWCCB",1910.00
"KY","WWCCD",12.12
"KY","WWCCV",9.10
"KY","WWEIB",1148.00
"KY","WWEID",0.48
"KY","WWEIV",0.60
"KY","WWICB",18266.00
"KY","WWICD",3.22
"KY","WWICV",48.50
"KY","WWTCB",37456.00
"KY","WWTCD",5.78
"KY","WWTCV",134.50
"LA","WDRCB",2713.00
"LA","WDRCD",12.12
"LA","WDRCP",136.00
"LA","WDRCV",12.90
"LA","WWCCB",321.00
"LA","WWCCD",12.12
"LA","WWCCV",1.50
"LA","WWEIB",1397.00
"LA","WWEID",2.70
"LA","WWEIV",3.80
"LA","WWICB",124556.00
"LA","WWICD",3.16
"LA","WWICV",357.70
"LA","WWTCB",128987.00
"LA","WWTCD",3.25
"LA","WWTCV",375.80
"MA","WDRCB",11744.00
"MA","WDRCD",9.71
"MA","WDRCP",587.00
"MA","WDRCV",69.10
"MA","WWCCB",1399.00
"MA","WWCCD",9.63
"MA","WWCCV",8.20
"MA","WWEIB",20832.00
"MA","WWEID",2.70
"MA","WWEIV",56.30
"MA","WWICB",4419.00
"MA","WWICD",2.15
"MA","WWICV",2.80
"MA","WWTCB",38394.00
"MA","WWTCD",4.53
"MA","WWTCV",136.40
"MD","WDRCB",11488.00
"MD","WDRCD",12.12
"MD","WDRCP",574.00
"MD","WDRCV",54.40
"MD","WWCCB",2953.00
"MD","WWCCD",4.97
"MD","WWCCV",10.60
"MD","WWEIB",7862.00
"MD","WWEID",2.70
"MD","WWEIV",21.20
"MD","WWICB",8205.00
"MD","WWICD",3.23
"MD","WWICV",23.80
"MD","WWTCB",30508.00
"MD","WWTCD",5.04
"MD","WWTCV",110.00
"ME","WDRCB",16446.00
"ME","WDRCD",9.71
"ME","WDRCP",822.00
"ME","WDRCV",96.80
"ME","WWCCB",3620.00
"ME","WWCCD",4.93
"ME","WWCCV",14.10
"ME","WWEIB",28062.00
"ME","WWEID",2.70
"ME","WWEIV",75.80
"ME","WWICB",57817.00
"ME","WWICD",3.22
"ME","WWICV",166.60
"ME","WWTCB",105945.00
"ME","WWTCD",3.82
"ME","WWTCV",353.30
"MI","WDRCB",21473.00
"MI","WDRCD",12.24
"MI","WDRCP",1074.00
"MI","WDRCV",83.10
"MI","WWCCB",7427.00
"MI","WWCCD",3.04
"MI","WWCCV",17.30
"MI","WWEIB",24726.00
"MI","WWEID",2.70
"MI","WWEIV",66.80
"MI","WWICB",43044.00
"MI","WWICD",3.04
"MI","WWICV",93.90
"MI","WWTCB",96670.00
"MI","WWTCD",3.83
"MI","WWTCV",261.10
"MN","WDRCB",16129.00
"MN","WDRCD",12.24
"MN","WDRCP",806.00
"MN","WDRCV",62.40
"MN","WWCCB",5104.00
"MN","WWCCD",4.36
"MN","WWCCV",16.60
"MN","WWEIB",22132.00
"MN","WWEID",1.99
"MN","WWEIV",43.90
"MN","WWICB",31992.00
"MN","WWICD",3.18
"MN","WWICV",80.80
"MN","WWTCB",75357.00
"MN","WWTCD",3.61
"MN","WWTCV",203.70
"MO","WDRCB",30063.00
"MO","WDRCD",12.24
"MO","WDRCP",1503.00
"MO","WDRCV",116.30
"MO","WWCCB",4381.00
"MO","WWCCD",8.46
"MO","WWCCV",16.50
"MO","WWEIB",898.00
"MO","WWEID",1.13
"MO","WWEIV",1.00
"MO","WWICB",1819.00
"MO","WWICD",2.02
"MO","WWICV",0.80
"MO","WWTCB",37161.00
"MO","WWTCD",10.57
"MO","WWTCV",134.60
"MS","WDRCB",6343.00
"MS","WDRCD",12.12
"MS","WDRCP",317.00
"MS","WDRCV",30.10
"MS","WWCCB",751.00
"MS","WWCCD",12.12
"MS","WWCCV",3.60
"MS","WWEIB",135.00
"MS","WWEID",2.70
"MS","WWEIV",0.40
"MS","WWICB",50348.00
"MS","WWICD",3.24
"MS","WWICV",151.90
"MS","WWTCB",57577.00
"MS","WWTCD",3.73
"MS","WWTCV",185.80
"MT","WDRCB",3660.00
"MT","WDRCD",16.31
"MT","WDRCP",183.00
"MT","WDRCV",25.10
