"State","MSN","2014"
"AK","WYCCB",0.00
"AK","WYCCP",0.00
"AK","WYEGB",1445.00
"AK","WYEGP",152.00
"AK","WYICB",0.00
"AK","WYICP",0.00
"AK","WYTCB",1445.00
"AK","WYTCP",152.00
"AL","WYCCB",0.00
"AL","WYCCP",0.00
"AL","WYEGB",0.00
"AL","WYEGP",0.00
"AL","WYICB",0.00
"AL","WYICP",0.00
"AL","WYTCB",0.00
"AL","WYTCP",0.00
"AR","WYCCB",0.00
"AR","WYCCP",0.00
"AR","WYEGB",0.00
"AR","WYEGP",0.00
"AR","WYICB",0.00
"AR","WYICP",0.00
"AR","WYTCB",0.00
"AR","WYTCP",0.00
"AZ","WYCCB",0.00
"AZ","WYCCP",0.00
"AZ","WYEGB",4452.00
"AZ","WYEGP",468.00
"AZ","WYICB",0.00
"AZ","WYICP",0.00
"AZ","WYTCB",4452.00
"AZ","WYTCP",468.00
"CA","WYCCB",31.00
"CA","WYCCP",3.00
"CA","WYEGB",123512.00
"CA","WYEGP",12988.00
"CA","WYICB",16.00
"CA","WYICP",2.00
"CA","WYTCB",123559.00
"CA","WYTCP",12992.00
"CO","WYCCB",2.00
"CO","WYCCP",0.00
"CO","WYEGB",70041.00
"CO","WYEGP",7365.00
"CO","WYICB",32.00
"CO","WYICP",3.00
"CO","WYTCB",70076.00
"CO","WYTCP",7369.00
"CT","WYCCB",0.00
"CT","WYCCP",0.00
"CT","WYEGB",0.00
"CT","WYEGP",0.00
"CT","WYICB",0.00
"CT","WYICP",0.00
"CT","WYTCB",0.00
"CT","WYTCP",0.00
"DC","WYCCB",0.00
"DC","WYCCP",0.00
"DC","WYEGB",0.00
"DC","WYEGP",0.00
"DC","WYICB",0.00
"DC","WYICP",0.00
"DC","WYTCB",0.00
"DC","WYTCP",0.00
"DE","WYCCB",48.00
"DE","WYCCP",5.00
"DE","WYEGB",0.00
"DE","WYEGP",0.00
"DE","WYICB",0.00
"DE","WYICP",0.00
"DE","WYTCB",48.00
"DE","WYTCP",5.00
"FL","WYCCB",0.00
"FL","WYCCP",0.00
"FL","WYEGB",0.00
"FL","WYEGP",0.00
"FL","WYICB",0.00
"FL","WYICP",0.00
"FL","WYTCB",0.00
"FL","WYTCP",0.00
"GA","WYCCB",0.00
"GA","WYCCP",0.00
"GA","WYEGB",0.00
"GA","WYEGP",0.00
"GA","WYICB",0.00
"GA","WYICP",0.00
"GA","WYTCB",0.00
"GA","WYTCP",0.00
"HI","WYCCB",0.00
"HI","WYCCP",0.00
"HI","WYEGB",5503.00
"HI","WYEGP",579.00
"HI","WYICB",0.00
"HI","WYICP",0.00
"HI","WYTCB",5503.00
"HI","WYTCP",579.00
"IA","WYCCB",34.00
"IA","WYCCP",4.00
"IA","WYEGB",155044.00
"IA","WYEGP",16303.00
"IA","WYICB",0.00
"IA","WYICP",0.00
"IA","WYTCB",155077.00
"IA","WYTCP",16307.00
"ID","WYCCB",0.00
"ID","WYCCP",0.00
"ID","WYEGB",26683.00
"ID","WYEGP",2806.00
"ID","WYICB",0.00
"ID","WYICP",0.00
"ID","WYTCB",26683.00
"ID","WYTCP",2806.00
"IL","WYCCB",37.00
"IL","WYCCP",4.00
"IL","WYEGB",95851.00
"IL","WYEGP",10079.00
"IL","WYICB",0.00
"IL","WYICP",0.00
"IL","WYTCB",95888.00
"IL","WYTCP",10083.00
"IN","WYCCB",11.00
"IN","WYCCP",1.00
"IN","WYEGB",33237.00
"IN","WYEGP",3495.00
"IN","WYICB",0.00
"IN","WYICP",0.00
"IN","WYTCB",33247.00
"IN","WYTCP",3496.00
