"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","AK","ARICD"," .57"," .81"," .82"," .85"," 1.74"," 1.8"," 1.62"," 1.74"," 1.93"," 2.44"," 3.62"," 4.44"," 4"," 4.19"," 4.3"," 4.47"," 4.49"," 4.25"," 3.93"," 3.19"," 3.14"," 3.28"," 2.8"," 2.95"," 3.13"," 3.21"," 3.39"," 3.46"," 3.59"," 3.55"," 3.45"," 3.75"," 3.83"," 4.2"," 4.7"," 5"," 5.62"," 6.63"," 6.86"," 13.37"," 13.56"," 15.73"," 17.66"," 16.96"," 16.33"
"2014F","AK","ARICV"," 1"," 1.6"," 1.8"," 1.4"," 2.9"," 3.8"," 3.4"," 4.2"," 4"," 3.4"," 7.4"," 7.8"," 9.8"," 9.6"," 12.5"," 14.4"," 11.1"," 7.2"," 18.2"," 5.8"," 5.6"," 5.6"," 4.9"," .8"," 1.4"," 1.8"," .6"," 1.3"," 1.5"," 3.1"," 7.1"," 38.3"," 9.2"," 1.7"," 8.4"," 6.2"," 1.8"," 6.1"," 3.7"," 136.3"," 171.4"," 234.9"," 253.3"," 216.5"," 201.4"
"2014F","AK","ARTCD"," .57"," .81"," .82"," .85"," 1.74"," 1.8"," 1.62"," 1.74"," 1.93"," 2.44"," 3.62"," 4.44"," 4"," 4.19"," 4.3"," 4.47"," 4.49"," 4.25"," 3.93"," 3.19"," 3.14"," 3.28"," 2.8"," 2.95"," 3.13"," 3.21"," 3.39"," 3.46"," 3.59"," 3.55"," 3.45"," 3.75"," 3.83"," 4.2"," 4.7"," 5"," 5.62"," 6.63"," 6.86"," 13.37"," 13.56"," 15.73"," 17.66"," 16.96"," 16.33"
"2014F","AK","ARTCV"," 1"," 1.6"," 1.8"," 1.4"," 2.9"," 3.8"," 3.4"," 4.2"," 4"," 3.4"," 7.4"," 7.8"," 9.8"," 9.6"," 12.5"," 14.4"," 11.1"," 7.2"," 18.2"," 5.8"," 5.6"," 5.6"," 4.9"," .8"," 1.4"," 1.8"," .6"," 1.3"," 1.5"," 3.1"," 7.1"," 38.3"," 9.2"," 1.7"," 8.4"," 6.2"," 1.8"," 6.1"," 3.7"," 136.3"," 171.4"," 234.9"," 253.3"," 216.5"," 201.4"
"2014F","AK","ARTXD"," .57"," .81"," .82"," .85"," 1.74"," 1.8"," 1.62"," 1.74"," 1.93"," 2.44"," 3.62"," 4.44"," 4"," 4.19"," 4.3"," 4.47"," 4.49"," 4.25"," 3.93"," 3.19"," 3.14"," 3.28"," 2.8"," 2.95"," 3.13"," 3.21"," 3.39"," 3.46"," 3.59"," 3.55"," 3.45"," 3.75"," 3.83"," 4.2"," 4.7"," 5"," 5.62"," 6.63"," 6.86"," 13.37"," 13.56"," 15.73"," 17.66"," 16.96"," 16.33"
"2014F","AK","ARTXV"," 1"," 1.6"," 1.8"," 1.4"," 2.9"," 3.8"," 3.4"," 4.2"," 4"," 3.4"," 7.4"," 7.8"," 9.8"," 9.6"," 12.5"," 14.4"," 11.1"," 7.2"," 18.2"," 5.8"," 5.6"," 5.6"," 4.9"," .8"," 1.4"," 1.8"," .6"," 1.3"," 1.5"," 3.1"," 7.1"," 38.3"," 9.2"," 1.7"," 8.4"," 6.2"," 1.8"," 6.1"," 3.7"," 136.3"," 171.4"," 234.9"," 253.3"," 216.5"," 201.4"
"2014F","AK","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","AK","AVACV"," 5.1"," 4.2"," 4.3"," 4.7"," 7.8"," 8.1"," 6.9"," 8.6"," 9.5"," 12.5"," 22.7"," 27.6"," 20.3"," 19.8"," 20.3"," 24.7"," 26.2"," 7.9"," 15.2"," 20.5"," 23.1"," 27.2"," 19.8"," 17.1"," 6.9"," 16.4"," 6.6"," 19.3"," 6.2"," 23.5"," 28.6"," 13.6"," 9.7"," 9.8"," 13.9"," 26"," 28.2"," 29.6"," 27.5"," 22.2"," 21.5"," 25.3"," 25.6"," 22.9"," 21.9"
"2014F","AK","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","AK","AVTCV"," 5.1"," 4.2"," 4.3"," 4.7"," 7.8"," 8.1"," 6.9"," 8.6"," 9.5"," 12.5"," 22.7"," 27.6"," 20.3"," 19.8"," 20.3"," 24.7"," 26.2"," 7.9"," 15.2"," 20.5"," 23.1"," 27.2"," 19.8"," 17.1"," 6.9"," 16.4"," 6.6"," 19.3"," 6.2"," 23.5"," 28.6"," 13.6"," 9.7"," 9.8"," 13.9"," 26"," 28.2"," 29.6"," 27.5"," 22.2"," 21.5"," 25.3"," 25.6"," 22.9"," 21.9"
