"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","AL","ARICD"," .65"," .66"," .76"," .81"," 1.25"," 1.85"," 1.72"," 1.95"," 2.16"," 2.55"," 3.02"," 4.85"," 4.58"," 4.56"," 4.41"," 4.72"," 4.9"," 3.37"," 3.07"," 2.86"," 2.94"," 3.31"," 2.03"," 2.38"," 2.44"," 2.6"," 3.12"," 3.23"," 3.11"," 2.84"," 3.8"," 4.3"," 4.34"," 4.78"," 4.79"," 5.21"," 6.05"," 6.05"," 6.11"," 11.51"," 12.73"," 14.69"," 16.28"," 15.66"," 15.69"
"2014F","AL","ARICV"," 13.7"," 13.5"," 17"," 19.5"," 25.8"," 33.2"," 33.9"," 41.4"," 53.3"," 53.3"," 62.8"," 120.6"," 108.9"," 112.6"," 106"," 117.7"," 113.5"," 102"," 84.1"," 85"," 84.3"," 116"," 66.6"," 78.6"," 81.9"," 86.3"," 118.1"," 117.3"," 92"," 86.8"," 129.3"," 123.8"," 130.8"," 147.4"," 213.6"," 242.2"," 259.5"," 212.2"," 214.5"," 203.6"," 224.4"," 267"," 288.4"," 265.7"," 258.6"
"2014F","AL","ARTCD"," .65"," .66"," .76"," .81"," 1.25"," 1.85"," 1.72"," 1.95"," 2.16"," 2.55"," 3.02"," 4.85"," 4.58"," 4.56"," 4.41"," 4.72"," 4.9"," 3.37"," 3.07"," 2.86"," 2.94"," 3.31"," 2.03"," 2.38"," 2.44"," 2.6"," 3.12"," 3.23"," 3.11"," 2.84"," 3.8"," 4.3"," 4.34"," 4.78"," 4.79"," 5.21"," 6.05"," 6.05"," 6.11"," 11.51"," 12.73"," 14.69"," 16.28"," 15.66"," 15.69"
"2014F","AL","ARTCV"," 13.7"," 13.5"," 17"," 19.5"," 25.8"," 33.2"," 33.9"," 41.4"," 53.3"," 53.3"," 62.8"," 120.6"," 108.9"," 112.6"," 106"," 117.7"," 113.5"," 102"," 84.1"," 85"," 84.3"," 116"," 66.6"," 78.6"," 81.9"," 86.3"," 118.1"," 117.3"," 92"," 86.8"," 129.3"," 123.8"," 130.8"," 147.4"," 213.6"," 242.2"," 259.5"," 212.2"," 214.5"," 203.6"," 224.4"," 267"," 288.4"," 265.7"," 258.6"
"2014F","AL","ARTXD"," .65"," .66"," .76"," .81"," 1.25"," 1.85"," 1.72"," 1.95"," 2.16"," 2.55"," 3.02"," 4.85"," 4.58"," 4.56"," 4.41"," 4.72"," 4.9"," 3.37"," 3.07"," 2.86"," 2.94"," 3.31"," 2.03"," 2.38"," 2.44"," 2.6"," 3.12"," 3.23"," 3.11"," 2.84"," 3.8"," 4.3"," 4.34"," 4.78"," 4.79"," 5.21"," 6.05"," 6.05"," 6.11"," 11.51"," 12.73"," 14.69"," 16.28"," 15.66"," 15.69"
"2014F","AL","ARTXV"," 13.7"," 13.5"," 17"," 19.5"," 25.8"," 33.2"," 33.9"," 41.4"," 53.3"," 53.3"," 62.8"," 120.6"," 108.9"," 112.6"," 106"," 117.7"," 113.5"," 102"," 84.1"," 85"," 84.3"," 116"," 66.6"," 78.6"," 81.9"," 86.3"," 118.1"," 117.3"," 92"," 86.8"," 129.3"," 123.8"," 130.8"," 147.4"," 213.6"," 242.2"," 259.5"," 212.2"," 214.5"," 203.6"," 224.4"," 267"," 288.4"," 265.7"," 258.6"
"2014F","AL","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","AL","AVACV"," 3.8"," 4"," 4"," 3.9"," 5"," 4.3"," 4.2"," 4.9"," 5.2"," 6.8"," 11.3"," 12.4"," 9.5"," 9.3"," 8.9"," 8.7"," 8.7"," 5.4"," 5.9"," 5.5"," 5.4"," 4.8"," 4.6"," 4.3"," 4.4"," 4.1"," 4.4"," 4.9"," 3.4"," 4.5"," 4.5"," 4.6"," 2.9"," 4.7"," 5.9"," 7.2"," 13.2"," 13.9"," 8.3"," 4.7"," 9.5"," 11.1"," 11.1"," 8.4"," 9.5"
"2014F","AL","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","AL","AVTCV"," 3.8"," 4"," 4"," 3.9"," 5"," 4.3"," 4.2"," 4.9"," 5.2"," 6.8"," 11.3"," 12.4"," 9.5"," 9.3"," 8.9"," 8.7"," 8.7"," 5.4"," 5.9"," 5.5"," 5.4"," 4.8"," 4.6"," 4.3"," 4.4"," 4.1"," 4.4"," 4.9"," 3.4"," 4.5"," 4.5"," 4.6"," 2.9"," 4.7"," 5.9"," 7.2"," 13.2"," 13.9"," 8.3"," 4.7"," 9.5"," 11.1"," 11.1"," 8.4"," 9.5"
"2014F","AL","AVTXD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
