"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","AR","ARICD"," .68"," .73"," .77"," .82"," 1.39"," 1.81"," 1.85"," 2.01"," 2.21"," 2.58"," 3.58"," 4.77"," 4.12"," 4.28"," 4.23"," 4.21"," 4.62"," 3.33"," 3.27"," 2.9"," 3.01"," 3.22"," 2.23"," 2.7"," 2.72"," 2.92"," 3.11"," 3.17"," 3.25"," 3.59"," 3.66"," 3.77"," 3.79"," 4.13"," 4.52"," 4.93"," 5.37"," 5.7"," 5.96"," 10.62"," 12.39"," 14.43"," 15.81"," 15.14"," 15.29"
"2014F","AR","ARICV"," 9.4"," 11.5"," 12.4"," 14.1"," 22.5"," 27.4"," 30"," 33.4"," 39"," 55"," 65.9"," 66.8"," 52.3"," 52.1"," 21.3"," 35.3"," 30.1"," 22.5"," 29.8"," 15"," 9.9"," 11.4"," 17.4"," 26.1"," 19.2"," 24.1"," 20.1"," 21.3"," 18.5"," 24.4"," 24.7"," 22.2"," 65.6"," 49.6"," 26.5"," 15.5"," 47.6"," 46.7"," 13.8"," 84.8"," 136"," 209.1"," 169.9"," 155.9"," 191.2"
"2014F","AR","ARTCD"," .68"," .73"," .77"," .82"," 1.39"," 1.81"," 1.85"," 2.01"," 2.21"," 2.58"," 3.58"," 4.77"," 4.12"," 4.28"," 4.23"," 4.21"," 4.62"," 3.33"," 3.27"," 2.9"," 3.01"," 3.22"," 2.23"," 2.7"," 2.72"," 2.92"," 3.11"," 3.17"," 3.25"," 3.59"," 3.66"," 3.77"," 3.79"," 4.13"," 4.52"," 4.93"," 5.37"," 5.7"," 5.96"," 10.62"," 12.39"," 14.43"," 15.81"," 15.14"," 15.29"
"2014F","AR","ARTCV"," 9.4"," 11.5"," 12.4"," 14.1"," 22.5"," 27.4"," 30"," 33.4"," 39"," 55"," 65.9"," 66.8"," 52.3"," 52.1"," 21.3"," 35.3"," 30.1"," 22.5"," 29.8"," 15"," 9.9"," 11.4"," 17.4"," 26.1"," 19.2"," 24.1"," 20.1"," 21.3"," 18.5"," 24.4"," 24.7"," 22.2"," 65.6"," 49.6"," 26.5"," 15.5"," 47.6"," 46.7"," 13.8"," 84.8"," 136"," 209.1"," 169.9"," 155.9"," 191.2"
"2014F","AR","ARTXD"," .68"," .73"," .77"," .82"," 1.39"," 1.81"," 1.85"," 2.01"," 2.21"," 2.58"," 3.58"," 4.77"," 4.12"," 4.28"," 4.23"," 4.21"," 4.62"," 3.33"," 3.27"," 2.9"," 3.01"," 3.22"," 2.23"," 2.7"," 2.72"," 2.92"," 3.11"," 3.17"," 3.25"," 3.59"," 3.66"," 3.77"," 3.79"," 4.13"," 4.52"," 4.93"," 5.37"," 5.7"," 5.96"," 10.62"," 12.39"," 14.43"," 15.81"," 15.14"," 15.29"
"2014F","AR","ARTXV"," 9.4"," 11.5"," 12.4"," 14.1"," 22.5"," 27.4"," 30"," 33.4"," 39"," 55"," 65.9"," 66.8"," 52.3"," 52.1"," 21.3"," 35.3"," 30.1"," 22.5"," 29.8"," 15"," 9.9"," 11.4"," 17.4"," 26.1"," 19.2"," 24.1"," 20.1"," 21.3"," 18.5"," 24.4"," 24.7"," 22.2"," 65.6"," 49.6"," 26.5"," 15.5"," 47.6"," 46.7"," 13.8"," 84.8"," 136"," 209.1"," 169.9"," 155.9"," 191.2"
"2014F","AR","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","AR","AVACV"," 3.2"," 3.2"," 3.5"," 3.5"," 4.8"," 4.4"," 4.4"," 5.2"," 5.9"," 7.3"," 12.5"," 13.6"," 10.6"," 10.6"," 5.8"," 4.4"," 4.7"," 3.5"," 3.7"," 4.3"," 5.9"," 6.3"," 6.6"," 5.6"," 6.3"," 6"," 5.7"," 6.4"," 5"," 5.2"," 5.1"," 10.1"," 6.4"," 6.5"," 9.7"," 6.3"," 12.5"," 13.1"," 12"," 11.3"," 10.9"," 12.9"," 13.7"," 11.6"," 6.5"
"2014F","AR","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","AR","AVTCV"," 3.2"," 3.2"," 3.5"," 3.5"," 4.8"," 4.4"," 4.4"," 5.2"," 5.9"," 7.3"," 12.5"," 13.6"," 10.6"," 10.6"," 5.8"," 4.4"," 4.7"," 3.5"," 3.7"," 4.3"," 5.9"," 6.3"," 6.6"," 5.6"," 6.3"," 6"," 5.7"," 6.4"," 5"," 5.2"," 5.1"," 10.1"," 6.4"," 6.5"," 9.7"," 6.3"," 12.5"," 13.1"," 12"," 11.3"," 10.9"," 12.9"," 13.7"," 11.6"," 6.5"
"2014F","AR","AVTXD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","AR","AVTXV"," 3.2"," 3.2"," 3.5"," 3.5"," 4.8"," 4.4"," 4.4"," 5.2"," 5.9"," 7.3"," 12.5"," 13.6"," 10.6"," 10.6"," 5.8"," 4.4"," 4.7"," 3.5"," 3.7"," 4.3"," 5.9"," 6.3"," 6.6"," 5.6"," 6.3"," 6"," 5.7"," 6.4"," 5"," 5.2"," 5.1"," 10.1"," 6.4"," 6.5"," 9.7"," 6.3"," 12.5"," 13.1"," 12"," 11.3"," 10.9"," 12.9"," 13.7"," 11.6"," 6.5"
"2014F","AR","CLACD"," 0"," .42"," .46"," .64"," .91"," 1.22"," 1.47"," 1.34"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","AR","CLACV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","AR","CLCCD"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1.34"," 1.71"," 0"," 1.89"," 2.07"," 2.13"," 2.19"," 2.21"," 2.12"," 0"," 2.02"," 2.04"," 1.98"," 1.99"," 1.86"," 1.86"," 1.88"," 1.78"," 0"," 0"," 1.8"," 1.7"," 1.76"," 0"," 0"," 1.87"," 0"," 1.88"," 0"," 2.7"," 2.94"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","AR","CLCCV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," .1"," .1"," 0"," .2"," 0"," .1"," 0"," .2"," 0"," 0"," 0"," 0"," .1"," 0"," 0"," .1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," .1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","AR","CLEID"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1.14"," 1.34"," 1.55"," 1.74"," 1.72"," 1.81"," 1.58"," 1.56"," 1.55"," 1.58"," 1.63"," 1.61"," 1.6"," 1.65"," 1.7"," 1.6"," 1.61"," 1.5"," 1.64"," 1.47"," 1.46"," 1.42"," .87"," .84"," 1.2"," 1.23"," 1.46"," 1.47"," 1.6"," 1.72"," 1.67"," 1.71"," 1.91"," 2.25"," 2.4"," 2.4"
"2014F","AR","CLEIV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 16.2"," 27.7"," 40.3"," 145.8"," 205.3"," 289"," 281.2"," 334"," 338.9"," 317"," 337.7"," 321.8"," 333.3"," 333.9"," 353"," 327.9"," 342.3"," 369.8"," 378.3"," 393.2"," 364.5"," 377.2"," 366.6"," 230.1"," 204.6"," 291.1"," 319"," 347.7"," 364.1"," 425.2"," 463.1"," 429.6"," 489.5"," 574.1"," 655.4"," 771.5"," 802.6"
"2014F","AR","CLICD"," 0"," .42"," .46"," .64"," .91"," 1.22"," 1.47"," 1.34"," 1.71"," 1.59"," 1.89"," 2.07"," 2.13"," 2.19"," 2.21"," 2.12"," 2.04"," 2.02"," 2.04"," 1.98"," 1.99"," 1.86"," 1.86"," 1.88"," 1.78"," 1.82"," 1.8"," 1.8"," 1.7"," 1.76"," 1.71"," 1.78"," 1.87"," 1.9"," 1.88"," 2.44"," 2.7"," 2.94"," 3.4"," 3.59"," 2.9"," 3.25"," 3.49"," 3.53"," 3.35"
"2014F","AR","CLICV"," 0"," 0"," 0"," 1.4"," 2.4"," 1.1"," 5.3"," 6.9"," 11.3"," 11.7"," 12"," 15.9"," 15.8"," 20.4"," 18.6"," 17"," 15.8"," 13.6"," 11.7"," 11.8"," 11.6"," 12.7"," 13.2"," 14.6"," 15.3"," 14.1"," 15.1"," 12.5"," 11.9"," 14"," 16.4"," 19.4"," 19.5"," 19.2"," 19"," 22.7"," 24.5"," 28.8"," 32.5"," 26.6"," 21.1"," 18.1"," 18"," 17.9"," 18.3"
"2014F","AR","CLKCD"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","AR","CLKCV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","AR","CLOCD"," 0"," .42"," .46"," .64"," .91"," 1.22"," 1.47"," 1.34"," 1.71"," 1.59"," 1.89"," 2.07"," 2.13"," 2.19"," 2.21"," 2.12"," 2.04"," 2.02"," 2.04"," 1.98"," 1.99"," 1.86"," 1.86"," 1.88"," 1.78"," 1.82"," 1.8"," 1.8"," 1.7"," 1.76"," 1.71"," 1.78"," 1.87"," 1.9"," 1.88"," 2.44"," 2.7"," 2.94"," 3.4"," 3.59"," 2.9"," 3.25"," 3.49"," 3.53"," 3.35"
"2014F","AR","CLOCV"," 0"," 0"," 0"," 1.4"," 2.4"," 1.1"," 5.3"," 6.9"," 11.3"," 11.7"," 12"," 15.9"," 15.8"," 20.4"," 18.6"," 17"," 15.8"," 13.6"," 11.7"," 11.8"," 11.6"," 12.7"," 13.2"," 14.6"," 15.3"," 14.1"," 15.1"," 12.5"," 11.9"," 14"," 16.4"," 19.4"," 19.5"," 19.2"," 19"," 22.7"," 24.5"," 28.8"," 32.5"," 26.6"," 21.1"," 18.1"," 18"," 17.9"," 18.3"
"2014F","AR","CLOSB"," 0"," 50"," 50"," 2260"," 2664"," 862"," 3578"," 5189"," 6619"," 7328"," 6336"," 7687"," 7442"," 9324"," 8411"," 7991"," 7726"," 6737"," 5770"," 5974"," 5839"," 6839"," 7076"," 7748"," 8599"," 7784"," 8356"," 6980"," 7004"," 7927"," 9616"," 10901"," 10457"," 10126"," 10126"," 9275"," 9084"," 9778"," 9567"," 7429"," 7272"," 5576"," 5154"," 5065"," 5461"
"2014F","AR","CLRCD"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2.01"," 2.9"," 0"," 2.97"," 2.74"," 3.3"," 2.54"," 3.27"," 3.19"," 0"," 2.88"," 2.62"," 2.64"," 2.7"," 2.81"," 2.69"," 2.73"," 2.83"," 0"," 0"," 2.72"," 2.81"," 1.01"," 0"," 0"," 2.72"," 0"," 3.26"," 0"," 5.63"," 4.51"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","AR","CLRCV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," .1"," 0"," .1"," 0"," 0"," 0"," .1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","AR","CLRFB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 7"," 62"," 12"," 116"," 93"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","AR","CLTCD"," 0"," .42"," .46"," .64"," .91"," 1.22"," 1.47"," 1.34"," 1.21"," 1.24"," 1.43"," 1.59"," 1.77"," 1.74"," 1.83"," 1.6"," 1.58"," 1.57"," 1.6"," 1.64"," 1.62"," 1.61"," 1.66"," 1.71"," 1.61"," 1.62"," 1.51"," 1.64"," 1.48"," 1.47"," 1.43"," .91"," .88"," 1.22"," 1.25"," 1.5"," 1.51"," 1.65"," 1.78"," 1.73"," 1.74"," 1.93"," 2.27"," 2.41"," 2.42"
"2014F","AR","CLTCV"," 0"," 0"," 0"," 1.4"," 2.4"," 1.1"," 5.3"," 7"," 27.7"," 39.4"," 52.6"," 161.7"," 221.2"," 309.4"," 300"," 351.1"," 354.7"," 330.7"," 349.4"," 333.8"," 344.9"," 346.7"," 366.3"," 342.5"," 357.7"," 383.9"," 393.4"," 405.8"," 376.4"," 391.2"," 383.1"," 249.5"," 224.2"," 310.4"," 338"," 370.4"," 388.6"," 454.1"," 495.6"," 456.2"," 510.6"," 592.2"," 673.3"," 789.4"," 820.9"
