"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","CA","ARICD"," .49"," .64"," .64"," .69"," 1.47"," 1.62"," 1.6"," 1.7"," 1.81"," 2.72"," 3.78"," 4.59"," 3.98"," 4.4"," 4.56"," 4.78"," 5.08"," 5.36"," 4.53"," 3.1"," 3.13"," 3.18"," 2.74"," 2.6"," 2.95"," 3.09"," 3.41"," 3.51"," 3.68"," 3.6"," 3.43"," 3.91"," 4.06"," 4.5"," 4.74"," 5.04"," 5.7"," 7.37"," 7.52"," 12.98"," 13.11"," 14.83"," 16.79"," 15.59"," 15.97"
"2014F","CA","ARICV"," 39"," 51.9"," 52.3"," 60.5"," 115.9"," 141"," 149.6"," 169.1"," 184.8"," 387.1"," 462.2"," 299.5"," 259.4"," 324.9"," 461.7"," 439"," 517.9"," 585.1"," 461.6"," 308.2"," 308.8"," 301"," 246.7"," 214.7"," 239.3"," 250.3"," 280.9"," 268.1"," 379.9"," 486.2"," 463.9"," 491.1"," 480.9"," 407.6"," 434.7"," 438.9"," 458.4"," 736.7"," 624"," 680.5"," 434.4"," 891.2"," 903.8"," 937"," 916.3"
"2014F","CA","ARTCD"," .49"," .64"," .64"," .69"," 1.47"," 1.62"," 1.6"," 1.7"," 1.81"," 2.72"," 3.78"," 4.59"," 3.98"," 4.4"," 4.56"," 4.78"," 5.08"," 5.36"," 4.53"," 3.1"," 3.13"," 3.18"," 2.74"," 2.6"," 2.95"," 3.09"," 3.41"," 3.51"," 3.68"," 3.6"," 3.43"," 3.91"," 4.06"," 4.5"," 4.74"," 5.04"," 5.7"," 7.37"," 7.52"," 12.98"," 13.11"," 14.83"," 16.79"," 15.59"," 15.97"
"2014F","CA","ARTCV"," 39"," 51.9"," 52.3"," 60.5"," 115.9"," 141"," 149.6"," 169.1"," 184.8"," 387.1"," 462.2"," 299.5"," 259.4"," 324.9"," 461.7"," 439"," 517.9"," 585.1"," 461.6"," 308.2"," 308.8"," 301"," 246.7"," 214.7"," 239.3"," 250.3"," 280.9"," 268.1"," 379.9"," 486.2"," 463.9"," 491.1"," 480.9"," 407.6"," 434.7"," 438.9"," 458.4"," 736.7"," 624"," 680.5"," 434.4"," 891.2"," 903.8"," 937"," 916.3"
"2014F","CA","ARTXD"," .49"," .64"," .64"," .69"," 1.47"," 1.62"," 1.6"," 1.7"," 1.81"," 2.72"," 3.78"," 4.59"," 3.98"," 4.4"," 4.56"," 4.78"," 5.08"," 5.36"," 4.53"," 3.1"," 3.13"," 3.18"," 2.74"," 2.6"," 2.95"," 3.09"," 3.41"," 3.51"," 3.68"," 3.6"," 3.43"," 3.91"," 4.06"," 4.5"," 4.74"," 5.04"," 5.7"," 7.37"," 7.52"," 12.98"," 13.11"," 14.83"," 16.79"," 15.59"," 15.97"
"2014F","CA","ARTXV"," 39"," 51.9"," 52.3"," 60.5"," 115.9"," 141"," 149.6"," 169.1"," 184.8"," 387.1"," 462.2"," 299.5"," 259.4"," 324.9"," 461.7"," 439"," 517.9"," 585.1"," 461.6"," 308.2"," 308.8"," 301"," 246.7"," 214.7"," 239.3"," 250.3"," 280.9"," 268.1"," 379.9"," 486.2"," 463.9"," 491.1"," 480.9"," 407.6"," 434.7"," 438.9"," 458.4"," 736.7"," 624"," 680.5"," 434.4"," 891.2"," 903.8"," 937"," 916.3"
"2014F","CA","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","CA","AVACV"," 23.9"," 22.7"," 23"," 24.3"," 32.3"," 28.5"," 28.4"," 33"," 38"," 48.7"," 13"," 7.2"," 63.1"," 61.5"," 54.3"," 68.3"," 56.8"," 41.3"," 49.1"," 54.4"," 52"," 48"," 45.7"," 34.1"," 31.9"," 34.1"," 36"," 39.6"," 23.5"," 36.7"," 39.7"," 29.8"," 32.4"," 37.7"," 42.3"," 49.7"," 51.9"," 53"," 56"," 29.2"," 44.3"," 60.5"," 63.1"," 56.5"," 79"
"2014F","CA","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","CA","AVTCV"," 23.9"," 22.7"," 23"," 24.3"," 32.3"," 28.5"," 28.4"," 33"," 38"," 48.7"," 13"," 7.2"," 63.1"," 61.5"," 54.3"," 68.3"," 56.8"," 41.3"," 49.1"," 54.4"," 52"," 48"," 45.7"," 34.1"," 31.9"," 34.1"," 36"," 39.6"," 23.5"," 36.7"," 39.7"," 29.8"," 32.4"," 37.7"," 42.3"," 49.7"," 51.9"," 53"," 56"," 29.2"," 44.3"," 60.5"," 63.1"," 56.5"," 79"
"2014F","CA","AVTXD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","CA","AVTXV"," 23.9"," 22.7"," 23"," 24.3"," 32.3"," 28.5"," 28.4"," 33"," 38"," 48.7"," 13"," 7.2"," 63.1"," 61.5"," 54.3"," 68.3"," 56.8"," 41.3"," 49.1"," 54.4"," 52"," 48"," 45.7"," 34.1"," 31.9"," 34.1"," 36"," 39.6"," 23.5"," 36.7"," 39.7"," 29.8"," 32.4"," 37.7"," 42.3"," 49.7"," 51.9"," 53"," 56"," 29.2"," 44.3"," 60.5"," 63.1"," 56.5"," 79"
"2014F","CA","CLACD"," .63"," .53"," .61"," .59"," 1.02"," .92"," 1.16"," 1.26"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","CA","CLACV"," .1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","CA","CLCCD"," .63"," .53"," .61"," 0"," 1.02"," 0"," 0"," 0"," 1.4"," 1.6"," 1.82"," 2.06"," 2.31"," 2.37"," 2.39"," 2.25"," 0"," 2.09"," 1.94"," 1.93"," 2"," 1.97"," 1.83"," 1.85"," 1.87"," 1.76"," 1.7"," 1.74"," 1.78"," 1.73"," 1.66"," 1.61"," 1.64"," 1.68"," 1.76"," 2.12"," 2.39"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","CA","CLCCV"," .7"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," .1"," .1"," .1"," .1"," .1"," .1"," 1.5"," 2.2"," 0"," 0"," .2"," .4"," .9"," 1.7"," 0"," 5"," 6.1"," 4.8"," 6.2"," 3.9"," 4.3"," 1"," .8"," 0"," 0"," 0"," .3"," .9"," .1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","CA","CLEID"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1.56"," 1.49"," 1.43"," 1.3"," 1.3"," 1.28"," 1.36"," 1.48"," 1.54"," 1.38"," 1.41"," 1.36"," 1.11"," 1.87"," 1.77"," 1.94"," 1.43"," 1.68"," 1.85"," 2.19"," 2.24"," 2.22"," 2.21"," 1.89"," 1.96"," 2.49"
"2014F","CA","CLEIV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 13.2"," 28.1"," 36.4"," 34.6"," 36.1"," 34.1"," 31.8"," 29.7"," 27.8"," 27.8"," 31.1"," 30.1"," 23.4"," 42.8"," 38.5"," 43.7"," 29.6"," 36.8"," 43.2"," 51.7"," 47.2"," 48.3"," 43.5"," 24.9"," 12.1"," 17.1"
