"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","CO","ARICD"," .58"," 1.04"," 1.03"," 1.06"," 1.93"," 2.01"," 1.56"," 1.78"," 1.99"," 2.36"," 3.4"," 4.21"," 4.12"," 4.13"," 4.48"," 4.73"," 4.3"," 3.03"," 3.19"," 2.73"," 2.59"," 3.24"," 2.89"," 2.87"," 2.73"," 3.09"," 3.39"," 3.51"," 3.58"," 3.14"," 3.1"," 3.4"," 3.59"," 4.01"," 4.55"," 4.81"," 5.18"," 5.48"," 5.63"," 13.74"," 13.83"," 14.88"," 16.16"," 15.39"," 15.57"
"2014F","CO","ARICV"," 12.3"," 20.5"," 21.1"," 23.9"," 34.2"," 29.8"," 26.2"," 31"," 29.3"," 43.1"," 51.6"," 51.1"," 44.2"," 51.5"," 91.8"," 97.5"," 88.2"," 62.6"," 75.2"," 53.1"," 55.9"," 66.8"," 61.1"," 65.1"," 75.8"," 76.2"," 87.9"," 60"," 112.7"," 44.5"," 79.5"," 58"," 29"," 131"," 116.7"," 84.4"," 90.8"," 120.3"," 78.1"," 250.3"," 347.8"," 212.2"," 212.5"," 218.4"," 247.8"
"2014F","CO","ARTCD"," .58"," 1.04"," 1.03"," 1.06"," 1.93"," 2.01"," 1.56"," 1.78"," 1.99"," 2.36"," 3.4"," 4.21"," 4.12"," 4.13"," 4.48"," 4.73"," 4.3"," 3.03"," 3.19"," 2.73"," 2.59"," 3.24"," 2.89"," 2.87"," 2.73"," 3.09"," 3.39"," 3.51"," 3.58"," 3.14"," 3.1"," 3.4"," 3.59"," 4.01"," 4.55"," 4.81"," 5.18"," 5.48"," 5.63"," 13.74"," 13.83"," 14.88"," 16.16"," 15.39"," 15.57"
"2014F","CO","ARTCV"," 12.3"," 20.5"," 21.1"," 23.9"," 34.2"," 29.8"," 26.2"," 31"," 29.3"," 43.1"," 51.6"," 51.1"," 44.2"," 51.5"," 91.8"," 97.5"," 88.2"," 62.6"," 75.2"," 53.1"," 55.9"," 66.8"," 61.1"," 65.1"," 75.8"," 76.2"," 87.9"," 60"," 112.7"," 44.5"," 79.5"," 58"," 29"," 131"," 116.7"," 84.4"," 90.8"," 120.3"," 78.1"," 250.3"," 347.8"," 212.2"," 212.5"," 218.4"," 247.8"
"2014F","CO","ARTXD"," .58"," 1.04"," 1.03"," 1.06"," 1.93"," 2.01"," 1.56"," 1.78"," 1.99"," 2.36"," 3.4"," 4.21"," 4.12"," 4.13"," 4.48"," 4.73"," 4.3"," 3.03"," 3.19"," 2.73"," 2.59"," 3.24"," 2.89"," 2.87"," 2.73"," 3.09"," 3.39"," 3.51"," 3.58"," 3.14"," 3.1"," 3.4"," 3.59"," 4.01"," 4.55"," 4.81"," 5.18"," 5.48"," 5.63"," 13.74"," 13.83"," 14.88"," 16.16"," 15.39"," 15.57"
"2014F","CO","ARTXV"," 12.3"," 20.5"," 21.1"," 23.9"," 34.2"," 29.8"," 26.2"," 31"," 29.3"," 43.1"," 51.6"," 51.1"," 44.2"," 51.5"," 91.8"," 97.5"," 88.2"," 62.6"," 75.2"," 53.1"," 55.9"," 66.8"," 61.1"," 65.1"," 75.8"," 76.2"," 87.9"," 60"," 112.7"," 44.5"," 79.5"," 58"," 29"," 131"," 116.7"," 84.4"," 90.8"," 120.3"," 78.1"," 250.3"," 347.8"," 212.2"," 212.5"," 218.4"," 247.8"
"2014F","CO","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","CO","AVACV"," 3.7"," 3.5"," 3.6"," 4"," 5.3"," 4.6"," 4.8"," 5.8"," 6.4"," 7.8"," 12.1"," 14.1"," 10.4"," 9.4"," 7.4"," 7.1"," 7.5"," 5.8"," 6.2"," 7.6"," 7.8"," 6.8"," 5.9"," 5.1"," 5.1"," 5.2"," 5.8"," 6.8"," 5.9"," 8.7"," 8.6"," 15"," 8.6"," 8.7"," 9.3"," 12.2"," 17.2"," 12.3"," 13.4"," 8.5"," 14.6"," 20.4"," 14.6"," 15"," 13.8"
"2014F","CO","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","CO","AVTCV"," 3.7"," 3.5"," 3.6"," 4"," 5.3"," 4.6"," 4.8"," 5.8"," 6.4"," 7.8"," 12.1"," 14.1"," 10.4"," 9.4"," 7.4"," 7.1"," 7.5"," 5.8"," 6.2"," 7.6"," 7.8"," 6.8"," 5.9"," 5.1"," 5.1"," 5.2"," 5.8"," 6.8"," 5.9"," 8.7"," 8.6"," 15"," 8.6"," 8.7"," 9.3"," 12.2"," 17.2"," 12.3"," 13.4"," 8.5"," 14.6"," 20.4"," 14.6"," 15"," 13.8"
"2014F","CO","AVTXD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","CO","AVTXV"," 3.7"," 3.5"," 3.6"," 4"," 5.3"," 4.6"," 4.8"," 5.8"," 6.4"," 7.8"," 12.1"," 14.1"," 10.4"," 9.4"," 7.4"," 7.1"," 7.5"," 5.8"," 6.2"," 7.6"," 7.8"," 6.8"," 5.9"," 5.1"," 5.1"," 5.2"," 5.8"," 6.8"," 5.9"," 8.7"," 8.6"," 15"," 8.6"," 8.7"," 9.3"," 12.2"," 17.2"," 12.3"," 13.4"," 8.5"," 14.6"," 20.4"," 14.6"," 15"," 13.8"
"2014F","CO","CLACD"," .39"," .4"," .43"," .42"," .75"," .81"," 1.06"," 1.08"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","CO","CLACV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","CO","CLCCD"," .39"," .4"," .43"," .42"," .75"," .81"," 1.06"," 1.08"," 1.23"," 1.33"," 1.2"," 1.17"," 1.42"," 1.38"," 1.31"," 1.31"," 1.24"," 1.37"," 1.36"," 1.34"," 1.28"," 1.39"," 1.51"," 1.37"," 1.35"," 1.21"," 1.08"," 1.17"," 1.12"," 1.13"," 1.11"," 1.25"," 1.19"," 1.2"," 1.44"," 1.56"," 1.78"," 1.91"," 2.47"," 2.95"," 2.56"," 2.58"," 3.51"," 3.72"," 3.64"
"2014F","CO","CLCCV"," .9"," 1"," 1.2"," 1"," 1.1"," .2"," .9"," 1.4"," 4"," 5"," 2"," 2"," 3.2"," 2"," 2.9"," 3.4"," 2.2"," 1.8"," 2.2"," 1.4"," 1.3"," 1.6"," 1.5"," .9"," .6"," .5"," .3"," 1.3"," .4"," 2.3"," 1.7"," 7.3"," 5.4"," 6.5"," 6.5"," 4.3"," 2.4"," .5"," 17.2"," 19.3"," 15.5"," 8.2"," .8"," .4"," .5"
"2014F","CO","CLEID"," .26"," .28"," .3"," .29"," .37"," .48"," .49"," .61"," .66"," .75"," .86"," .96"," 1.09"," 1.11"," 1.13"," 1.15"," 1.18"," 1.12"," 1.07"," 1.06"," 1.06"," 1.09"," 1.09"," 1.09"," 1.06"," 1.05"," 1.03"," 1.01"," .99"," .98"," .93"," .92"," .95"," .97"," .97"," 1.06"," 1.28"," 1.26"," 1.44"," 1.57"," 1.57"," 1.72"," 1.84"," 1.91"," 1.93"
"2014F","CO","CLEIV"," 18"," 19.1"," 21.8"," 27.3"," 35.2"," 54.5"," 70.3"," 108.3"," 118.7"," 144.4"," 173.3"," 228.5"," 270.1"," 263.2"," 301.3"," 321.3"," 324.9"," 312"," 314.3"," 328.5"," 340.3"," 340.9"," 353.4"," 360.4"," 359.5"," 343.7"," 351.4"," 348.8"," 351.5"," 347.5"," 348.8"," 356.5"," 362"," 368.5"," 367.8"," 398.4"," 496.3"," 484.1"," 535.4"," 534.6"," 579.8"," 622"," 670.5"," 681"," 658.5"
"2014F","CO","CLICD"," .42"," .45"," .49"," .55"," 1.15"," 1.17"," 1.39"," 1.42"," 1.53"," 1.62"," 1.66"," 1.84"," 1.66"," 1.38"," 1.31"," 1.31"," 1.24"," 1.37"," 1.36"," 1.34"," 1.28"," 1.39"," 1.51"," 1.37"," 1.35"," 1.21"," 1.08"," 1.17"," 1.12"," 1.13"," 1.11"," 1.25"," 1.19"," 1.2"," 1.44"," 1.56"," 1.78"," 1.91"," 1.89"," 1.96"," 1.96"," 2.05"," 2.89"," 2.92"," 2.91"
"2014F","CO","CLICV"," 17.4"," 14.8"," 20.2"," 24.1"," 48"," 53.4"," 57.3"," 61.7"," 53.5"," 65.8"," 71.3"," 72.9"," 42.6"," 21.5"," 24.2"," 22.3"," 20.6"," 21.5"," 19.6"," 17.9"," 19.6"," 21.6"," 22.3"," 22.3"," 24.9"," 19.1"," 8.6"," 18.3"," 9.3"," 10.3"," 10.3"," 8.5"," 5.6"," 7.8"," 9.6"," 10.8"," 11.6"," 10.2"," 10.2"," 6.3"," 14.6"," 6.8"," 18.1"," 21.9"," 24.5"
"2014F","CO","CLKCD"," .43"," .47"," .52"," .61"," 1.29"," 1.38"," 1.51"," 1.58"," 1.7"," 1.74"," 1.97"," 2.26"," 2.07"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","CO","CLKCV"," 12"," 11.6"," 14.6"," 18.9"," 39.9"," 39.5"," 44.8"," 46.2"," 38"," 50.6"," 50.2"," 54.8"," 19.7"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
