"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","DE","ARICD"," .66"," .7"," .75"," .79"," 1.34"," 1.76"," 1.79"," 1.97"," 2.19"," 2.57"," 3.58"," 4.87"," 4.06"," 4.05"," 4.51"," 4.97"," 4.16"," 3.17"," 3.13"," 2.9"," 2.9"," 3.06"," 2.24"," 3.02"," 2.83"," 3.21"," 3.34"," 3.53"," 3.33"," 3.25"," 4.03"," 3.79"," 4"," 4.71"," 4.94"," 5.76"," 7.4"," 7.44"," 10.31"," 10.85"," 13.16"," 15.83"," 16.55"," 15.46"," 15.89"
"2014F","DE","ARICV"," 2.3"," 3.1"," 2.8"," 2.4"," 5.6"," 7.6"," 6"," 3.7"," 3.1"," 7"," 8.3"," 13.5"," 11.9"," 5.6"," 7.1"," 27.3"," 16.8"," 12.1"," 8.5"," 10"," 10.3"," 2.9"," 1.2"," 2.2"," 3.1"," 3.7"," 6.6"," 3.3"," 3.7"," 3.9"," 13.7"," 18.9"," 27.5"," 22.5"," 21.3"," 25.1"," 31.5"," 24.5"," 45.5"," 20.1"," 20.3"," 77.9"," 74.5"," 41.4"," 44.7"
"2014F","DE","ARTCD"," .66"," .7"," .75"," .79"," 1.34"," 1.76"," 1.79"," 1.97"," 2.19"," 2.57"," 3.58"," 4.87"," 4.06"," 4.05"," 4.51"," 4.97"," 4.16"," 3.17"," 3.13"," 2.9"," 2.9"," 3.06"," 2.24"," 3.02"," 2.83"," 3.21"," 3.34"," 3.53"," 3.33"," 3.25"," 4.03"," 3.79"," 4"," 4.71"," 4.94"," 5.76"," 7.4"," 7.44"," 10.31"," 10.85"," 13.16"," 15.83"," 16.55"," 15.46"," 15.89"
"2014F","DE","ARTCV"," 2.3"," 3.1"," 2.8"," 2.4"," 5.6"," 7.6"," 6"," 3.7"," 3.1"," 7"," 8.3"," 13.5"," 11.9"," 5.6"," 7.1"," 27.3"," 16.8"," 12.1"," 8.5"," 10"," 10.3"," 2.9"," 1.2"," 2.2"," 3.1"," 3.7"," 6.6"," 3.3"," 3.7"," 3.9"," 13.7"," 18.9"," 27.5"," 22.5"," 21.3"," 25.1"," 31.5"," 24.5"," 45.5"," 20.1"," 20.3"," 77.9"," 74.5"," 41.4"," 44.7"
"2014F","DE","ARTXD"," .66"," .7"," .75"," .79"," 1.34"," 1.76"," 1.79"," 1.97"," 2.19"," 2.57"," 3.58"," 4.87"," 4.06"," 4.05"," 4.51"," 4.97"," 4.16"," 3.17"," 3.13"," 2.9"," 2.9"," 3.06"," 2.24"," 3.02"," 2.83"," 3.21"," 3.34"," 3.53"," 3.33"," 3.25"," 4.03"," 3.79"," 4"," 4.71"," 4.94"," 5.76"," 7.4"," 7.44"," 10.31"," 10.85"," 13.16"," 15.83"," 16.55"," 15.46"," 15.89"
"2014F","DE","ARTXV"," 2.3"," 3.1"," 2.8"," 2.4"," 5.6"," 7.6"," 6"," 3.7"," 3.1"," 7"," 8.3"," 13.5"," 11.9"," 5.6"," 7.1"," 27.3"," 16.8"," 12.1"," 8.5"," 10"," 10.3"," 2.9"," 1.2"," 2.2"," 3.1"," 3.7"," 6.6"," 3.3"," 3.7"," 3.9"," 13.7"," 18.9"," 27.5"," 22.5"," 21.3"," 25.1"," 31.5"," 24.5"," 45.5"," 20.1"," 20.3"," 77.9"," 74.5"," 41.4"," 44.7"
"2014F","DE","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","DE","AVACV"," .2"," .1"," .2"," .1"," 1"," .3"," .3"," .5"," .4"," .6"," .5"," .5"," .8"," .9"," .7"," .8"," .8"," .6"," .7"," .7"," 3.6"," .8"," .8"," 2.1"," 2.3"," 2.2"," 2.4"," 3"," 2.2"," .7"," 1.1"," 3.4"," 4.9"," 5"," 5.7"," 12.8"," 15.8"," 16.6"," 14.5"," 10"," 7"," 8.3"," 8.1"," 7"," 11.4"
"2014F","DE","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","DE","AVTCV"," .2"," .1"," .2"," .1"," 1"," .3"," .3"," .5"," .4"," .6"," .5"," .5"," .8"," .9"," .7"," .8"," .8"," .6"," .7"," .7"," 3.6"," .8"," .8"," 2.1"," 2.3"," 2.2"," 2.4"," 3"," 2.2"," .7"," 1.1"," 3.4"," 4.9"," 5"," 5.7"," 12.8"," 15.8"," 16.6"," 14.5"," 10"," 7"," 8.3"," 8.1"," 7"," 11.4"
"2014F","DE","AVTXD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","DE","AVTXV"," .2"," .1"," .2"," .1"," 1"," .3"," .3"," .5"," .4"," .6"," .5"," .5"," .8"," .9"," .7"," .8"," .8"," .6"," .7"," .7"," 3.6"," .8"," .8"," 2.1"," 2.3"," 2.2"," 2.4"," 3"," 2.2"," .7"," 1.1"," 3.4"," 4.9"," 5"," 5.7"," 12.8"," 15.8"," 16.6"," 14.5"," 10"," 7"," 8.3"," 8.1"," 7"," 11.4"
"2014F","DE","CLACD"," .28"," .46"," .4"," .43"," .93"," 1.2"," 1.02"," 1.34"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","DE","CLACV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","DE","CLCCD"," .28"," .46"," .4"," .43"," .93"," 1.2"," 1.02"," 1.34"," 1.19"," 1.25"," 1.2"," 1.39"," 1.37"," 1.34"," 1.3"," 1.33"," 1.33"," 1.3"," 1.33"," 1.28"," 1.15"," 1.34"," 1.3"," 1.27"," 1.27"," 1.26"," 1.29"," 1.29"," 1.29"," 1.27"," 1.26"," 1.42"," 0"," 0"," 0"," 0"," 2.11"," 2.18"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","DE","CLCCV"," 0"," 0"," 0"," 0"," .1"," .1"," .1"," .1"," .1"," .1"," .1"," .1"," .3"," .1"," .1"," .1"," .2"," 1"," .5"," .5"," .5"," .6"," 0"," 1.2"," .8"," 0"," .1"," .2"," .2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","DE","CLEID"," .39"," .52"," .54"," .58"," 1.1"," 1.15"," 1.02"," 1.09"," 1.3"," 1.35"," 1.64"," 2.03"," 2.14"," 1.99"," 1.97"," 1.91"," 1.91"," 1.81"," 1.81"," 1.79"," 1.82"," 1.78"," 1.73"," 1.69"," 1.62"," 1.62"," 1.59"," 1.57"," 1.56"," 1.59"," 1.52"," 2.17"," 1.59"," 1.9"," 2.2"," 2.11"," 2.33"," 2.38"," 3.56"," 3.27"," 3.35"," 3.41"," 3.35"," 3.2"," 3.08"
"2014F","DE","CLEIV"," 14.2"," 18.6"," 12.3"," 11.7"," 22.7"," 25.6"," 19.9"," 18.6"," 24.8"," 29.7"," 38.5"," 93.3"," 92.9"," 137.6"," 134.1"," 125.9"," 116.9"," 115.9"," 112.8"," 99.6"," 97.3"," 91.1"," 73.7"," 97.9"," 84.2"," 76.8"," 74.2"," 69.2"," 64.5"," 51.1"," 69.2"," 73.4"," 60.3"," 84.2"," 111.3"," 113.1"," 125.6"," 145.4"," 209"," 109.1"," 101.3"," 61"," 58.3"," 58.4"," 31.5"
