"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","GA","ARICD"," .76"," .78"," .84"," .85"," 1.75"," 1.74"," 1.83"," 1.89"," 2.16"," 2.64"," 3.72"," 4.99"," 4.07"," 4.09"," 4.5"," 4.97"," 4.19"," 3.21"," 3.15"," 2.85"," 2.86"," 3.18"," 2.38"," 2.63"," 2.68"," 3.04"," 3.13"," 3.13"," 3.28"," 3.43"," 3.63"," 3.7"," 3.68"," 4.23"," 4.87"," 5.32"," 5.82"," 6.17"," 6.37"," 10.52"," 12.84"," 15.01"," 16.32"," 15.5"," 15.85"
"2014F","GA","ARICV"," 19.7"," 20.7"," 25.3"," 27.4"," 53.3"," 48.4"," 54.1"," 67"," 89"," 90.1"," 118.2"," 124.4"," 106.1"," 142"," 168.2"," 151.2"," 156.7"," 127.4"," 126.4"," 93.9"," 121.2"," 109.6"," 77.3"," 93"," 93.3"," 111.5"," 112.8"," 101.7"," 119.5"," 169.1"," 136.1"," 145.9"," 137.4"," 152"," 214"," 226.7"," 258.1"," 274.1"," 210.3"," 320.9"," 346.4"," 318"," 284.8"," 222.1"," 162.2"
"2014F","GA","ARTCD"," .76"," .78"," .84"," .85"," 1.75"," 1.74"," 1.83"," 1.89"," 2.16"," 2.64"," 3.72"," 4.99"," 4.07"," 4.09"," 4.5"," 4.97"," 4.19"," 3.21"," 3.15"," 2.85"," 2.86"," 3.18"," 2.38"," 2.63"," 2.68"," 3.04"," 3.13"," 3.13"," 3.28"," 3.43"," 3.63"," 3.7"," 3.68"," 4.23"," 4.87"," 5.32"," 5.82"," 6.17"," 6.37"," 10.52"," 12.84"," 15.01"," 16.32"," 15.5"," 15.85"
"2014F","GA","ARTCV"," 19.7"," 20.7"," 25.3"," 27.4"," 53.3"," 48.4"," 54.1"," 67"," 89"," 90.1"," 118.2"," 124.4"," 106.1"," 142"," 168.2"," 151.2"," 156.7"," 127.4"," 126.4"," 93.9"," 121.2"," 109.6"," 77.3"," 93"," 93.3"," 111.5"," 112.8"," 101.7"," 119.5"," 169.1"," 136.1"," 145.9"," 137.4"," 152"," 214"," 226.7"," 258.1"," 274.1"," 210.3"," 320.9"," 346.4"," 318"," 284.8"," 222.1"," 162.2"
"2014F","GA","ARTXD"," .76"," .78"," .84"," .85"," 1.75"," 1.74"," 1.83"," 1.89"," 2.16"," 2.64"," 3.72"," 4.99"," 4.07"," 4.09"," 4.5"," 4.97"," 4.19"," 3.21"," 3.15"," 2.85"," 2.86"," 3.18"," 2.38"," 2.63"," 2.68"," 3.04"," 3.13"," 3.13"," 3.28"," 3.43"," 3.63"," 3.7"," 3.68"," 4.23"," 4.87"," 5.32"," 5.82"," 6.17"," 6.37"," 10.52"," 12.84"," 15.01"," 16.32"," 15.5"," 15.85"
"2014F","GA","ARTXV"," 19.7"," 20.7"," 25.3"," 27.4"," 53.3"," 48.4"," 54.1"," 67"," 89"," 90.1"," 118.2"," 124.4"," 106.1"," 142"," 168.2"," 151.2"," 156.7"," 127.4"," 126.4"," 93.9"," 121.2"," 109.6"," 77.3"," 93"," 93.3"," 111.5"," 112.8"," 101.7"," 119.5"," 169.1"," 136.1"," 145.9"," 137.4"," 152"," 214"," 226.7"," 258.1"," 274.1"," 210.3"," 320.9"," 346.4"," 318"," 284.8"," 222.1"," 162.2"
"2014F","GA","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","GA","AVACV"," 6.6"," 7.1"," 5.8"," 5.8"," 7.5"," 6.9"," 7"," 7.9"," 8.6"," 10.9"," 17.6"," 18"," 13.5"," 11.6"," 11.4"," 10.7"," 10.8"," 8.3"," 8.5"," 8.8"," 9.2"," 8"," 7.2"," 7"," 6.4"," 6.6"," 7.9"," 7.4"," 5.6"," 6.6"," 5.8"," 5.1"," 6.2"," 8.8"," 16"," 20.9"," 20.7"," 19.4"," 13.8"," 9.6"," 18.1"," 19.3"," 24.9"," 19.2"," 23.4"
"2014F","GA","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","GA","AVTCV"," 6.6"," 7.1"," 5.8"," 5.8"," 7.5"," 6.9"," 7"," 7.9"," 8.6"," 10.9"," 17.6"," 18"," 13.5"," 11.6"," 11.4"," 10.7"," 10.8"," 8.3"," 8.5"," 8.8"," 9.2"," 8"," 7.2"," 7"," 6.4"," 6.6"," 7.9"," 7.4"," 5.6"," 6.6"," 5.8"," 5.1"," 6.2"," 8.8"," 16"," 20.9"," 20.7"," 19.4"," 13.8"," 9.6"," 18.1"," 19.3"," 24.9"," 19.2"," 23.4"
