"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","HI","ARICD"," .56"," .81"," .81"," .83"," 1.67"," 1.77"," 1.57"," 1.72"," 1.89"," 2.43"," 3.61"," 4.58"," 3.97"," 4.16"," 4.31"," 4.47"," 4.49"," 4.24"," 3.95"," 3.18"," 3.15"," 3.29"," 2.81"," 2.94"," 3.11"," 3.2"," 3.39"," 3.46"," 3.59"," 3.55"," 3.45"," 3.72"," 3.83"," 4.21"," 4.7"," 4.98"," 5.56"," 6.65"," 6.88"," 16.1"," 16.27"," 18.4"," 20.82"," 21.7"," 21.78"
"2014F","HI","ARICV"," 1.4"," 1.5"," 1.8"," 1.8"," 2.8"," 4.4"," 4.2"," 3.8"," 3.7"," 4.3"," 6.8"," 5.7"," 4.5"," 7.2"," 5.9"," 9.1"," 8.1"," 11.2"," 9.2"," 6.3"," 8"," 8.4"," 8"," 8.7"," 8.4"," 9.3"," 9"," 9.1"," 7.7"," 8.3"," 13.8"," 8.4"," 2.7"," 3.1"," 3.8"," 6.6"," .1"," .1"," .1"," 73.2"," 83.4"," 85.7"," 60.9"," 103.8"," 97.9"
"2014F","HI","ARTCD"," .56"," .81"," .81"," .83"," 1.67"," 1.77"," 1.57"," 1.72"," 1.89"," 2.43"," 3.61"," 4.58"," 3.97"," 4.16"," 4.31"," 4.47"," 4.49"," 4.24"," 3.95"," 3.18"," 3.15"," 3.29"," 2.81"," 2.94"," 3.11"," 3.2"," 3.39"," 3.46"," 3.59"," 3.55"," 3.45"," 3.72"," 3.83"," 4.21"," 4.7"," 4.98"," 5.56"," 6.65"," 6.88"," 16.1"," 16.27"," 18.4"," 20.82"," 21.7"," 21.78"
"2014F","HI","ARTCV"," 1.4"," 1.5"," 1.8"," 1.8"," 2.8"," 4.4"," 4.2"," 3.8"," 3.7"," 4.3"," 6.8"," 5.7"," 4.5"," 7.2"," 5.9"," 9.1"," 8.1"," 11.2"," 9.2"," 6.3"," 8"," 8.4"," 8"," 8.7"," 8.4"," 9.3"," 9"," 9.1"," 7.7"," 8.3"," 13.8"," 8.4"," 2.7"," 3.1"," 3.8"," 6.6"," .1"," .1"," .1"," 73.2"," 83.4"," 85.7"," 60.9"," 103.8"," 97.9"
"2014F","HI","ARTXD"," .56"," .81"," .81"," .83"," 1.67"," 1.77"," 1.57"," 1.72"," 1.89"," 2.43"," 3.61"," 4.58"," 3.97"," 4.16"," 4.31"," 4.47"," 4.49"," 4.24"," 3.95"," 3.18"," 3.15"," 3.29"," 2.81"," 2.94"," 3.11"," 3.2"," 3.39"," 3.46"," 3.59"," 3.55"," 3.45"," 3.72"," 3.83"," 4.21"," 4.7"," 4.98"," 5.56"," 6.65"," 6.88"," 16.1"," 16.27"," 18.4"," 20.82"," 21.7"," 21.78"
"2014F","HI","ARTXV"," 1.4"," 1.5"," 1.8"," 1.8"," 2.8"," 4.4"," 4.2"," 3.8"," 3.7"," 4.3"," 6.8"," 5.7"," 4.5"," 7.2"," 5.9"," 9.1"," 8.1"," 11.2"," 9.2"," 6.3"," 8"," 8.4"," 8"," 8.7"," 8.4"," 9.3"," 9"," 9.1"," 7.7"," 8.3"," 13.8"," 8.4"," 2.7"," 3.1"," 3.8"," 6.6"," .1"," .1"," .1"," 73.2"," 83.4"," 85.7"," 60.9"," 103.8"," 97.9"
"2014F","HI","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","HI","AVACV"," 1.5"," 1.6"," 1.6"," 1.6"," 2"," 2"," 2.3"," 2.9"," 3"," 4.4"," 9.1"," 10"," 7.5"," 8.2"," 7.5"," 7.8"," 11.8"," 9.5"," 10.5"," 12"," 12.8"," 11.5"," 10.5"," 8.3"," 8.4"," 9.2"," 7.7"," 5.7"," 4.4"," 2.6"," 2.5"," 2.7"," .9"," 1"," 3"," 4.2"," 4.6"," 4.9"," 3.8"," 3"," 4.7"," 5.6"," 5.1"," 4.4"," 4.7"
"2014F","HI","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","HI","AVTCV"," 1.5"," 1.6"," 1.6"," 1.6"," 2"," 2"," 2.3"," 2.9"," 3"," 4.4"," 9.1"," 10"," 7.5"," 8.2"," 7.5"," 7.8"," 11.8"," 9.5"," 10.5"," 12"," 12.8"," 11.5"," 10.5"," 8.3"," 8.4"," 9.2"," 7.7"," 5.7"," 4.4"," 2.6"," 2.5"," 2.7"," .9"," 1"," 3"," 4.2"," 4.6"," 4.9"," 3.8"," 3"," 4.7"," 5.6"," 5.1"," 4.4"," 4.7"
"2014F","HI","AVTXD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
