"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","IA","ARICD"," .72"," .83"," .86"," .87"," 1.78"," 2.06"," 1.97"," 2.03"," 2.14"," 2.55"," 3.77"," 5.5"," 4.42"," 4.72"," 4.92"," 5.03"," 3.89"," 3.55"," 3.46"," 3"," 3.12"," 3.15"," 2.49"," 2.89"," 2.87"," 3.22"," 3.11"," 3.44"," 3.06"," 3.06"," 4.75"," 4.24"," 4.27"," 4.74"," 4.75"," 5.15"," 8.12"," 9.24"," 9.57"," 10.93"," 12.87"," 14.08"," 15.22"," 14.85"," 15.6"
"2014F","IA","ARICV"," 13.9"," 17.1"," 16.9"," 15"," 30.3"," 31.4"," 31.8"," 34.3"," 40.4"," 53.4"," 42.5"," 72"," 56.2"," 50.2"," 60.1"," 67.6"," 52.6"," 42.1"," 50.8"," 34.1"," 31.8"," 32.6"," 23.2"," 25.9"," 37.4"," 35"," 42.3"," 59.8"," 43.8"," 59.8"," 77.9"," 54.2"," 68.1"," 72.5"," 95.2"," 109.1"," 140.3"," 127.4"," 132.1"," 133.2"," 108.8"," 115.2"," 156"," 143.7"," 137.4"
"2014F","IA","ARTCD"," .72"," .83"," .86"," .87"," 1.78"," 2.06"," 1.97"," 2.03"," 2.14"," 2.55"," 3.77"," 5.5"," 4.42"," 4.72"," 4.92"," 5.03"," 3.89"," 3.55"," 3.46"," 3"," 3.12"," 3.15"," 2.49"," 2.89"," 2.87"," 3.22"," 3.11"," 3.44"," 3.06"," 3.06"," 4.75"," 4.24"," 4.27"," 4.74"," 4.75"," 5.15"," 8.12"," 9.24"," 9.57"," 10.93"," 12.87"," 14.08"," 15.22"," 14.85"," 15.6"
"2014F","IA","ARTCV"," 13.9"," 17.1"," 16.9"," 15"," 30.3"," 31.4"," 31.8"," 34.3"," 40.4"," 53.4"," 42.5"," 72"," 56.2"," 50.2"," 60.1"," 67.6"," 52.6"," 42.1"," 50.8"," 34.1"," 31.8"," 32.6"," 23.2"," 25.9"," 37.4"," 35"," 42.3"," 59.8"," 43.8"," 59.8"," 77.9"," 54.2"," 68.1"," 72.5"," 95.2"," 109.1"," 140.3"," 127.4"," 132.1"," 133.2"," 108.8"," 115.2"," 156"," 143.7"," 137.4"
"2014F","IA","ARTXD"," .72"," .83"," .86"," .87"," 1.78"," 2.06"," 1.97"," 2.03"," 2.14"," 2.55"," 3.77"," 5.5"," 4.42"," 4.72"," 4.92"," 5.03"," 3.89"," 3.55"," 3.46"," 3"," 3.12"," 3.15"," 2.49"," 2.89"," 2.87"," 3.22"," 3.11"," 3.44"," 3.06"," 3.06"," 4.75"," 4.24"," 4.27"," 4.74"," 4.75"," 5.15"," 8.12"," 9.24"," 9.57"," 10.93"," 12.87"," 14.08"," 15.22"," 14.85"," 15.6"
"2014F","IA","ARTXV"," 13.9"," 17.1"," 16.9"," 15"," 30.3"," 31.4"," 31.8"," 34.3"," 40.4"," 53.4"," 42.5"," 72"," 56.2"," 50.2"," 60.1"," 67.6"," 52.6"," 42.1"," 50.8"," 34.1"," 31.8"," 32.6"," 23.2"," 25.9"," 37.4"," 35"," 42.3"," 59.8"," 43.8"," 59.8"," 77.9"," 54.2"," 68.1"," 72.5"," 95.2"," 109.1"," 140.3"," 127.4"," 132.1"," 133.2"," 108.8"," 115.2"," 156"," 143.7"," 137.4"
"2014F","IA","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","IA","AVACV"," 2.8"," 2.9"," 2.6"," 1.2"," 3.8"," 3.3"," 3.7"," 4.1"," 4.6"," 5.5"," 8.4"," 8.8"," 6.1"," 5.8"," 4.6"," 4.2"," 6.4"," 4.2"," 5.4"," 4.6"," 4.7"," 3.6"," 3.2"," 2.9"," 2.8"," 3"," 3.4"," 3.7"," 3"," 3.6"," 4.3"," 3.2"," 5.9"," 6"," 6.6"," 13"," 5.8"," 5.4"," 10.6"," 9.4"," 8.9"," 10.5"," 9.7"," 7.9"," 8.3"
"2014F","IA","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","IA","AVTCV"," 2.8"," 2.9"," 2.6"," 1.2"," 3.8"," 3.3"," 3.7"," 4.1"," 4.6"," 5.5"," 8.4"," 8.8"," 6.1"," 5.8"," 4.6"," 4.2"," 6.4"," 4.2"," 5.4"," 4.6"," 4.7"," 3.6"," 3.2"," 2.9"," 2.8"," 3"," 3.4"," 3.7"," 3"," 3.6"," 4.3"," 3.2"," 5.9"," 6"," 6.6"," 13"," 5.8"," 5.4"," 10.6"," 9.4"," 8.9"," 10.5"," 9.7"," 7.9"," 8.3"
