"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","IL","ARICD"," .64"," .81"," .85"," .85"," 1.73"," 1.99"," 1.95"," 1.98"," 2.24"," 2.57"," 3.83"," 4.59"," 4.64"," 4.47"," 4.74"," 4.91"," 4.57"," 3.34"," 3.51"," 2.92"," 3.2"," 3.38"," 3.02"," 3.31"," 3.36"," 3.37"," 3.33"," 3.31"," 3.61"," 3.76"," 3.75"," 4.21"," 4.3"," 4.43"," 4.76"," 4.97"," 5.51"," 6.23"," 6.54"," 11.71"," 13.01"," 13.81"," 15.31"," 14.57"," 15.6"
"2014F","IL","ARICV"," 53.8"," 61.4"," 61.4"," 70"," 123.4"," 135"," 128"," 145.2"," 172.3"," 183.9"," 205.7"," 185.5"," 149.7"," 159.2"," 180.1"," 244.5"," 187.4"," 140.1"," 130.4"," 156"," 176.9"," 177.5"," 186.1"," 138.7"," 174"," 166.7"," 201.8"," 183.6"," 236.5"," 281.4"," 225"," 254.6"," 281.8"," 309.8"," 301"," 318.8"," 304.6"," 314.5"," 416.7"," 540.9"," 543.2"," 467.2"," 412.4"," 393.3"," 443.3"
"2014F","IL","ARTCD"," .64"," .81"," .85"," .85"," 1.73"," 1.99"," 1.95"," 1.98"," 2.24"," 2.57"," 3.83"," 4.59"," 4.64"," 4.47"," 4.74"," 4.91"," 4.57"," 3.34"," 3.51"," 2.92"," 3.2"," 3.38"," 3.02"," 3.31"," 3.36"," 3.37"," 3.33"," 3.31"," 3.61"," 3.76"," 3.75"," 4.21"," 4.3"," 4.43"," 4.76"," 4.97"," 5.51"," 6.23"," 6.54"," 11.71"," 13.01"," 13.81"," 15.31"," 14.57"," 15.6"
"2014F","IL","ARTCV"," 53.8"," 61.4"," 61.4"," 70"," 123.4"," 135"," 128"," 145.2"," 172.3"," 183.9"," 205.7"," 185.5"," 149.7"," 159.2"," 180.1"," 244.5"," 187.4"," 140.1"," 130.4"," 156"," 176.9"," 177.5"," 186.1"," 138.7"," 174"," 166.7"," 201.8"," 183.6"," 236.5"," 281.4"," 225"," 254.6"," 281.8"," 309.8"," 301"," 318.8"," 304.6"," 314.5"," 416.7"," 540.9"," 543.2"," 467.2"," 412.4"," 393.3"," 443.3"
"2014F","IL","ARTXD"," .64"," .81"," .85"," .85"," 1.73"," 1.99"," 1.95"," 1.98"," 2.24"," 2.57"," 3.83"," 4.59"," 4.64"," 4.47"," 4.74"," 4.91"," 4.57"," 3.34"," 3.51"," 2.92"," 3.2"," 3.38"," 3.02"," 3.31"," 3.36"," 3.37"," 3.33"," 3.31"," 3.61"," 3.76"," 3.75"," 4.21"," 4.3"," 4.43"," 4.76"," 4.97"," 5.51"," 6.23"," 6.54"," 11.71"," 13.01"," 13.81"," 15.31"," 14.57"," 15.6"
"2014F","IL","ARTXV"," 53.8"," 61.4"," 61.4"," 70"," 123.4"," 135"," 128"," 145.2"," 172.3"," 183.9"," 205.7"," 185.5"," 149.7"," 159.2"," 180.1"," 244.5"," 187.4"," 140.1"," 130.4"," 156"," 176.9"," 177.5"," 186.1"," 138.7"," 174"," 166.7"," 201.8"," 183.6"," 236.5"," 281.4"," 225"," 254.6"," 281.8"," 309.8"," 301"," 318.8"," 304.6"," 314.5"," 416.7"," 540.9"," 543.2"," 467.2"," 412.4"," 393.3"," 443.3"
"2014F","IL","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","IL","AVACV"," 2.9"," 2.6"," 1.9"," 1.6"," 1.9"," 1.4"," 1.3"," 1.8"," .4"," .4"," 6"," 14.9"," 11.9"," 12.3"," 10.4"," 10.7"," 8.9"," 6.1"," 7"," 8"," 7.7"," 7.7"," 7.6"," 9.6"," 8.2"," 9.1"," 9.5"," 9.3"," 6.9"," 7.7"," 8.6"," 6.3"," 10"," 10.1"," 13.5"," 9.1"," 9.3"," 9.4"," 12.4"," 6.1"," 13.4"," 18.3"," 17.7"," 13.9"," 11.8"
"2014F","IL","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","IL","AVTCV"," 2.9"," 2.6"," 1.9"," 1.6"," 1.9"," 1.4"," 1.3"," 1.8"," .4"," .4"," 6"," 14.9"," 11.9"," 12.3"," 10.4"," 10.7"," 8.9"," 6.1"," 7"," 8"," 7.7"," 7.7"," 7.6"," 9.6"," 8.2"," 9.1"," 9.5"," 9.3"," 6.9"," 7.7"," 8.6"," 6.3"," 10"," 10.1"," 13.5"," 9.1"," 9.3"," 9.4"," 12.4"," 6.1"," 13.4"," 18.3"," 17.7"," 13.9"," 11.8"
