"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","KS","ARICD"," .74"," .85"," .88"," .89"," 1.85"," 2.1"," 2.06"," 2.07"," 2.19"," 2.57"," 4.02"," 5.66"," 4.5"," 4.89"," 4.96"," 5.22"," 3.88"," 3.7"," 3.49"," 3"," 2.94"," 2.98"," 2.54"," 3.16"," 3.17"," 3.41"," 3.22"," 3.51"," 3.21"," 3.35"," 5.05"," 4.88"," 4.67"," 4.94"," 5.09"," 5.38"," 8.38"," 9.31"," 9.87"," 10.92"," 12.84"," 14.21"," 15.32"," 14.97"," 15.55"
"2014F","KS","ARICV"," 10.7"," 14.4"," 14"," 15.5"," 33.6"," 30.1"," 32"," 35.7"," 49.1"," 53.9"," 80.5"," 70.2"," 56.4"," 47.1"," 63.5"," 58.9"," 68.4"," 64.2"," 101.4"," 61.9"," 75.7"," 73.5"," 62.7"," 76.2"," 99.6"," 88.4"," 76.5"," 49.2"," 57.5"," 52.5"," 82.8"," 134.7"," 116.8"," 101"," 120.6"," 82.1"," 128.5"," 121.6"," 89.9"," 108.8"," 215"," 131.8"," 156.9"," 141.6"," 137"
"2014F","KS","ARTCD"," .74"," .85"," .88"," .89"," 1.85"," 2.1"," 2.06"," 2.07"," 2.19"," 2.57"," 4.02"," 5.66"," 4.5"," 4.89"," 4.96"," 5.22"," 3.88"," 3.7"," 3.49"," 3"," 2.94"," 2.98"," 2.54"," 3.16"," 3.17"," 3.41"," 3.22"," 3.51"," 3.21"," 3.35"," 5.05"," 4.88"," 4.67"," 4.94"," 5.09"," 5.38"," 8.38"," 9.31"," 9.87"," 10.92"," 12.84"," 14.21"," 15.32"," 14.97"," 15.55"
"2014F","KS","ARTCV"," 10.7"," 14.4"," 14"," 15.5"," 33.6"," 30.1"," 32"," 35.7"," 49.1"," 53.9"," 80.5"," 70.2"," 56.4"," 47.1"," 63.5"," 58.9"," 68.4"," 64.2"," 101.4"," 61.9"," 75.7"," 73.5"," 62.7"," 76.2"," 99.6"," 88.4"," 76.5"," 49.2"," 57.5"," 52.5"," 82.8"," 134.7"," 116.8"," 101"," 120.6"," 82.1"," 128.5"," 121.6"," 89.9"," 108.8"," 215"," 131.8"," 156.9"," 141.6"," 137"
"2014F","KS","ARTXD"," .74"," .85"," .88"," .89"," 1.85"," 2.1"," 2.06"," 2.07"," 2.19"," 2.57"," 4.02"," 5.66"," 4.5"," 4.89"," 4.96"," 5.22"," 3.88"," 3.7"," 3.49"," 3"," 2.94"," 2.98"," 2.54"," 3.16"," 3.17"," 3.41"," 3.22"," 3.51"," 3.21"," 3.35"," 5.05"," 4.88"," 4.67"," 4.94"," 5.09"," 5.38"," 8.38"," 9.31"," 9.87"," 10.92"," 12.84"," 14.21"," 15.32"," 14.97"," 15.55"
"2014F","KS","ARTXV"," 10.7"," 14.4"," 14"," 15.5"," 33.6"," 30.1"," 32"," 35.7"," 49.1"," 53.9"," 80.5"," 70.2"," 56.4"," 47.1"," 63.5"," 58.9"," 68.4"," 64.2"," 101.4"," 61.9"," 75.7"," 73.5"," 62.7"," 76.2"," 99.6"," 88.4"," 76.5"," 49.2"," 57.5"," 52.5"," 82.8"," 134.7"," 116.8"," 101"," 120.6"," 82.1"," 128.5"," 121.6"," 89.9"," 108.8"," 215"," 131.8"," 156.9"," 141.6"," 137"
"2014F","KS","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","KS","AVACV"," 3.6"," 3.3"," 2.9"," 2.5"," 3.8"," 3.1"," 4.2"," 5.1"," 4.6"," 7.1"," 10.1"," 11.7"," 10.5"," 9.3"," 8"," 6.9"," 6.9"," 4.6"," 5.5"," 6.5"," 6.4"," 5.5"," 6.1"," 6.3"," 5.7"," 6.2"," 8.3"," 11.7"," 8.2"," 10.7"," 11.8"," 10.9"," 6.9"," 6.4"," 8.8"," 20.1"," 24.6"," 19.7"," 25.3"," 13.7"," 22.3"," 24.4"," 12"," 10.4"," 9.8"
"2014F","KS","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","KS","AVTCV"," 3.6"," 3.3"," 2.9"," 2.5"," 3.8"," 3.1"," 4.2"," 5.1"," 4.6"," 7.1"," 10.1"," 11.7"," 10.5"," 9.3"," 8"," 6.9"," 6.9"," 4.6"," 5.5"," 6.5"," 6.4"," 5.5"," 6.1"," 6.3"," 5.7"," 6.2"," 8.3"," 11.7"," 8.2"," 10.7"," 11.8"," 10.9"," 6.9"," 6.4"," 8.8"," 20.1"," 24.6"," 19.7"," 25.3"," 13.7"," 22.3"," 24.4"," 12"," 10.4"," 9.8"
