"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","KY","ARICD"," .67"," .72"," .78"," .83"," 1.41"," 1.8"," 1.82"," 1.98"," 2.2"," 2.58"," 3.56"," 4.81"," 4.57"," 4.57"," 4.4"," 4.74"," 4.9"," 3.19"," 3.05"," 2.86"," 2.94"," 3.3"," 2.03"," 2.36"," 2.44"," 2.61"," 3.12"," 3.23"," 3.11"," 2.84"," 3.78"," 4.29"," 4.35"," 4.78"," 4.84"," 5.21"," 6.05"," 6.05"," 6.14"," 10.62"," 12.91"," 14.21"," 15.83"," 14.95"," 15.53"
"2014F","KY","ARICV"," 13.8"," 15"," 15.5"," 19.9"," 24.1"," 31.3"," 32.2"," 36.7"," 43.2"," 50.6"," 47.8"," 61.8"," 87.9"," 63.7"," 63.3"," 58.9"," 74.3"," 57.2"," 53"," 52.4"," 59.1"," 61.3"," 34.1"," 40"," 46.1"," 48"," 56.2"," 73.2"," 65.9"," 78.9"," 99.6"," 95"," 100.8"," 121.2"," 106.8"," 133.9"," 137.5"," 139.5"," 103.8"," 196.9"," 243"," 261"," 363.6"," 249.6"," 344.2"
"2014F","KY","ARTCD"," .67"," .72"," .78"," .83"," 1.41"," 1.8"," 1.82"," 1.98"," 2.2"," 2.58"," 3.56"," 4.81"," 4.57"," 4.57"," 4.4"," 4.74"," 4.9"," 3.19"," 3.05"," 2.86"," 2.94"," 3.3"," 2.03"," 2.36"," 2.44"," 2.61"," 3.12"," 3.23"," 3.11"," 2.84"," 3.78"," 4.29"," 4.35"," 4.78"," 4.84"," 5.21"," 6.05"," 6.05"," 6.14"," 10.62"," 12.91"," 14.21"," 15.83"," 14.95"," 15.53"
"2014F","KY","ARTCV"," 13.8"," 15"," 15.5"," 19.9"," 24.1"," 31.3"," 32.2"," 36.7"," 43.2"," 50.6"," 47.8"," 61.8"," 87.9"," 63.7"," 63.3"," 58.9"," 74.3"," 57.2"," 53"," 52.4"," 59.1"," 61.3"," 34.1"," 40"," 46.1"," 48"," 56.2"," 73.2"," 65.9"," 78.9"," 99.6"," 95"," 100.8"," 121.2"," 106.8"," 133.9"," 137.5"," 139.5"," 103.8"," 196.9"," 243"," 261"," 363.6"," 249.6"," 344.2"
"2014F","KY","ARTXD"," .67"," .72"," .78"," .83"," 1.41"," 1.8"," 1.82"," 1.98"," 2.2"," 2.58"," 3.56"," 4.81"," 4.57"," 4.57"," 4.4"," 4.74"," 4.9"," 3.19"," 3.05"," 2.86"," 2.94"," 3.3"," 2.03"," 2.36"," 2.44"," 2.61"," 3.12"," 3.23"," 3.11"," 2.84"," 3.78"," 4.29"," 4.35"," 4.78"," 4.84"," 5.21"," 6.05"," 6.05"," 6.14"," 10.62"," 12.91"," 14.21"," 15.83"," 14.95"," 15.53"
"2014F","KY","ARTXV"," 13.8"," 15"," 15.5"," 19.9"," 24.1"," 31.3"," 32.2"," 36.7"," 43.2"," 50.6"," 47.8"," 61.8"," 87.9"," 63.7"," 63.3"," 58.9"," 74.3"," 57.2"," 53"," 52.4"," 59.1"," 61.3"," 34.1"," 40"," 46.1"," 48"," 56.2"," 73.2"," 65.9"," 78.9"," 99.6"," 95"," 100.8"," 121.2"," 106.8"," 133.9"," 137.5"," 139.5"," 103.8"," 196.9"," 243"," 261"," 363.6"," 249.6"," 344.2"
"2014F","KY","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","KY","AVACV"," 3.6"," 2"," 1.8"," 1.7"," 2.4"," 2.2"," 2.3"," 2.2"," 2.3"," 3.9"," 5.1"," 5"," 4.9"," 5"," 3.8"," 3.3"," 3.6"," 2.4"," 2.3"," 2.2"," 2.4"," 2.3"," 2.4"," 1.7"," 1.8"," 1.9"," 2.2"," 1.3"," 2.6"," 1.5"," 1.7"," 5"," 3.7"," 3.8"," 5.4"," 6.5"," 7.3"," 7.7"," 6.6"," 4.2"," 4.4"," 5.1"," 5"," 4.2"," 5"
"2014F","KY","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","KY","AVTCV"," 3.6"," 2"," 1.8"," 1.7"," 2.4"," 2.2"," 2.3"," 2.2"," 2.3"," 3.9"," 5.1"," 5"," 4.9"," 5"," 3.8"," 3.3"," 3.6"," 2.4"," 2.3"," 2.2"," 2.4"," 2.3"," 2.4"," 1.7"," 1.8"," 1.9"," 2.2"," 1.3"," 2.6"," 1.5"," 1.7"," 5"," 3.7"," 3.8"," 5.4"," 6.5"," 7.3"," 7.7"," 6.6"," 4.2"," 4.4"," 5.1"," 5"," 4.2"," 5"
