"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","ME","ARICD"," .73"," .87"," .87"," .86"," 1.6"," 1.99"," 2.01"," 2.08"," 2.28"," 2.65"," 3.73"," 5.42"," 4.04"," 4.23"," 4.62"," 5.21"," 4.88"," 3.55"," 3.35"," 3.23"," 3.34"," 3.05"," 2.81"," 3.3"," 3.64"," 3.78"," 3.9"," 4.05"," 3.75"," 3.71"," 4.86"," 4.9"," 5.65"," 6.05"," 5.76"," 6.6"," 8.61"," 9.29"," 9.31"," 12.07"," 13.18"," 15.37"," 16.85"," 16.9"," 17.14"
"2014F","ME","ARICV"," 3.4"," 4.6"," 4.5"," 5.7"," 9.8"," 9.2"," 11.2"," 9.7"," 9.6"," 6"," 10.8"," 17.2"," 12.5"," 16.4"," 34.1"," 75.6"," 23.8"," 20.1"," 35.2"," 21.5"," 14.3"," 20"," 19.8"," 23.7"," 11.6"," 12.1"," 9.8"," 15"," 7.4"," 8"," 10.8"," 18"," 17.4"," 19.8"," 28.1"," 16.7"," 1.4"," 20.7"," 1.9"," 54.8"," 68.1"," 72.3"," 96.6"," 75.7"," 81.4"
"2014F","ME","ARTCD"," .73"," .87"," .87"," .86"," 1.6"," 1.99"," 2.01"," 2.08"," 2.28"," 2.65"," 3.73"," 5.42"," 4.04"," 4.23"," 4.62"," 5.21"," 4.88"," 3.55"," 3.35"," 3.23"," 3.34"," 3.05"," 2.81"," 3.3"," 3.64"," 3.78"," 3.9"," 4.05"," 3.75"," 3.71"," 4.86"," 4.9"," 5.65"," 6.05"," 5.76"," 6.6"," 8.61"," 9.29"," 9.31"," 12.07"," 13.18"," 15.37"," 16.85"," 16.9"," 17.14"
"2014F","ME","ARTCV"," 3.4"," 4.6"," 4.5"," 5.7"," 9.8"," 9.2"," 11.2"," 9.7"," 9.6"," 6"," 10.8"," 17.2"," 12.5"," 16.4"," 34.1"," 75.6"," 23.8"," 20.1"," 35.2"," 21.5"," 14.3"," 20"," 19.8"," 23.7"," 11.6"," 12.1"," 9.8"," 15"," 7.4"," 8"," 10.8"," 18"," 17.4"," 19.8"," 28.1"," 16.7"," 1.4"," 20.7"," 1.9"," 54.8"," 68.1"," 72.3"," 96.6"," 75.7"," 81.4"
"2014F","ME","ARTXD"," .73"," .87"," .87"," .86"," 1.6"," 1.99"," 2.01"," 2.08"," 2.28"," 2.65"," 3.73"," 5.42"," 4.04"," 4.23"," 4.62"," 5.21"," 4.88"," 3.55"," 3.35"," 3.23"," 3.34"," 3.05"," 2.81"," 3.3"," 3.64"," 3.78"," 3.9"," 4.05"," 3.75"," 3.71"," 4.86"," 4.9"," 5.65"," 6.05"," 5.76"," 6.6"," 8.61"," 9.29"," 9.31"," 12.07"," 13.18"," 15.37"," 16.85"," 16.9"," 17.14"
"2014F","ME","ARTXV"," 3.4"," 4.6"," 4.5"," 5.7"," 9.8"," 9.2"," 11.2"," 9.7"," 9.6"," 6"," 10.8"," 17.2"," 12.5"," 16.4"," 34.1"," 75.6"," 23.8"," 20.1"," 35.2"," 21.5"," 14.3"," 20"," 19.8"," 23.7"," 11.6"," 12.1"," 9.8"," 15"," 7.4"," 8"," 10.8"," 18"," 17.4"," 19.8"," 28.1"," 16.7"," 1.4"," 20.7"," 1.9"," 54.8"," 68.1"," 72.3"," 96.6"," 75.7"," 81.4"
"2014F","ME","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","ME","AVACV"," 1"," 1"," 1"," 1"," 1.3"," 1.2"," 1.1"," 1.3"," 1.4"," 2.1"," 3.7"," 2.6"," 2"," 2.4"," 2.3"," 2.1"," 2.4"," 2"," 2.5"," 2.9"," 2.9"," 1.9"," 1.8"," 1.5"," 1.4"," 1.5"," 1.3"," 1.7"," 1"," 1.5"," 1.4"," 3.2"," 2"," 2.4"," 2.5"," 3.8"," 5.8"," 6.2"," 4.6"," 3.6"," 2.8"," 8.5"," 3"," 2.6"," 2.7"
"2014F","ME","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","ME","AVTCV"," 1"," 1"," 1"," 1"," 1.3"," 1.2"," 1.1"," 1.3"," 1.4"," 2.1"," 3.7"," 2.6"," 2"," 2.4"," 2.3"," 2.1"," 2.4"," 2"," 2.5"," 2.9"," 2.9"," 1.9"," 1.8"," 1.5"," 1.4"," 1.5"," 1.3"," 1.7"," 1"," 1.5"," 1.4"," 3.2"," 2"," 2.4"," 2.5"," 3.8"," 5.8"," 6.2"," 4.6"," 3.6"," 2.8"," 8.5"," 3"," 2.6"," 2.7"
