"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","MI","ARICD"," .84"," .92"," .97"," .97"," 1.82"," 2.12"," 2.12"," 2.11"," 2.22"," 2.66"," 4.04"," 5.52"," 4.14"," 4.56"," 4.85"," 5"," 3.59"," 3.4"," 3.21"," 2.84"," 3.06"," 2.87"," 2.25"," 2.99"," 2.98"," 3.26"," 3.07"," 4.05"," 3.87"," 3.29"," 4.83"," 4.07"," 4.1"," 4.57"," 4.19"," 4.8"," 8.48"," 9.68"," 10.26"," 11.24"," 12.91"," 13.69"," 15.33"," 14.61"," 15.23"
"2014F","MI","ARICV"," 21.5"," 23"," 29.7"," 34.5"," 59"," 54.6"," 49"," 58"," 64.3"," 73.4"," 94"," 130.1"," 71.4"," 82.8"," 89.7"," 92.2"," 80.6"," 79"," 61.2"," 72.8"," 80.1"," 66"," 53"," 88.4"," 71.2"," 107.3"," 75.5"," 209"," 166.7"," 145.7"," 188.1"," 152.2"," 144.6"," 162.8"," 168.3"," 193.1"," 291.7"," 293.2"," 228.6"," 274.6"," 288.7"," 253.6"," 290.1"," 284.4"," 333.4"
"2014F","MI","ARTCD"," .84"," .92"," .97"," .97"," 1.82"," 2.12"," 2.12"," 2.11"," 2.22"," 2.66"," 4.04"," 5.52"," 4.14"," 4.56"," 4.85"," 5"," 3.59"," 3.4"," 3.21"," 2.84"," 3.06"," 2.87"," 2.25"," 2.99"," 2.98"," 3.26"," 3.07"," 4.05"," 3.87"," 3.29"," 4.83"," 4.07"," 4.1"," 4.57"," 4.19"," 4.8"," 8.48"," 9.68"," 10.26"," 11.24"," 12.91"," 13.69"," 15.33"," 14.61"," 15.23"
"2014F","MI","ARTCV"," 21.5"," 23"," 29.7"," 34.5"," 59"," 54.6"," 49"," 58"," 64.3"," 73.4"," 94"," 130.1"," 71.4"," 82.8"," 89.7"," 92.2"," 80.6"," 79"," 61.2"," 72.8"," 80.1"," 66"," 53"," 88.4"," 71.2"," 107.3"," 75.5"," 209"," 166.7"," 145.7"," 188.1"," 152.2"," 144.6"," 162.8"," 168.3"," 193.1"," 291.7"," 293.2"," 228.6"," 274.6"," 288.7"," 253.6"," 290.1"," 284.4"," 333.4"
"2014F","MI","ARTXD"," .84"," .92"," .97"," .97"," 1.82"," 2.12"," 2.12"," 2.11"," 2.22"," 2.66"," 4.04"," 5.52"," 4.14"," 4.56"," 4.85"," 5"," 3.59"," 3.4"," 3.21"," 2.84"," 3.06"," 2.87"," 2.25"," 2.99"," 2.98"," 3.26"," 3.07"," 4.05"," 3.87"," 3.29"," 4.83"," 4.07"," 4.1"," 4.57"," 4.19"," 4.8"," 8.48"," 9.68"," 10.26"," 11.24"," 12.91"," 13.69"," 15.33"," 14.61"," 15.23"
"2014F","MI","ARTXV"," 21.5"," 23"," 29.7"," 34.5"," 59"," 54.6"," 49"," 58"," 64.3"," 73.4"," 94"," 130.1"," 71.4"," 82.8"," 89.7"," 92.2"," 80.6"," 79"," 61.2"," 72.8"," 80.1"," 66"," 53"," 88.4"," 71.2"," 107.3"," 75.5"," 209"," 166.7"," 145.7"," 188.1"," 152.2"," 144.6"," 162.8"," 168.3"," 193.1"," 291.7"," 293.2"," 228.6"," 274.6"," 288.7"," 253.6"," 290.1"," 284.4"," 333.4"
"2014F","MI","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","MI","AVACV"," 7.9"," 2.9"," 5.5"," 6.9"," 3.3"," 6"," 6.9"," 8.8"," 10.2"," 11.1"," 22.2"," 13.7"," 8.7"," 17.1"," 9.4"," 10.1"," 10.6"," 9.2"," 9"," 11.2"," 10.1"," 9"," 7.8"," 8.2"," 9.5"," 9.8"," 10.1"," 9.3"," 6.8"," 12.7"," 11.2"," 4.4"," 9"," 5.6"," 6.1"," 7.9"," 7.6"," 9"," 10.1"," 6.4"," 15"," 17.7"," 17.1"," 15.3"," 11.1"
"2014F","MI","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","MI","AVTCV"," 7.9"," 2.9"," 5.5"," 6.9"," 3.3"," 6"," 6.9"," 8.8"," 10.2"," 11.1"," 22.2"," 13.7"," 8.7"," 17.1"," 9.4"," 10.1"," 10.6"," 9.2"," 9"," 11.2"," 10.1"," 9"," 7.8"," 8.2"," 9.5"," 9.8"," 10.1"," 9.3"," 6.8"," 12.7"," 11.2"," 4.4"," 9"," 5.6"," 6.1"," 7.9"," 7.6"," 9"," 10.1"," 6.4"," 15"," 17.7"," 17.1"," 15.3"," 11.1"
"2014F","MI","AVTXD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","MI","AVTXV"," 7.9"," 2.9"," 5.5"," 6.9"," 3.3"," 6"," 6.9"," 8.8"," 10.2"," 11.1"," 22.2"," 13.7"," 8.7"," 17.1"," 9.4"," 10.1"," 10.6"," 9.2"," 9"," 11.2"," 10.1"," 9"," 7.8"," 8.2"," 9.5"," 9.8"," 10.1"," 9.3"," 6.8"," 12.7"," 11.2"," 4.4"," 9"," 5.6"," 6.1"," 7.9"," 7.6"," 9"," 10.1"," 6.4"," 15"," 17.7"," 17.1"," 15.3"," 11.1"
"2014F","MI","CLACD"," .53"," .57"," .61"," .63"," 1.06"," 1.49"," 1.37"," 1.4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
