"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","MN","ARICD"," .68"," .86"," .83"," .92"," 2.04"," 2.19"," 1.86"," 1.91"," 2.08"," 2.7"," 3.31"," 6.06"," 4.22"," 4.63"," 4.98"," 4.99"," 3.86"," 3.53"," 3.6"," 3.01"," 3.31"," 3.19"," 2.71"," 2.93"," 2.93"," 3.13"," 2.99"," 3.32"," 2.98"," 3.16"," 4.4"," 3.88"," 4.07"," 4.39"," 4.42"," 4.78"," 7.67"," 8.77"," 8.81"," 10.93"," 12.87"," 14.08"," 15.22"," 14.85"," 15.6"
"2014F","MN","ARICV"," 20"," 25.3"," 28.9"," 36.4"," 75.9"," 67.2"," 66.9"," 67.2"," 75.3"," 91.2"," 78.4"," 156.3"," 108.7"," 145"," 154.3"," 165.1"," 140.3"," 137.2"," 117.1"," 98.5"," 132.5"," 106.6"," 95.9"," 93.2"," 92.2"," 132.8"," 132.3"," 146.8"," 136.1"," 162.5"," 216.7"," 167.7"," 151.2"," 181.6"," 194.6"," 235.7"," 354.1"," 396.6"," 318.5"," 334.5"," 405"," 409.2"," 450.9"," 441.9"," 438.9"
"2014F","MN","ARTCD"," .68"," .86"," .83"," .92"," 2.04"," 2.19"," 1.86"," 1.91"," 2.08"," 2.7"," 3.31"," 6.06"," 4.22"," 4.63"," 4.98"," 4.99"," 3.86"," 3.53"," 3.6"," 3.01"," 3.31"," 3.19"," 2.71"," 2.93"," 2.93"," 3.13"," 2.99"," 3.32"," 2.98"," 3.16"," 4.4"," 3.88"," 4.07"," 4.39"," 4.42"," 4.78"," 7.67"," 8.77"," 8.81"," 10.93"," 12.87"," 14.08"," 15.22"," 14.85"," 15.6"
"2014F","MN","ARTCV"," 20"," 25.3"," 28.9"," 36.4"," 75.9"," 67.2"," 66.9"," 67.2"," 75.3"," 91.2"," 78.4"," 156.3"," 108.7"," 145"," 154.3"," 165.1"," 140.3"," 137.2"," 117.1"," 98.5"," 132.5"," 106.6"," 95.9"," 93.2"," 92.2"," 132.8"," 132.3"," 146.8"," 136.1"," 162.5"," 216.7"," 167.7"," 151.2"," 181.6"," 194.6"," 235.7"," 354.1"," 396.6"," 318.5"," 334.5"," 405"," 409.2"," 450.9"," 441.9"," 438.9"
"2014F","MN","ARTXD"," .68"," .86"," .83"," .92"," 2.04"," 2.19"," 1.86"," 1.91"," 2.08"," 2.7"," 3.31"," 6.06"," 4.22"," 4.63"," 4.98"," 4.99"," 3.86"," 3.53"," 3.6"," 3.01"," 3.31"," 3.19"," 2.71"," 2.93"," 2.93"," 3.13"," 2.99"," 3.32"," 2.98"," 3.16"," 4.4"," 3.88"," 4.07"," 4.39"," 4.42"," 4.78"," 7.67"," 8.77"," 8.81"," 10.93"," 12.87"," 14.08"," 15.22"," 14.85"," 15.6"
"2014F","MN","ARTXV"," 20"," 25.3"," 28.9"," 36.4"," 75.9"," 67.2"," 66.9"," 67.2"," 75.3"," 91.2"," 78.4"," 156.3"," 108.7"," 145"," 154.3"," 165.1"," 140.3"," 137.2"," 117.1"," 98.5"," 132.5"," 106.6"," 95.9"," 93.2"," 92.2"," 132.8"," 132.3"," 146.8"," 136.1"," 162.5"," 216.7"," 167.7"," 151.2"," 181.6"," 194.6"," 235.7"," 354.1"," 396.6"," 318.5"," 334.5"," 405"," 409.2"," 450.9"," 441.9"," 438.9"
"2014F","MN","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","MN","AVACV"," 3"," 2.8"," 2.9"," 3.1"," 3.9"," 3.7"," 3.9"," 4.1"," 5.2"," 6.3"," 8.8"," 8.9"," 6.5"," 6.2"," 6.5"," 7.8"," 9.6"," 6.8"," 6.2"," 6.6"," 10"," 8.3"," 5.8"," 5.5"," 5"," 5.4"," 5.8"," 6.5"," 3.8"," 6.3"," 7.4"," 5.3"," 7.4"," 5.8"," 7"," 9.6"," 9.7"," 10.4"," 10.7"," 14.4"," 11"," 15.1"," 15.7"," 14"," 12.5"
"2014F","MN","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","MN","AVTCV"," 3"," 2.8"," 2.9"," 3.1"," 3.9"," 3.7"," 3.9"," 4.1"," 5.2"," 6.3"," 8.8"," 8.9"," 6.5"," 6.2"," 6.5"," 7.8"," 9.6"," 6.8"," 6.2"," 6.6"," 10"," 8.3"," 5.8"," 5.5"," 5"," 5.4"," 5.8"," 6.5"," 3.8"," 6.3"," 7.4"," 5.3"," 7.4"," 5.8"," 7"," 9.6"," 9.7"," 10.4"," 10.7"," 14.4"," 11"," 15.1"," 15.7"," 14"," 12.5"
