"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","MO","ARICD"," .71"," .82"," .84"," .81"," 1.7"," 2.05"," 1.98"," 2.03"," 2.1"," 2.51"," 3.59"," 4.54"," 4.63"," 4.93"," 5.19"," 4.77"," 3.81"," 3.7"," 3.53"," 3.12"," 3.11"," 3.22"," 2.46"," 2.86"," 2.74"," 3.23"," 3.27"," 3.49"," 3.09"," 2.84"," 4.8"," 3.99"," 4.1"," 4.88"," 4.79"," 5.21"," 7.86"," 9.49"," 9.96"," 10.95"," 12.9"," 13.94"," 15.11"," 14.72"," 15.65"
"2014F","MO","ARICV"," 26.8"," 31.6"," 31.2"," 36.4"," 74"," 73.3"," 60.6"," 67.1"," 80.6"," 83.6"," 95.3"," 95.6"," 101.1"," 111.8"," 136.5"," 135.9"," 116.9"," 106.8"," 132.6"," 94.1"," 92.2"," 86.7"," 62.6"," 77"," 103.9"," 113.4"," 116.8"," 95.8"," 80"," 93.8"," 132.7"," 143"," 129"," 156.5"," 189.9"," 198.4"," 271.5"," 257.4"," 190"," 200.2"," 157.5"," 260.8"," 216.1"," 204.7"," 218"
"2014F","MO","ARTCD"," .71"," .82"," .84"," .81"," 1.7"," 2.05"," 1.98"," 2.03"," 2.1"," 2.51"," 3.59"," 4.54"," 4.63"," 4.93"," 5.19"," 4.77"," 3.81"," 3.7"," 3.53"," 3.12"," 3.11"," 3.22"," 2.46"," 2.86"," 2.74"," 3.23"," 3.27"," 3.49"," 3.09"," 2.84"," 4.8"," 3.99"," 4.1"," 4.88"," 4.79"," 5.21"," 7.86"," 9.49"," 9.96"," 10.95"," 12.9"," 13.94"," 15.11"," 14.72"," 15.65"
"2014F","MO","ARTCV"," 26.8"," 31.6"," 31.2"," 36.4"," 74"," 73.3"," 60.6"," 67.1"," 80.6"," 83.6"," 95.3"," 95.6"," 101.1"," 111.8"," 136.5"," 135.9"," 116.9"," 106.8"," 132.6"," 94.1"," 92.2"," 86.7"," 62.6"," 77"," 103.9"," 113.4"," 116.8"," 95.8"," 80"," 93.8"," 132.7"," 143"," 129"," 156.5"," 189.9"," 198.4"," 271.5"," 257.4"," 190"," 200.2"," 157.5"," 260.8"," 216.1"," 204.7"," 218"
"2014F","MO","ARTXD"," .71"," .82"," .84"," .81"," 1.7"," 2.05"," 1.98"," 2.03"," 2.1"," 2.51"," 3.59"," 4.54"," 4.63"," 4.93"," 5.19"," 4.77"," 3.81"," 3.7"," 3.53"," 3.12"," 3.11"," 3.22"," 2.46"," 2.86"," 2.74"," 3.23"," 3.27"," 3.49"," 3.09"," 2.84"," 4.8"," 3.99"," 4.1"," 4.88"," 4.79"," 5.21"," 7.86"," 9.49"," 9.96"," 10.95"," 12.9"," 13.94"," 15.11"," 14.72"," 15.65"
"2014F","MO","ARTXV"," 26.8"," 31.6"," 31.2"," 36.4"," 74"," 73.3"," 60.6"," 67.1"," 80.6"," 83.6"," 95.3"," 95.6"," 101.1"," 111.8"," 136.5"," 135.9"," 116.9"," 106.8"," 132.6"," 94.1"," 92.2"," 86.7"," 62.6"," 77"," 103.9"," 113.4"," 116.8"," 95.8"," 80"," 93.8"," 132.7"," 143"," 129"," 156.5"," 189.9"," 198.4"," 271.5"," 257.4"," 190"," 200.2"," 157.5"," 260.8"," 216.1"," 204.7"," 218"
"2014F","MO","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","MO","AVACV"," 2"," 2.3"," 2"," 3.8"," 4.9"," 3.2"," 3"," 3.5"," 4.6"," 5.5"," 7.4"," 11.5"," 8"," 7.5"," 6.9"," 6.8"," 6.9"," 5.1"," 6.1"," 8.4"," 5.9"," 5.1"," 4.9"," 3.9"," 4.5"," 4.6"," 5.1"," 7.6"," 5.6"," 3.3"," 5.4"," 8.1"," 6.4"," 6.5"," 9.5"," 17.6"," 14.4"," 15.1"," 13.3"," 8.7"," 13"," 15.3"," 14.5"," 13"," 11.4"
"2014F","MO","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","MO","AVTCV"," 2"," 2.3"," 2"," 3.8"," 4.9"," 3.2"," 3"," 3.5"," 4.6"," 5.5"," 7.4"," 11.5"," 8"," 7.5"," 6.9"," 6.8"," 6.9"," 5.1"," 6.1"," 8.4"," 5.9"," 5.1"," 4.9"," 3.9"," 4.5"," 4.6"," 5.1"," 7.6"," 5.6"," 3.3"," 5.4"," 8.1"," 6.4"," 6.5"," 9.5"," 17.6"," 14.4"," 15.1"," 13.3"," 8.7"," 13"," 15.3"," 14.5"," 13"," 11.4"
