"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","MT","ARICD"," .59"," .82"," .83"," .85"," 1.73"," 1.84"," 1.65"," 1.78"," 1.95"," 2.49"," 3.67"," 4.41"," 4.24"," 4.22"," 4.65"," 4.83"," 4.35"," 3.07"," 3.29"," 2.75"," 2.64"," 3.29"," 2.86"," 2.8"," 2.82"," 3.13"," 3.46"," 3.57"," 3.63"," 3.2"," 3.25"," 3.53"," 3.71"," 4.12"," 4.56"," 4.83"," 5.19"," 5.5"," 5.65"," 13.96"," 12.98"," 13.8"," 14.95"," 14.68"," 14.86"
"2014F","MT","ARICV"," 5.3"," 7.3"," 8.2"," 7.9"," 14"," 11.3"," 14.1"," 13.4"," 12.2"," 17.4"," 24.9"," 30.3"," 24.8"," 31.7"," 37.5"," 46.9"," 57.4"," 33.5"," 32.2"," 31.9"," 26"," 29.5"," 24.8"," 31.7"," 36.7"," 26.8"," 39"," 34.3"," 38.4"," 55.7"," 46.4"," 21.1"," 25.6"," 8.7"," 28.1"," 23.4"," 51.2"," 34.2"," 30.7"," 142.4"," 141.3"," 178.6"," 184.9"," 149.9"," 150.4"
"2014F","MT","ARTCD"," .59"," .82"," .83"," .85"," 1.73"," 1.84"," 1.65"," 1.78"," 1.95"," 2.49"," 3.67"," 4.41"," 4.24"," 4.22"," 4.65"," 4.83"," 4.35"," 3.07"," 3.29"," 2.75"," 2.64"," 3.29"," 2.86"," 2.8"," 2.82"," 3.13"," 3.46"," 3.57"," 3.63"," 3.2"," 3.25"," 3.53"," 3.71"," 4.12"," 4.56"," 4.83"," 5.19"," 5.5"," 5.65"," 13.96"," 12.98"," 13.8"," 14.95"," 14.68"," 14.86"
"2014F","MT","ARTCV"," 5.3"," 7.3"," 8.2"," 7.9"," 14"," 11.3"," 14.1"," 13.4"," 12.2"," 17.4"," 24.9"," 30.3"," 24.8"," 31.7"," 37.5"," 46.9"," 57.4"," 33.5"," 32.2"," 31.9"," 26"," 29.5"," 24.8"," 31.7"," 36.7"," 26.8"," 39"," 34.3"," 38.4"," 55.7"," 46.4"," 21.1"," 25.6"," 8.7"," 28.1"," 23.4"," 51.2"," 34.2"," 30.7"," 142.4"," 141.3"," 178.6"," 184.9"," 149.9"," 150.4"
"2014F","MT","ARTXD"," .59"," .82"," .83"," .85"," 1.73"," 1.84"," 1.65"," 1.78"," 1.95"," 2.49"," 3.67"," 4.41"," 4.24"," 4.22"," 4.65"," 4.83"," 4.35"," 3.07"," 3.29"," 2.75"," 2.64"," 3.29"," 2.86"," 2.8"," 2.82"," 3.13"," 3.46"," 3.57"," 3.63"," 3.2"," 3.25"," 3.53"," 3.71"," 4.12"," 4.56"," 4.83"," 5.19"," 5.5"," 5.65"," 13.96"," 12.98"," 13.8"," 14.95"," 14.68"," 14.86"
"2014F","MT","ARTXV"," 5.3"," 7.3"," 8.2"," 7.9"," 14"," 11.3"," 14.1"," 13.4"," 12.2"," 17.4"," 24.9"," 30.3"," 24.8"," 31.7"," 37.5"," 46.9"," 57.4"," 33.5"," 32.2"," 31.9"," 26"," 29.5"," 24.8"," 31.7"," 36.7"," 26.8"," 39"," 34.3"," 38.4"," 55.7"," 46.4"," 21.1"," 25.6"," 8.7"," 28.1"," 23.4"," 51.2"," 34.2"," 30.7"," 142.4"," 141.3"," 178.6"," 184.9"," 149.9"," 150.4"
"2014F","MT","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","MT","AVACV"," .5"," .5"," 1"," 1.3"," 1.7"," 1.4"," 1.7"," 1.9"," 1.9"," 3.5"," 7.3"," 9.7"," 5.1"," 5.4"," 4"," 4.6"," 4.4"," 3.1"," 4"," 4"," 5.2"," 4.8"," 3.3"," 2.6"," 3"," 3.3"," 4.6"," 3.4"," 4.2"," 5.4"," 7.3"," 6"," 6.2"," 6.3"," 3.2"," 4.4"," 9.8"," 8.3"," 12.4"," 7.7"," 6"," 7"," 6.8"," 6.1"," 9.2"
"2014F","MT","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","MT","AVTCV"," .5"," .5"," 1"," 1.3"," 1.7"," 1.4"," 1.7"," 1.9"," 1.9"," 3.5"," 7.3"," 9.7"," 5.1"," 5.4"," 4"," 4.6"," 4.4"," 3.1"," 4"," 4"," 5.2"," 4.8"," 3.3"," 2.6"," 3"," 3.3"," 4.6"," 3.4"," 4.2"," 5.4"," 7.3"," 6"," 6.2"," 6.3"," 3.2"," 4.4"," 9.8"," 8.3"," 12.4"," 7.7"," 6"," 7"," 6.8"," 6.1"," 9.2"
"2014F","MT","AVTXD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","MT","AVTXV"," .5"," .5"," 1"," 1.3"," 1.7"," 1.4"," 1.7"," 1.9"," 1.9"," 3.5"," 7.3"," 9.7"," 5.1"," 5.4"," 4"," 4.6"," 4.4"," 3.1"," 4"," 4"," 5.2"," 4.8"," 3.3"," 2.6"," 3"," 3.3"," 4.6"," 3.4"," 4.2"," 5.4"," 7.3"," 6"," 6.2"," 6.3"," 3.2"," 4.4"," 9.8"," 8.3"," 12.4"," 7.7"," 6"," 7"," 6.8"," 6.1"," 9.2"
"2014F","MT","CLACD"," .48"," .64"," .51"," .51"," .68"," .79"," 1.07"," 1.25"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","MT","CLACV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
